player,opponent,muWin,muGames,muWR,factions,lower,upper,okCI,direction,CI,playrate
Gangplank / Sejuani,Gangplank / Sejuani,2416,4832,0.5,"Bilgewater,Freljord",0.485802209232438,0.514197790767562,FALSE,NEG,(48.6%-51.4%),0.0755525060590299
Gangplank / Sejuani,Azir / Irelia,1453,3526,0.412081678956324,"Bilgewater,Freljord",0.395772043616348,0.428537253733964,TRUE,NEG,(39.6%-42.9%),0.0755525060590299
Gangplank / Sejuani,Pyke / Rek'Sai,1490,2803,0.531573314306101,"Bilgewater,Freljord",0.512897010884728,0.550183616821032,TRUE,POS,(51.3%-55.0%),0.0755525060590299
Gangplank / Sejuani,Lulu / Zed (DE/IO),1351,2751,0.491094147582697,"Bilgewater,Freljord",0.472249124758738,0.509958140722523,FALSE,NEG,(47.2%-51.0%),0.0755525060590299
Gangplank / Sejuani,Gangplank / Miss Fortune (BW/NX),875,1954,0.447799385875128,"Bilgewater,Freljord",0.425587551460955,0.470168112551669,TRUE,NEG,(42.6%-47.0%),0.0755525060590299
Gangplank / Sejuani,Draven / Ezreal,1263,2224,0.567895683453237,"Bilgewater,Freljord",0.547004900434029,0.588607318299748,TRUE,POS,(54.7%-58.9%),0.0755525060590299
Gangplank / Sejuani,Draven / Jinx,1052,1981,0.531044926804644,"Bilgewater,Freljord",0.5087848638926,0.553212967289819,TRUE,POS,(50.9%-55.3%),0.0755525060590299
Gangplank / Sejuani,Akshan / Sivir (IO/SH),975,1914,0.509404388714734,"Bilgewater,Freljord",0.486747284101913,0.532032635391317,FALSE,POS,(48.7%-53.2%),0.0755525060590299
Gangplank / Sejuani,Akshan / Sivir / Zed,1005,2038,0.493130520117763,"Bilgewater,Freljord",0.471202547942981,0.515078280831769,FALSE,NEG,(47.1%-51.5%),0.0755525060590299
Gangplank / Sejuani,Jarvan IV / Shen,947,1587,0.596723377441714,"Bilgewater,Freljord",0.572112614568933,0.62097559781751,TRUE,POS,(57.2%-62.1%),0.0755525060590299
Gangplank / Sejuani,Akshan / Sivir (DE/SH),710,1628,0.436117936117936,"Bilgewater,Freljord",0.411855573293623,0.460611053718143,TRUE,NEG,(41.2%-46.1%),0.0755525060590299
Gangplank / Sejuani,Swain / Twisted Fate,887,1594,0.556461731493099,"Bilgewater,Freljord",0.531674227624829,0.581040907987756,TRUE,POS,(53.2%-58.1%),0.0755525060590299
Gangplank / Sejuani,Ezreal / Karma,942,1441,0.653712699514226,"Bilgewater,Freljord",0.62850609236531,0.678290975820397,TRUE,POS,(62.9%-67.8%),0.0755525060590299
Gangplank / Sejuani,Anivia (FR/SI),560,1245,0.449799196787149,"Bilgewater,Freljord",0.421910684389287,0.477925307317372,TRUE,NEG,(42.2%-47.8%),0.0755525060590299
Gangplank / Sejuani,Sivir / Zed,421,785,0.536305732484076,"Bilgewater,Freljord",0.500703169105614,0.571634660097635,TRUE,POS,(50.1%-57.2%),0.0755525060590299
Gangplank / Sejuani,Akshan / Lee Sin,361,692,0.521676300578035,"Bilgewater,Freljord",0.483710652493579,0.559456393146613,FALSE,POS,(48.4%-55.9%),0.0755525060590299
Gangplank / Sejuani,Viego (SI/SH),443,799,0.554443053817272,"Bilgewater,Freljord",0.519206665356505,0.589276334042485,TRUE,POS,(51.9%-58.9%),0.0755525060590299
Gangplank / Sejuani,Lee Sin / Zoe,459,985,0.465989847715736,"Bilgewater,Freljord",0.434471300071959,0.497712248747341,TRUE,NEG,(43.4%-49.8%),0.0755525060590299
Gangplank / Sejuani,Jinx / Lulu,437,773,0.565329883570505,"Bilgewater,Freljord",0.529544199897011,0.600615388161529,TRUE,POS,(53.0%-60.1%),0.0755525060590299
Gangplank / Sejuani,Viego (IO/SI),388,637,0.609105180533752,"Bilgewater,Freljord",0.569993143272962,0.647201121585182,TRUE,POS,(57.0%-64.7%),0.0755525060590299
Azir / Irelia,Gangplank / Sejuani,2073,3526,0.587918321043676,"Ionia,Shurima",0.571462746266036,0.604227956383652,TRUE,POS,(57.1%-60.4%),0.0658732749748232
Azir / Irelia,Azir / Irelia,1617,3234,0.5,"Ionia,Shurima",0.482619486846302,0.517380513153698,FALSE,NEG,(48.3%-51.7%),0.0658732749748232
Azir / Irelia,Pyke / Rek'Sai,1317,2790,0.472043010752688,"Ionia,Shurima",0.453377308575334,0.490767427823531,TRUE,NEG,(45.3%-49.1%),0.0658732749748232
Azir / Irelia,Lulu / Zed (DE/IO),532,1783,0.298373527762199,"Ionia,Shurima",0.277201582626721,0.320210913396231,TRUE,NEG,(27.7%-32.0%),0.0658732749748232
Azir / Irelia,Gangplank / Miss Fortune (BW/NX),651,1869,0.348314606741573,"Ionia,Shurima",0.326699541495892,0.370406768872559,TRUE,NEG,(32.7%-37.0%),0.0658732749748232
Azir / Irelia,Draven / Ezreal,661,1728,0.382523148148148,"Ionia,Shurima",0.359534930813846,0.405911115566389,TRUE,NEG,(36.0%-40.6%),0.0658732749748232
Azir / Irelia,Draven / Jinx,499,1869,0.266987693953986,"Ionia,Shurima",0.247042517751958,0.287666663319525,TRUE,NEG,(24.7%-28.8%),0.0658732749748232
Azir / Irelia,Akshan / Sivir (IO/SH),875,1843,0.474769397721107,"Ionia,Shurima",0.45175542064596,0.497863801121441,TRUE,NEG,(45.2%-49.8%),0.0658732749748232
Azir / Irelia,Akshan / Sivir / Zed,833,1719,0.484584060500291,"Ionia,Shurima",0.460711557815117,0.508509273544701,FALSE,NEG,(46.1%-50.9%),0.0658732749748232
Azir / Irelia,Jarvan IV / Shen,693,1423,0.486999297259311,"Ionia,Shurima",0.460727785701698,0.513324582285021,FALSE,NEG,(46.1%-51.3%),0.0658732749748232
Azir / Irelia,Akshan / Sivir (DE/SH),402,1013,0.396841066140178,"Ionia,Shurima",0.36655685792207,0.427726599576454,TRUE,NEG,(36.7%-42.8%),0.0658732749748232
Azir / Irelia,Swain / Twisted Fate,444,1039,0.427333974975938,"Ionia,Shurima",0.397015301746882,0.458065439595622,TRUE,NEG,(39.7%-45.8%),0.0658732749748232
Azir / Irelia,Ezreal / Karma,794,1223,0.649223221586263,"Ionia,Shurima",0.621735310546597,0.675991484167032,TRUE,POS,(62.2%-67.6%),0.0658732749748232
Azir / Irelia,Anivia (FR/SI),819,969,0.845201238390093,"Ionia,Shurima",0.820866705079293,0.867415595126248,TRUE,POS,(82.1%-86.7%),0.0658732749748232
Azir / Irelia,Sivir / Zed,516,1026,0.502923976608187,"Ionia,Shurima",0.47187162277337,0.533959511636654,FALSE,POS,(47.2%-53.4%),0.0658732749748232
Azir / Irelia,Akshan / Lee Sin,615,943,0.652173913043478,"Ionia,Shurima",0.620806434445804,0.68258732306124,TRUE,POS,(62.1%-68.3%),0.0658732749748232
Azir / Irelia,Viego (SI/SH),629,964,0.652489626556017,"Ionia,Shurima",0.621481238019786,0.68256298531163,TRUE,POS,(62.1%-68.3%),0.0658732749748232
Azir / Irelia,Lee Sin / Zoe,526,792,0.664141414141414,"Ionia,Shurima",0.630053259618177,0.69700190081778,TRUE,POS,(63.0%-69.7%),0.0658732749748232
Azir / Irelia,Jinx / Lulu,212,742,0.285714285714286,"Ionia,Shurima",0.253441712258912,0.31970068188331,TRUE,NEG,(25.3%-32.0%),0.0658732749748232
Azir / Irelia,Viego (IO/SI),410,635,0.645669291338583,"Ionia,Shurima",0.607069577565057,0.682907352839107,TRUE,POS,(60.7%-68.3%),0.0658732749748232
Pyke / Rek'Sai,Gangplank / Sejuani,1313,2803,0.468426685693899,"Bilgewater,Shurima",0.449816383178968,0.487102989115272,TRUE,NEG,(45.0%-48.7%),0.0552201724195173
Pyke / Rek'Sai,Azir / Irelia,1473,2790,0.527956989247312,"Bilgewater,Shurima",0.509232572176469,0.546622691424666,TRUE,POS,(50.9%-54.7%),0.0552201724195173
Pyke / Rek'Sai,Pyke / Rek'Sai,1221,2442,0.5,"Bilgewater,Shurima",0.479974288602983,0.520025711397017,FALSE,NEG,(48.0%-52.0%),0.0552201724195173
Pyke / Rek'Sai,Lulu / Zed (DE/IO),426,1390,0.306474820143885,"Bilgewater,Shurima",0.282308906917834,0.331461553279921,TRUE,NEG,(28.2%-33.1%),0.0552201724195173
Pyke / Rek'Sai,Gangplank / Miss Fortune (BW/NX),677,1608,0.421019900497512,"Bilgewater,Shurima",0.396740149090764,0.445588539404536,TRUE,NEG,(39.7%-44.6%),0.0552201724195173
Pyke / Rek'Sai,Draven / Ezreal,622,1368,0.454678362573099,"Bilgewater,Shurima",0.428047794264785,0.481503999363365,TRUE,NEG,(42.8%-48.2%),0.0552201724195173
Pyke / Rek'Sai,Draven / Jinx,665,1610,0.41304347826087,"Bilgewater,Shurima",0.388858928479072,0.437545707405866,TRUE,NEG,(38.9%-43.8%),0.0552201724195173
Pyke / Rek'Sai,Akshan / Sivir (IO/SH),652,1495,0.436120401337793,"Bilgewater,Shurima",0.410794872445305,0.461697363464405,TRUE,NEG,(41.1%-46.2%),0.0552201724195173
Pyke / Rek'Sai,Akshan / Sivir / Zed,599,1378,0.434687953555878,"Bilgewater,Shurima",0.408314995602643,0.461339986844045,TRUE,NEG,(40.8%-46.1%),0.0552201724195173
Pyke / Rek'Sai,Jarvan IV / Shen,593,1179,0.502968617472434,"Bilgewater,Shurima",0.474027455542105,0.531894937309096,FALSE,POS,(47.4%-53.2%),0.0552201724195173
Pyke / Rek'Sai,Akshan / Sivir (DE/SH),353,889,0.397075365579303,"Bilgewater,Shurima",0.364736073121907,0.430099125537346,TRUE,NEG,(36.5%-43.0%),0.0552201724195173
Pyke / Rek'Sai,Swain / Twisted Fate,469,917,0.511450381679389,"Bilgewater,Shurima",0.478559246494384,0.544267750576509,FALSE,POS,(47.9%-54.4%),0.0552201724195173
Pyke / Rek'Sai,Ezreal / Karma,517,918,0.56318082788671,"Bilgewater,Shurima",0.530391494610893,0.595563513498172,TRUE,POS,(53.0%-59.6%),0.0552201724195173
Pyke / Rek'Sai,Anivia (FR/SI),409,794,0.515113350125945,"Bilgewater,Shurima",0.479720163467869,0.550393936971417,FALSE,POS,(48.0%-55.0%),0.0552201724195173
Pyke / Rek'Sai,Sivir / Zed,441,1009,0.437066402378593,"Bilgewater,Shurima",0.406186880249154,0.46831413386161,TRUE,NEG,(40.6%-46.8%),0.0552201724195173
Pyke / Rek'Sai,Akshan / Lee Sin,452,806,0.560794044665012,"Bilgewater,Shurima",0.525741520114122,0.595400368726645,TRUE,POS,(52.6%-59.5%),0.0552201724195173
Pyke / Rek'Sai,Viego (SI/SH),441,773,0.570504527813713,"Bilgewater,Shurima",0.534748878079514,0.605720362196274,TRUE,POS,(53.5%-60.6%),0.0552201724195173
Pyke / Rek'Sai,Lee Sin / Zoe,350,667,0.524737631184408,"Bilgewater,Shurima",0.486051376722066,0.563204102753232,FALSE,POS,(48.6%-56.3%),0.0552201724195173
Pyke / Rek'Sai,Jinx / Lulu,271,549,0.493624772313297,"Bilgewater,Shurima",0.451024142341674,0.536294358705314,FALSE,NEG,(45.1%-53.6%),0.0552201724195173
Pyke / Rek'Sai,Viego (IO/SI),302,516,0.585271317829457,"Bilgewater,Shurima",0.541405221181878,0.628155021157207,TRUE,POS,(54.1%-62.8%),0.0552201724195173
Lulu / Zed (DE/IO),Gangplank / Sejuani,1400,2751,0.508905852417303,"Demacia,Ionia",0.490041859277477,0.527750875241262,FALSE,POS,(49.0%-52.8%),0.0407532010491252
Lulu / Zed (DE/IO),Azir / Irelia,1251,1783,0.701626472237802,"Demacia,Ionia",0.679789086603769,0.72279841737328,TRUE,POS,(68.0%-72.3%),0.0407532010491252
Lulu / Zed (DE/IO),Pyke / Rek'Sai,964,1390,0.693525179856115,"Demacia,Ionia",0.668538446720079,0.717691093082166,TRUE,POS,(66.9%-71.8%),0.0407532010491252
Lulu / Zed (DE/IO),Lulu / Zed (DE/IO),1034,2068,0.5,"Demacia,Ionia",0.478221387232349,0.521778612767651,FALSE,NEG,(47.8%-52.2%),0.0407532010491252
Lulu / Zed (DE/IO),Gangplank / Miss Fortune (BW/NX),589,1090,0.540366972477064,"Demacia,Ionia",0.510247053364501,0.570268433066644,TRUE,POS,(51.0%-57.0%),0.0407532010491252
Lulu / Zed (DE/IO),Draven / Ezreal,480,1316,0.364741641337386,"Demacia,Ionia",0.338681430374189,0.391407582250513,TRUE,NEG,(33.9%-39.1%),0.0407532010491252
Lulu / Zed (DE/IO),Draven / Jinx,427,958,0.445720250521921,"Demacia,Ionia",0.413932038493334,0.477843088116264,TRUE,NEG,(41.4%-47.8%),0.0407532010491252
Lulu / Zed (DE/IO),Akshan / Sivir (IO/SH),500,768,0.651041666666667,"Demacia,Ionia",0.616150750507311,0.684767479481991,TRUE,POS,(61.6%-68.5%),0.0407532010491252
Lulu / Zed (DE/IO),Akshan / Sivir / Zed,669,1035,0.646376811594203,"Demacia,Ionia",0.61638302884423,0.675535242997704,TRUE,POS,(61.6%-67.6%),0.0407532010491252
Lulu / Zed (DE/IO),Jarvan IV / Shen,306,746,0.410187667560322,"Demacia,Ionia",0.374636539779743,0.446451688317986,TRUE,NEG,(37.5%-44.6%),0.0407532010491252
Lulu / Zed (DE/IO),Akshan / Sivir (DE/SH),628,1175,0.534468085106383,"Demacia,Ionia",0.505465418963414,0.563297823056024,TRUE,POS,(50.5%-56.3%),0.0407532010491252
Lulu / Zed (DE/IO),Swain / Twisted Fate,316,1016,0.311023622047244,"Demacia,Ionia",0.282649275565865,0.340497551637027,TRUE,NEG,(28.3%-34.0%),0.0407532010491252
Lulu / Zed (DE/IO),Ezreal / Karma,265,754,0.351458885941645,"Demacia,Ionia",0.31735618934539,0.386728847430298,TRUE,NEG,(31.7%-38.7%),0.0407532010491252
Lulu / Zed (DE/IO),Anivia (FR/SI),343,785,0.436942675159236,"Demacia,Ionia",0.401900932022587,0.472459739619221,TRUE,NEG,(40.2%-47.2%),0.0407532010491252
Lulu / Zed (DE/IO),Sivir / Zed,157,215,0.730232558139535,"Demacia,Ionia",0.665661249949807,0.788334458565085,TRUE,POS,(66.6%-78.8%),0.0407532010491252
Lulu / Zed (DE/IO),Akshan / Lee Sin,194,279,0.695340501792115,"Demacia,Ionia",0.637667924124569,0.74880726708547,TRUE,POS,(63.8%-74.9%),0.0407532010491252
Lulu / Zed (DE/IO),Viego (SI/SH),209,301,0.694352159468439,"Demacia,Ionia",0.638915380090017,0.74591474958008,TRUE,POS,(63.9%-74.6%),0.0407532010491252
Lulu / Zed (DE/IO),Lee Sin / Zoe,314,558,0.562724014336918,"Demacia,Ionia",0.52042900561021,0.604351500376328,TRUE,POS,(52.0%-60.4%),0.0407532010491252
Lulu / Zed (DE/IO),Jinx / Lulu,145,355,0.408450704225352,"Demacia,Ionia",0.356861752586669,0.461579837874485,TRUE,NEG,(35.7%-46.2%),0.0407532010491252
Lulu / Zed (DE/IO),Viego (IO/SI),181,238,0.760504201680672,"Demacia,Ionia",0.701122421045131,0.813272628321711,TRUE,POS,(70.1%-81.3%),0.0407532010491252
Gangplank / Miss Fortune (BW/NX),Gangplank / Sejuani,1079,1954,0.552200614124872,"Bilgewater,Noxus",0.529831887448331,0.574412448539045,TRUE,POS,(53.0%-57.4%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Azir / Irelia,1218,1869,0.651685393258427,"Bilgewater,Noxus",0.629593231127441,0.673300458504108,TRUE,POS,(63.0%-67.3%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Pyke / Rek'Sai,931,1608,0.578980099502488,"Bilgewater,Noxus",0.554411460595464,0.603259850909236,TRUE,POS,(55.4%-60.3%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Lulu / Zed (DE/IO),501,1090,0.459633027522936,"Bilgewater,Noxus",0.429731566933356,0.489752946635499,TRUE,NEG,(43.0%-49.0%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Gangplank / Miss Fortune (BW/NX),598,1196,0.5,"Bilgewater,Noxus",0.471274697807405,0.528725302192595,FALSE,NEG,(47.1%-52.9%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Draven / Ezreal,503,935,0.537967914438503,"Bilgewater,Noxus",0.50539977828609,0.570296189514765,TRUE,POS,(50.5%-57.0%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Draven / Jinx,442,1061,0.416588124410933,"Bilgewater,Noxus",0.386719309672696,0.446920896033198,TRUE,NEG,(38.7%-44.7%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Akshan / Sivir (IO/SH),494,943,0.523860021208908,"Bilgewater,Noxus",0.491421285953874,0.556149317433869,FALSE,POS,(49.1%-55.6%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Akshan / Sivir / Zed,480,909,0.528052805280528,"Bilgewater,Noxus",0.495003681795337,0.560919595098811,FALSE,POS,(49.5%-56.1%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Jarvan IV / Shen,365,799,0.456821026282854,"Bilgewater,Noxus",0.421869660599488,0.492092082184176,TRUE,NEG,(42.2%-49.2%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Akshan / Sivir (DE/SH),271,683,0.396778916544656,"Bilgewater,Noxus",0.359871044010888,0.434582619663057,TRUE,NEG,(36.0%-43.5%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Swain / Twisted Fate,289,627,0.460925039872408,"Bilgewater,Noxus",0.421374009139841,0.500845637746267,FALSE,NEG,(42.1%-50.1%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Ezreal / Karma,295,640,0.4609375,"Bilgewater,Noxus",0.42179462287011,0.500442243740603,FALSE,NEG,(42.2%-50.0%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Anivia (FR/SI),229,554,0.413357400722022,"Bilgewater,Noxus",0.37200647954814,0.455637309797066,TRUE,NEG,(37.2%-45.6%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Sivir / Zed,359,667,0.538230884557721,"Bilgewater,Noxus",0.49954905359241,0.576573036580411,FALSE,POS,(50.0%-57.7%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Akshan / Lee Sin,266,513,0.518518518518519,"Bilgewater,Noxus",0.474306288052224,0.562516224679355,FALSE,POS,(47.4%-56.3%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Viego (SI/SH),223,462,0.482683982683983,"Bilgewater,Noxus",0.436273549087731,0.529317421756384,FALSE,NEG,(43.6%-52.9%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Lee Sin / Zoe,212,419,0.505966587112172,"Bilgewater,Noxus",0.457005245198575,0.554843105082552,FALSE,POS,(45.7%-55.5%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Jinx / Lulu,187,370,0.505405405405405,"Bilgewater,Noxus",0.453243430638035,0.557480224295752,FALSE,POS,(45.3%-55.7%),0.0374995849979527
Gangplank / Miss Fortune (BW/NX),Viego (IO/SI),164,311,0.527331189710611,"Bilgewater,Noxus",0.470204079512192,0.583932816783312,FALSE,POS,(47.0%-58.4%),0.0374995849979527
Draven / Ezreal,Gangplank / Sejuani,961,2224,0.432104316546763,"Noxus,Piltover",0.411392681700252,0.452995099565971,TRUE,NEG,(41.1%-45.3%),0.0373156007569637
Draven / Ezreal,Azir / Irelia,1067,1728,0.617476851851852,"Noxus,Piltover",0.594088884433611,0.640465069186154,TRUE,POS,(59.4%-64.0%),0.0373156007569637
Draven / Ezreal,Pyke / Rek'Sai,746,1368,0.545321637426901,"Noxus,Piltover",0.518496000636635,0.571952205735215,TRUE,POS,(51.8%-57.2%),0.0373156007569637
Draven / Ezreal,Lulu / Zed (DE/IO),836,1316,0.635258358662614,"Noxus,Piltover",0.608592417749487,0.661318569625811,TRUE,POS,(60.9%-66.1%),0.0373156007569637
Draven / Ezreal,Gangplank / Miss Fortune (BW/NX),432,935,0.462032085561497,"Noxus,Piltover",0.429703810485235,0.49460022171391,TRUE,NEG,(43.0%-49.5%),0.0373156007569637
Draven / Ezreal,Draven / Ezreal,581,1162,0.5,"Noxus,Piltover",0.47085221320268,0.529147786797321,FALSE,NEG,(47.1%-52.9%),0.0373156007569637
Draven / Ezreal,Draven / Jinx,552,1037,0.532304725168756,"Noxus,Piltover",0.501399037402746,0.563026575604996,TRUE,POS,(50.1%-56.3%),0.0373156007569637
Draven / Ezreal,Akshan / Sivir (IO/SH),405,932,0.434549356223176,"Noxus,Piltover",0.40243871955495,0.467074869304808,TRUE,NEG,(40.2%-46.7%),0.0373156007569637
Draven / Ezreal,Akshan / Sivir / Zed,457,993,0.460221550855992,"Noxus,Piltover",0.428875150806295,0.491804445164748,TRUE,NEG,(42.9%-49.2%),0.0373156007569637
Draven / Ezreal,Jarvan IV / Shen,443,756,0.585978835978836,"Noxus,Piltover",0.549927868798915,0.621356478614528,TRUE,POS,(55.0%-62.1%),0.0373156007569637
Draven / Ezreal,Akshan / Sivir (DE/SH),324,876,0.36986301369863,"Noxus,Piltover",0.337806506820734,0.402798186647847,TRUE,NEG,(33.8%-40.3%),0.0373156007569637
Draven / Ezreal,Swain / Twisted Fate,428,772,0.55440414507772,"Noxus,Piltover",0.51854402280036,0.58984721903656,TRUE,POS,(51.9%-59.0%),0.0373156007569637
Draven / Ezreal,Ezreal / Karma,279,706,0.395184135977337,"Noxus,Piltover",0.358916326816132,0.432331693058908,TRUE,NEG,(35.9%-43.2%),0.0373156007569637
