deck_code,archetype,archetype_self,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype_pretty,archetype_cluster,alle,alle.region
CEAQCBICAQBQCBACB4CQCAQCBALR4LAJAUBACAQDAYDRIFIYDIBAGAYCBEJBMBABAIAREHBB,Ahri,ahri/recall/late/mess,IO,221,05IO004 05IO004 05IO004 04IO015 04IO015 01IO002 01IO002 01IO008 01IO008 01IO023 01IO023 01IO030 01IO030 01IO044 01IO044 05IO001 05IO001 05IO002 05IO002 05IO003 05IO003 05IO006 05IO006 05IO007 05IO007 05IO020 05IO020 05IO021 05IO021 05IO024 05IO024 05IO026 05IO026 03IO009 03IO018 03IO022 01IO001 01IO018 01IO028 01IO033,IO,Ahri,IO,,,,40,,,,
CEBACBICAQCACAQGCEMDEBIBAEBCYAICAIFACAYCCQAQIAQPAICQEAI2AQAQIAQHAMBQEBIGCYCAKAQCCULRQBIBAIGBIJRRHE,Ahri,ahri/recall/elusive/allegiance,IO,221,05IO004 05IO004 05IO004 01IO006 01IO006 01IO006 01IO017 01IO017 01IO017 01IO024 01IO024 01IO024 01IO050 01IO050 01IO050 01IO044 01IO044 02IO010 02IO010 03IO020 03IO020 04IO015 04IO015 05IO001 05IO001 05IO026 05IO026 04IO007 03IO005 03IO006 03IO022 05IO002 05IO021 05IO023 05IO024 01IO012 01IO020 01IO038 01IO049 01IO057,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CEBQCAQCBIBAKAQEDIDACAQCBAGBCMRZAQAQIAQPAECQEFICAEBAWFICAIBACCABAEBQEBI,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO002 01IO002 01IO002 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 04IO015 04IO015 05IO021 05IO021 01IO011 01IO011 01IO021 01IO021 02IO001 02IO001 02IO008 02IO008 03IO005,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CEBQCBACB4BAKAQEDIDACAQGBMGBCLBSAMAQKAQCAIAQECBZAIBQEBIUAMAQCAQUAEBQEGIBAUBAC,Ahri,ahri/recall/elusive/allegiance,IO,221,04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 05IO002 05IO002 01IO008 01IO008 01IO057 01IO057 03IO005 03IO005 03IO020 03IO020 01IO020 03IO025 05IO001,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CECACAQCAUAQIAQPAIAQECZZAICQEBA2AQAQIAQHAIBAECIKAIBQEBIUAUAQEDBFFQYTEAQBAEBCMAIFAIDQ,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO005 02IO005 02IO005 04IO015 04IO015 04IO015 01IO011 01IO011 01IO011 01IO057 01IO057 01IO057 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 04IO007 04IO007 02IO009 02IO009 02IO010 02IO010 03IO005 03IO005 03IO020 03IO020 01IO012 01IO012 01IO037 01IO037 01IO044 01IO044 01IO049 01IO049 01IO050 01IO050 01IO038 05IO007,IO,Ahri,IO,"01IO050,01IO050",,,40,,,01IO050,IO
CECACAQCBIAQIAQPAIAQEDBZAMCQEAIDAQBQCAYCCQBQCARHFQ3QIBICAIDBOGQBAMCQEBYUDE,Ahri,ahri/recall/elusive/combo/mid,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 01IO012 01IO012 01IO012 01IO057 01IO057 01IO057 05IO001 05IO001 05IO001 05IO003 05IO003 05IO003 05IO004 05IO004 05IO004 03IO020 03IO020 01IO039 01IO039 01IO044 01IO044 01IO055 01IO055 05IO002 05IO002 05IO006 05IO006 05IO023 05IO023 05IO026 05IO026 05IO007 05IO020 05IO025,IO,Ahri,IO,,,,40,,,,
CECACAQCBIAQIAQPAICQEBA2AUAQEAQMCEZDSAYBAUBBKAQCAIAQQAYBAIEAWFIBAEBQEBI,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO002 01IO002 01IO002 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 05IO021 05IO021 02IO001 02IO001 02IO008 02IO008 01IO008 01IO008 01IO011 01IO011 01IO021 01IO021 03IO005,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CECACAQCBIAQIAQPAICQEBA2AYAQEBQIBYITEOIDAEBQEFABAUBACAYBAIGBKMIA,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO006 01IO006 01IO006 01IO008 01IO008 01IO008 01IO014 01IO014 01IO014 01IO017 01IO017 01IO017 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 03IO020 03IO020 05IO001 05IO001 01IO012 01IO012 01IO021 01IO021 01IO049 01IO049,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CECACAQCBIAQIAQPAMCQEBAVDIDQCAQCAYFRCLBSHEBACAICF4AQGAQFAA,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO002 01IO002 01IO002 01IO006 01IO006 01IO006 01IO011 01IO011 01IO011 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO047 01IO047 03IO005 03IO005,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CECACAQCBIBAIAQDB4BQKAQECUNAMAICAIDBCLBSHEBACAICBMAQGAQFAA,Ahri,ahri/recall/elusive/allegiance,IO,221,02IO010 02IO010 02IO010 04IO003 04IO003 04IO003 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO002 01IO002 01IO002 01IO006 01IO006 01IO006 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO011 01IO011 03IO005 03IO005,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
CECACAYCAUAQIAQPAECQEBAHAEBAMCAMCEWDEOIEAEBAECQBAMBBIAIEAIDQEAICBMYQA,Ahri,ahri/recall/elusive/allegiance,IO,221,03IO005 03IO005 03IO005 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 01IO006 01IO006 01IO006 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO017 01IO017 01IO017 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 02IO010 02IO010 03IO020 03IO020 04IO007 04IO007 01IO011 01IO011 01IO049 01IO049,IO,Ahri,IO,"01IO050,01IO050,01IO050",,,40,,,01IO050,IO
