deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_cluster,deck_code_2,
CQCACAIEGQAQEAYJAIAQGFROAYCQIBQJBUHA6GIEAEAQGMYBAMBQ2AIFBKMACAIFAQCAEAIBAQNQCBIEAI,"NX,PZ",219,01PZ052 01PZ052 01PZ052 02NX009 02NX009 02NX009 01NX022 01NX022 01NX022 01NX046 01NX046 01NX046 05PZ006 05PZ006 05PZ006 05PZ009 05PZ009 05PZ009 05PZ013 05PZ013 05PZ013 05PZ014 05PZ014 05PZ014 05PZ015 05PZ015 05PZ015 05PZ025 05PZ025 05PZ025 01NX051 01NX051 03NX013 03NX013 05BC152 05BC152 05PZ004 05PZ004 01PZ027 05PZ002,"BC,NX,PZ",Caitlyn,PZ,,01PZ052 01PZ052 01PZ052 02NX009 02NX009 02NX009 01NX022 01NX022 01NX022 01NX046 01NX046 01NX046 05PZ006 05PZ006 05PZ006 05PZ009 05PZ009 05PZ009 05PZ013 05PZ013 05PZ013 05PZ014 05PZ014 05PZ014 05PZ015 05PZ015 05PZ015 05PZ025 05PZ025 05PZ025 01NX051 01NX051 03NX013 03NX013 05PZ152 05PZ152 05PZ004 05PZ004 01PZ027 05PZ002,"NX,PZ","13,27",Caitlyn (NX/PZ),trap,CQCACAIEGQAQEAYJAIAQGFROAYCQIBQJBUHA6GIEAEAQGMYBAMBQ2AIFBKMACAIFAQCAEAIBAQNQCBIEAI,
CEAQCAIDCUBACAIDAYBQCBASFM2ASAICAQAQCBADA4AQIBANAIBQGAIEAMCQIBQOB4CACBA5FYZTMBADAQBQUCYRAYAQGCBFEYUC4MYHAIBQCAQEAYDQQCQ,"NX,PZ",214,01NX021 01NX021 01NX021 01NX006 01NX006 01PZ018 01PZ018 01PZ043 01PZ043 01PZ052 01PZ052 02PZ001 04NX007 04PZ013 03NX001 03NX004 05PZ006 05PZ014 05PZ015 01PZ029 01PZ046 01PZ051 01PZ054 03PZ003 03PZ010 03PZ011 03PZ017 01NX008 01NX037 01NX038 01NX040 01NX046 01NX051 02NX001 02NX002 02NX004 02NX006 02NX007 02NX008 02NX010,"NX,PZ","Caitlyn,Darius,Swain,Viktor,Vladimir","NX,PZ",01NX008,,,"21,19",Caitlyn/Darius/Swain/Viktor/Vladimir,singleton,CEAQCAIDCUBACAIDAYBQCBASFM2ASAICAQAQCBADA4AQIBANAIBQGAIEAMCQIBQOB4CACBA5FYZTMBADAQBQUCYRAYAQGCBFEYUC4MYHAIBQCAQEAYDQQCQ,
CQDACAQDBEAQGBARAECQVGABAECQIBQCAEBRILQCAECCMJYFAEBQGDIBAUBQSAIFAQIQEAIDGM3QEAIEAENQEAIDAQJACBIEBQ,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05BC152 05BC152 05BC152 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 03NX013 03NX013 05NX009 05NX009 05PZ017 05PZ017 01NX051 01NX051 01NX055 01NX055 01PZ001 01PZ001 01PZ027 01PZ027 03PZ018 05PZ012,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ152 05PZ152 05PZ152 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 03NX013 03NX013 05NX009 05NX009 05PZ017 05PZ017 01NX051 01NX051 01NX055 01NX055 01PZ001 01PZ001 01PZ027 01PZ027 03PZ018 05PZ012,"NX,PZ","17,23",Caitlyn/Draven,trib,CQDACAQDBEAQGBARAECQVGABAECQIBQCAEBRILQCAECCMJYFAEBQGDIBAUBQSAIFAQIQEAIDGM3QEAIEAENQEAIDAQJACBIEBQ,
CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AYBAQTCONADAEAQGNYBAMBQ2AQFAQGBCAICAECACGY,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05BC152 05BC152 05BC152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ052 01PZ052 01PZ052 01NX055 01NX055 03NX013 03NX013 05PZ012 05PZ012 05PZ017 05PZ017 01PZ001 01PZ027,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ152 05PZ152 05PZ152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ052 01PZ052 01PZ052 01NX055 01NX055 03NX013 03NX013 05PZ012 05PZ012 05PZ017 05PZ017 01PZ001 01PZ027,"NX,PZ","16,24",Caitlyn/Draven,trib,CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AYBAQTCONADAEAQGNYBAMBQ2AQFAQGBCAICAECACGY,
CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AQBAQTCOBABAECBWAIDAMGQCBIEBEBAIBAMCABQCAIDCYAQCBABAECQIDI,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05BC152 05BC152 05BC152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ027 01PZ027 03NX013 03NX013 05PZ009 05PZ009 04PZ012 04PZ012 04PZ016 04PZ016 01NX022 01PZ001 05PZ013,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ152 05PZ152 05PZ152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ027 01PZ027 03NX013 03NX013 05PZ009 05PZ009 04PZ012 04PZ012 04PZ016 04PZ016 01NX022 01PZ001 05PZ013,"NX,PZ","15,25",Caitlyn/Draven,trib,CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AQBAQTCOBABAECBWAIDAMGQCBIEBEBAIBAMCABQCAIDCYAQCBABAECQIDI,
CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAQTCOAYBAMKC4NYDAEBQGDIBAUCA2AQBAQNTIAQBAMCBEAIEAQBQ,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05BC152 05BC152 05BC152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01NX055 01NX055 01NX055 03NX013 03NX013 05PZ013 05PZ013 01PZ027 01PZ027 01PZ052 01PZ052 03PZ018 04PZ003,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ152 05PZ152 05PZ152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01NX055 01NX055 01NX055 03NX013 03NX013 05PZ013 05PZ013 01PZ027 01PZ027 01PZ052 01PZ052 03PZ018 04PZ003,"NX,PZ","17,23",Caitlyn/Draven,trib,CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAQTCOAYBAMKC4NYDAEBQGDIBAUCA2AQBAQNTIAQBAMCBEAIEAQBQ,
CQDACAIDCQAQEAYJAEBQIEIBAUBQSAIFAQDAEAIEEYTQMAIBAMXACAYDBUAQIBAQAECQVGABAECQIEICAECBWNAEAEAQIAIBAMCBEAIEAQBQEAIDGM3Q,"NX,PZ",214,01NX020 01NX020 01NX020 02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01NX046 01NX046 03NX013 03NX013 04PZ016 04PZ016 05BC152 05BC152 05PZ017 05PZ017 01PZ027 01PZ027 01PZ052 01PZ052 01PZ001 03PZ018 04PZ003 01NX051 01NX055,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,01NX020 01NX020 01NX020 02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01NX046 01NX046 03NX013 03NX013 04PZ016 04PZ016 05PZ152 05PZ152 05PZ017 05PZ017 01PZ027 01PZ027 01PZ052 01PZ052 01PZ001 03PZ018 04PZ003 01NX051 01NX055,"NX,PZ","15,25",Caitlyn/Draven,trib,CQDACAIDCQAQEAYJAEBQIEIBAUBQSAIFAQDAEAIEEYTQMAIBAMXACAYDBUAQIBAQAECQVGABAECQIEICAECBWNAEAEAQIAIBAMCBEAIEAQBQEAIDGM3Q,
CEEACAQDBEAQGBARAECAGCQBAQCBAAIFAMGQCBIEAYBACAYUFYBACBBGGQCACAIDGMAQCBA3AEBQGDIBAUCA2AICAECACJY,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 04NX010 04NX010 04NX010 04PZ016 04PZ016 04PZ016 05NX013 05NX013 05NX013 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ052 01PZ052 01PZ052 01NX051 01NX051 01PZ027 01PZ027 03NX013 03NX013 05PZ013 05PZ013 01PZ001 01PZ039,"NX,PZ","Caitlyn,Draven","NX,PZ",,,,"19,21",Caitlyn/Draven,trib,CEEACAQDBEAQGBARAECAGCQBAQCBAAIFAMGQCBIEAYBACAYUFYBACBBGGQCACAIDGMAQCBA3AEBQGDIBAUCA2AICAECACJY,
CQCQCAQDBEAQGBARAECQIBQDAEBRILRXAMAQIGZGGQCQCAIEAEAQGAYNAECQVGABAECQGCIBAUCBCAYBAEBTGAIBAQTQCBIEBQ,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01NX055 01NX055 01NX055 01PZ027 01PZ027 01PZ027 01PZ038 01PZ038 01PZ038 01PZ052 01PZ052 01PZ052 01PZ001 01PZ001 03NX013 03NX013 05BC152 05BC152 05NX009 05NX009 05PZ017 05PZ017 01NX051 01PZ039 05PZ012,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01NX055 01NX055 01NX055 01PZ027 01PZ027 01PZ027 01PZ038 01PZ038 01PZ038 01PZ052 01PZ052 01PZ052 01PZ001 01PZ001 03NX013 03NX013 05PZ152 05PZ152 05NX009 05NX009 05PZ017 05PZ017 01NX051 01PZ039 05PZ012,"NX,PZ","17,23",Caitlyn/Draven,trib,CQCQCAQDBEAQGBARAECQIBQDAEBRILRXAMAQIGZGGQCQCAIEAEAQGAYNAECQVGABAECQGCIBAUCBCAYBAEBTGAIBAQTQCBIEBQ,
CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AQBAQTCOBABAECBWAIDAMGQCBAECABAKBAMCEBQCAIDG4AQCBABAEBQIEQ,"NX,PZ",214,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05BC152 05BC152 05BC152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ027 01PZ027 03NX013 03NX013 04PZ016 04PZ016 05PZ012 05PZ012 05PZ017 05PZ017 01NX055 01PZ001 03PZ018,"BC,NX,PZ","Caitlyn,Draven","NX,PZ",,02NX009 02NX009 02NX009 03PZ017 03PZ017 03PZ017 05PZ152 05PZ152 05PZ152 05NX009 05NX009 05NX009 05PZ006 05PZ006 05PZ006 01NX020 01NX020 01NX020 01NX046 01NX046 01NX046 01PZ038 01PZ038 01PZ038 01PZ039 01PZ039 01PZ039 01PZ027 01PZ027 03NX013 03NX013 04PZ016 04PZ016 05PZ012 05PZ012 05PZ017 05PZ017 01NX055 01PZ001 03PZ018,"NX,PZ","15,25",Caitlyn/Draven,trib,CQDQCAQDBEAQGBARAECQVGABAECQGCIBAUCAMAQBAMKC4AQBAQTCOBABAECBWAIDAMGQCBAECABAKBAMCEBQCAIDG4AQCBABAEBQIEQ,
