deck,nBan,maxBan,factions,nWin,nGames,WR,n,playrate,meanBan,lplayrate,lWR,PR_ind,WR_ind,lWR_ind,meanBan_ind,WIN_ind,str_dim,LMI,tooltip,tooltip_mini,tier
Draven/Sion (NX/PZ),1741,4347,"faction_Noxus_Name,faction_Piltover_Name",2113,3965,0.532912988650694,917,0.48339483394834,0.40050609615827,0.144298031560111,0.562006764374296,1,0.764705882352941,0.96078431372549,0.843137254901961,0.92156862745098,0.92156862745098,1,"Draven/Sion (NX/PZ)
LMI 100
WinRate 53.3%
PlayRate 48.3%
BanRate 40.1%","Draven/Sion (NX/PZ)
LMI 100",Tier0
Poppy/Ziggs (BC/NX),726,2368,"faction_BandleCity_Name,faction_Noxus_Name",1386,2651,0.522821576763486,525,0.276752767527675,0.306587837837838,0.0942248251179437,0.520286602209945,0.980392156862745,0.686274509803922,0.725490196078431,0.568627450980392,0.735294117647059,0.725490196078431,0.901960784313725,"Poppy/Ziggs (BC/NX)
LMI 90.2
WinRate 52.3%
PlayRate 27.7%
BanRate 30.7%","Poppy/Ziggs (BC/NX)
LMI 90.2",Tier1
Senna/Veigar (BC/SI),722,1934,"faction_BandleCity_Name,faction_ShadowIsles_Name",949,1910,0.496858638743456,430,0.226673695308382,0.373319544984488,0.0753131608914918,0.505022140619937,0.96078431372549,0.509803921568627,0.588235294117647,0.784313725490196,0.509803921568627,0.686274509803922,0.882352941176471,"Senna/Veigar (BC/SI)
LMI 88.2
WinRate 49.7%
PlayRate 22.7%
BanRate 37.3%","Senna/Veigar (BC/SI)
LMI 88.2",Tier1
Akshan/Sivir (DE/SH),442,1588,"faction_Demacia_Name,faction_Shurima_Name",881,1747,0.50429307384087,344,0.181338956246705,0.278337531486146,0.0343826256710591,0.501064584811923,0.92156862745098,0.549019607843137,0.529411764705882,0.470588235294118,0.490196078431373,0.490196078431373,0.803921568627451,"Akshan/Sivir (DE/SH)
LMI 80.4
WinRate 50.4%
PlayRate 18.1%
BanRate 27.8%","Akshan/Sivir (DE/SH)
LMI 80.4",Tier2
Nami/Zoe,843,1976,"faction_Bilgewater_Name,faction_MtTargon_Name",901,1735,0.519308357348703,421,0.221929362150764,0.426619433198381,0.0635106556043599,0.541111680327869,0.941176470588235,0.666666666666667,0.882352941176471,0.941176470588235,0.843137254901961,0.941176470588235,0.980392156862745,"Nami/Zoe
LMI 98
WinRate 51.9%
PlayRate 22.2%
BanRate 42.7%","Nami/Zoe
LMI 98",Tier0
Gangplank/Twisted Fate (BC/BW),291,1369,"faction_BandleCity_Name,faction_Bilgewater_Name",877,1662,0.527677496991576,313,0.164997364259357,0.212563915266618,0.03744102814381,0.510102107321312,0.901960784313725,0.725490196078431,0.627450980392157,0.215686274509804,0.705882352941177,0.450980392156863,0.764705882352941,"Gangplank/Twisted Fate (BC/BW)
LMI 76.5
WinRate 52.8%
PlayRate 16.5%
BanRate 21.3%","Gangplank/Twisted Fate (BC/BW)
LMI 76.5",Tier2
Gangplank/Sejuani,244,1030,"faction_Bilgewater_Name,faction_Freljord_Name",627,1295,0.484169884169884,270,0.142329994728519,0.236893203883495,0.0374898324385879,0.502495118246908,0.882352941176471,0.490196078431373,0.549019607843137,0.274509803921569,0.450980392156863,0.333333333333333,0.686274509803922,"Gangplank/Sejuani
LMI 68.6
WinRate 48.4%
PlayRate 14.2%
BanRate 23.7%","Gangplank/Sejuani
LMI 68.6",Tier2
Lee Sin/Zoe,588,1296,"faction_Ionia_Name,faction_MtTargon_Name",604,1031,0.585838991270611,259,0.136531365313653,0.453703703703704,0.0280380673499268,0.538149115172614,0.862745098039216,0.901960784313725,0.843137254901961,1,0.941176470588235,1,0.96078431372549,"Lee Sin/Zoe
LMI 96.1
WinRate 58.6%
PlayRate 13.7%
BanRate 45.4%","Lee Sin/Zoe
LMI 96.1",Tier1
Fizz/Poppy (BC/NX),347,942,"faction_BandleCity_Name,faction_Noxus_Name",473,930,0.508602150537634,217,0.114391143911439,0.368365180467091,0.0425410769481048,0.54263862332696,0.843137254901961,0.607843137254902,0.901960784313725,0.745098039215686,0.803921568627451,0.872549019607843,0.92156862745098,"Fizz/Poppy (BC/NX)
LMI 92.2
WinRate 50.9%
PlayRate 11.4%
BanRate 36.8%","Fizz/Poppy (BC/NX)
LMI 92.2",Tier1
Ezreal/Vi (BC/PZ),122,483,"faction_BandleCity_Name,faction_Piltover_Name",269,566,0.475265017667845,115,0.0606220347917765,0.252587991718427,0.0325768667642753,0.486641697877653,0.803921568627451,0.431372549019608,0.392156862745098,0.372549019607843,0.392156862745098,0.362745098039216,0.666666666666667,"Ezreal/Vi (BC/PZ)
LMI 66.7
WinRate 47.5%
PlayRate 6.1%
BanRate 25.3%","Ezreal/Vi (BC/PZ)
LMI 66.7",Tier2
Trundle/Tryndamere (FR/SI),163,467,"faction_Freljord_Name,faction_ShadowIsles_Name",229,509,0.449901768172888,114,0.0600948866631523,0.349036402569593,0.0150886611355133,0.464150943396226,0.784313725490196,0.333333333333333,0.294117647058824,0.666666666666667,0.303921568627451,0.509803921568627,0.745098039215686,"Trundle/Tryndamere (FR/SI)
LMI 74.5
WinRate 45.0%
PlayRate 6.0%
BanRate 34.9%","Trundle/Tryndamere (FR/SI)
LMI 74.5",Tier2
Lulu/Poppy (BC/DE),226,544,"faction_BandleCity_Name,faction_Demacia_Name",266,475,0.56,117,0.0616763310490248,0.415441176470588,0.020237514234586,0.52491961414791,0.823529411764706,0.862745098039216,0.745098039215686,0.882352941176471,0.862745098039216,0.901960784313725,0.941176470588235,"Lulu/Poppy (BC/DE)
LMI 94.1
WinRate 56.0%
PlayRate 6.2%
BanRate 41.5%","Lulu/Poppy (BC/DE)
LMI 94.1",Tier1
Pyke/Rek'Sai,47,254,"faction_Bilgewater_Name,faction_Shurima_Name",164,365,0.449315068493151,69,0.0363732208750659,0.18503937007874,0.0231251016756141,0.473091804431938,0.725490196078431,0.313725490196078,0.352941176470588,0.0980392156862745,0.333333333333333,0.117647058823529,0.411764705882353,"Pyke/Rek'Sai
LMI 41.2
WinRate 44.9%
PlayRate 3.6%
BanRate 18.5%","Pyke/Rek'Sai
LMI 41.2",Tier3
Caitlyn/Draven,78,235,"faction_Noxus_Name,faction_Piltover_Name",122,309,0.394822006472492,72,0.0379546652609383,0.331914893617021,0.00804457458923052,0.437815975733064,0.745098039215686,0.137254901960784,0.117647058823529,0.607843137254902,0.0882352941176471,0.294117647058824,0.549019607843137,"Caitlyn/Draven
LMI 54.9
WinRate 39.5%
PlayRate 3.8%
BanRate 33.2%","Caitlyn/Draven
LMI 54.9",Tier3
Lulu/Zed (DE/IO),131,323,"faction_Demacia_Name,faction_Ionia_Name",150,292,0.513698630136986,75,0.0395361096468108,0.405572755417957,0.0044005205791443,0.508317929759704,0.764705882352941,0.647058823529412,0.607843137254902,0.862745098039216,0.637254901960784,0.833333333333333,0.862745098039216,"Lulu/Zed (DE/IO)
LMI 86.3
WinRate 51.4%
PlayRate 4.0%
BanRate 40.6%","Lulu/Zed (DE/IO)
LMI 86.3",Tier1
Lissandra/Taliyah,70,234,"faction_Freljord_Name,faction_Shurima_Name",128,253,0.505928853754941,53,0.0279388508170796,0.299145299145299,0.0143484626647145,0.503968253968254,0.696078431372549,0.568627450980392,0.568627450980392,0.529411764705882,0.549019607843137,0.549019607843137,0.705882352941177,"Lissandra/Taliyah
LMI 70.6
WinRate 50.6%
PlayRate 2.8%
BanRate 29.9%","Lissandra/Taliyah
LMI 70.6",Tier2
Gangplank/Miss Fortune (BW/NX),33,181,"faction_Bilgewater_Name,faction_Noxus_Name",107,249,0.429718875502008,53,0.0279388508170796,0.18232044198895,0.00401822027005043,0.497975708502024,0.696078431372549,0.274509803921569,0.470588235294118,0.0784313725490196,0.352941176470588,0.137254901960784,0.392156862745098,"Gangplank/Miss Fortune (BW/NX)
LMI 39.2
WinRate 43.0%
PlayRate 2.8%
BanRate 18.2%","Gangplank/Miss Fortune (BW/NX)
LMI 39.2",Tier3
