playerMatch.id,deck_id_1,deck_id_2,deck_id_3
1,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,CMCACAQAAEAQGAAOAIAQACI5AYCAOFBWM6AADAIBQIAQEAIEAABAGBAHBVOYUAICAEAQAGQBAQAAG,
2,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,CMCACAQAAEAQGAAOAIAQACI5AYCAOFBWM6AADAIBQIAQEAIEAABAGBAHBVOYUAICAEAQAGQBAQAAG,
3,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,,CICACAQGDAAQGBQRAICQMBILA4BQSCJDFAVDGYWXAEBACAYJKUAQIBQOAIAQGCK3AIBAMHJN
4,CICACAQBAIAQGBQIAECAMCQHAIDAWFBAEEWTUPACAECQMAIDAIDAEIRGAIAQEBQEAEBQCFQ,,CQBQCAIFFABAKBIIBEEAKCQEDIYTSXK6MKTACAQBAECRIAQFBIA5CAIBAEAQKHI
5,,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,CQBQCAIFFABAKBIIBEEAKCQEDIYTSXK6MKTACAQBAECRIAQFBIA5CAIBAEAQKHI
6,,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,CQBQCAIFFABAKBIIBEEAKCQEDIYTSXK6MKTACAQBAECRIAQFBIA5CAIBAEAQKHI
7,,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,
8,,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,CQBAGBAHCQ3IUAIJAUFGA5EEAGCQDIABUYA26ANZAHAACAICAUFADDABAA
9,CIBQCAICBQCAEAQDAYEASBIDBEERWIZT24AQGAIBAIYQCAQCAUBAGCJJKUBACAICAIAQGAQU,,CQBAGBAHCQ3IUAIJAUFGA5EEAGCQDIABUYA26ANZAHAACAICAUFADDABAA
10,,,CQBAGBAHCQ3IUAIJAUFGA5EEAGCQDIABUYA26ANZAHAACAICAUFADDABAA
11,,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,CQBAGBAHCQ3IUAIJAUFGA5EEAGCQDIABUYA26ANZAHAACAICAUFADDABAA
12,CIBQCAICBQCAEAQDAYEASBIDBEERWIZT24AQGAIBAIYQCAQCAUBAGCJJKUBACAICAIAQGAQU,CQCACAQEBABACBBEGQBAKBAMCEDAKCQEFAY2MANPAG6ACAYBAECBWAIEAQDQCBIKAEAQCAYEBM,
13,,CQCACAQEBIBQCBAIDE2AGBIKARC2IAIDAUCAEBQOAIAQCBB2AMCQUKEYAGTACAQBAECCOAIFAQGA,CQBQCAIFFABAKBIIBEEAKCQEDIYTSXK6MKTACAQBAECRIAQFBIA5CAIBAEAQKHI
14,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,CQCACAQEBIBQCBAIDE2AGBIKARC2IAIDAUCAEBQOAIAQCBB2AMCQUKEYAGTACAQBAECCOAIFAQGA,
15,,,CQBQCAIFFABAKBIIBEEAKCQEDIYTSXK6MKTACAQBAECRIAQFBIA5CAIBAEAQKHI
16,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,CQCACAQEBIBQCBAIDE2AGBIKARC2IAIDAUCAEBQOAIAQCBB2AMCQUKEYAGTACAQBAECCOAIFAQGA,
17,CECACAIDCQAQIBAQAQAQIJRHFU2AIBIDAECASDIEAEAQGLQBAECACAIDAMHQCAYECIBACAIDGMAQEAYJ,CQCACAQEBIBQCBAIDE2AGBIKARC2IAIDAUCAEBQOAIAQCBB2AMCQUKEYAGTACAQBAECCOAIFAQGA,
18,,CIBQCAICBQCAEAQDAYEASBIDBEERWIZT24AQGAIBAIYQCAQCAUBAGCJJKUBACAICAIAQGAQU,CMBAKBAGAEBAGBIPAYCAOAITIFCEUUACAECAMBYCAQDRMRIBAECAMBA
