playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Akshan,SunDisc,8,16,0.5
Ahri/Kennen (BW/IO),SunDisc,2,10,0.2
Ahri/Kennen (IO/SH),SunDisc,5,12,0.416666666666667
Ahri/Lulu (IO/PZ),SunDisc,5,14,0.357142857142857
Akshan/Aphelios,Aphelios/Viktor,11,18,0.611111111111111
Akshan/Aphelios,SunDisc,20,92,0.217391304347826
Akshan/Aphelios,Tri-Beam (NX/PZ),4,13,0.307692307692308
Akshan/Ekko,SunDisc,6,17,0.352941176470588
Akshan/Gnar,SunDisc,5,15,0.333333333333333
Akshan/Gnar/Renekton,SunDisc,7,11,0.636363636363636
Akshan/Karma,SunDisc,11,32,0.34375
Akshan/Lee Sin,SunDisc,22,49,0.448979591836735
Akshan/Sivir (DE/SH),Aphelios/Viktor,21,38,0.552631578947369
Akshan/Sivir (DE/SH),Aurelion Sol/Tryndamere,9,13,0.692307692307692
Akshan/Sivir (DE/SH),Aurelion Sol/Zoe (FR/MT),13,23,0.565217391304348
Akshan/Sivir (DE/SH),Azir/Irelia,17,27,0.62962962962963
Akshan/Sivir (DE/SH),Caitlyn/Teemo (BC/PZ),10,12,0.833333333333333
Akshan/Sivir (DE/SH),Draven/Rumble (NX/PZ),6,11,0.545454545454545
Akshan/Sivir (DE/SH),Elise (NX/SI),10,18,0.555555555555556
Akshan/Sivir (DE/SH),Kindred/Viego (IO/SI),4,13,0.307692307692308
Akshan/Sivir (DE/SH),Miss Fortune/Quinn,11,17,0.647058823529412
Akshan/Sivir (DE/SH),Pantheon/Yuumi (DE/MT),17,25,0.68
Akshan/Sivir (DE/SH),Pyke/Rek'Sai,9,18,0.5
Akshan/Sivir (DE/SH),Senna/Veigar,12,16,0.75
Akshan/Sivir (DE/SH),SunDisc,115,287,0.400696864111498
Akshan/Sivir (DE/SH),Taliyah/Ziggs,5,13,0.384615384615385
Akshan/Sivir (DE/SH),Tri-Beam (NX/PZ),25,61,0.409836065573771
Akshan/Sivir (FR/SH),SunDisc,5,11,0.454545454545455
Akshan/Taliyah (FR/SH),SunDisc,5,12,0.416666666666667
Akshan/Udyr,SunDisc,3,10,0.3
Akshan/Viktor,SunDisc,50,63,0.793650793650794
Akshan/Viktor,Tri-Beam (NX/PZ),9,15,0.6
Anivia (FR/SI),Azir/Irelia,2,10,0.2
Anivia (FR/SI),SunDisc,23,79,0.291139240506329
Anivia (FR/SI),Tri-Beam (NX/PZ),13,18,0.722222222222222
Aphelios/Aurelion Sol/Vi/Viktor,SunDisc,7,10,0.7
Aphelios/Aurelion Sol/Zoe (FR/MT),SunDisc,9,18,0.5
Aphelios/Diana (MT/SI),Aphelios/Viktor,8,30,0.266666666666667
Aphelios/Diana (MT/SI),Azir/Irelia,7,13,0.538461538461538
Aphelios/Diana (MT/SI),Elise (NX/SI),7,10,0.7
Aphelios/Diana (MT/SI),Miss Fortune/Quinn,4,14,0.285714285714286
Aphelios/Diana (MT/SI),Pantheon/Yuumi (DE/MT),4,14,0.285714285714286
Aphelios/Diana (MT/SI),SunDisc,46,169,0.272189349112426
