playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Katarina,"Pirates (BW,NX)",8,54,0.148148148148148
Ahri/Katarina,SunDisc,33,54,0.611111111111111
Ahri/Katarina,Trundle/Tryndamere (FR/SI),25,56,0.446428571428571
Ahri/Kennen (IO/SH),SunDisc,41,63,0.650793650793651
Ahri/Kennen (IO/SH),Trundle/Tryndamere (FR/SI),30,77,0.38961038961039
Akshan/Lee Sin,Pantheon/Yuumi (DE/MT),26,57,0.456140350877193
Akshan/Lee Sin,"Pirates (BW,NX)",33,78,0.423076923076923
Akshan/Lee Sin,SunDisc,36,82,0.439024390243902
Akshan/Lee Sin,Taliyah/Ziggs,13,54,0.240740740740741
Akshan/Lee Sin,Tri-Beam (NX/PZ),32,59,0.542372881355932
Akshan/Lee Sin,Trundle/Tryndamere (FR/SI),43,72,0.597222222222222
Akshan/Sivir (DE/SH),Akshan/Udyr,49,96,0.510416666666667
Akshan/Sivir (DE/SH),Aphelios/Fizz (BC/MT),29,58,0.5
Akshan/Sivir (DE/SH),Azir/Irelia,40,56,0.714285714285714
Akshan/Sivir (DE/SH),Draven/Sion (NX/PZ),41,84,0.488095238095238
Akshan/Sivir (DE/SH),Ezreal/Kennen (IO/PZ),30,74,0.405405405405405
Akshan/Sivir (DE/SH),Heimerdinger/Jayce (PZ/SI),40,78,0.512820512820513
Akshan/Sivir (DE/SH),Jayce/Lux,50,110,0.454545454545455
Akshan/Sivir (DE/SH),Malphite/Taliyah,29,66,0.439393939393939
Akshan/Sivir (DE/SH),Pantheon/Yuumi (DE/MT),79,164,0.481707317073171
Akshan/Sivir (DE/SH),"Pirates (BW,NX)",85,170,0.5
Akshan/Sivir (DE/SH),Sentinel Control,45,59,0.76271186440678
Akshan/Sivir (DE/SH),SunDisc,101,245,0.412244897959184
Akshan/Sivir (DE/SH),Taliyah/Ziggs,62,153,0.405228758169935
Akshan/Sivir (DE/SH),Tri-Beam (NX/PZ),96,215,0.446511627906977
Akshan/Sivir (DE/SH),Trundle/Tryndamere (FR/SI),104,207,0.502415458937198
Akshan/Sivir (DE/SH),Viego (SI/SH),59,116,0.508620689655172
Akshan/Udyr,Akshan/Sivir (DE/SH),47,96,0.489583333333333
Akshan/Udyr,Akshan/Udyr,157,314,0.5
Akshan/Udyr,Aphelios/Fizz (BC/MT),69,158,0.436708860759494
Akshan/Udyr,Aphelios/Viktor,49,99,0.494949494949495
Akshan/Udyr,Ashe/LeBlanc,39,120,0.325
Akshan/Udyr,Aurelion Sol/Zoe (FR/MT),44,85,0.517647058823529
Akshan/Udyr,Azir/Irelia,36,119,0.302521008403361
Akshan/Udyr,Caitlyn/Teemo (BC/PZ),41,84,0.488095238095238
Akshan/Udyr,Darius/Gnar (FR/NX),21,54,0.388888888888889
Akshan/Udyr,Diana/Nocturne,26,51,0.509803921568627
Akshan/Udyr,Draven/Sion (NX/PZ),74,231,0.32034632034632
Akshan/Udyr,Ekko/Zilean,68,127,0.535433070866142
Akshan/Udyr,Elise (NX/SI),21,53,0.39622641509434
Akshan/Udyr,Ezreal/Heimerdinger (BC/PZ),63,112,0.5625
Akshan/Udyr,Ezreal/Kennen (IO/PZ),66,183,0.360655737704918
Akshan/Udyr,Ezreal/Teemo (FR/PZ),22,78,0.282051282051282
Akshan/Udyr,Galio/Udyr,37,92,0.402173913043478
Akshan/Udyr,Garen/Jarvan IV,85,170,0.5
Akshan/Udyr,Heimerdinger/Jayce (PZ/SI),90,188,0.478723404255319
Akshan/Udyr,Jayce/Lux,157,317,0.495268138801262
Akshan/Udyr,Kindred/Viego (IO/SI),27,82,0.329268292682927
Akshan/Udyr,LeBlanc/Sivir,39,72,0.541666666666667
Akshan/Udyr,Malphite/Taliyah,73,199,0.366834170854271
Akshan/Udyr,Miss Fortune/Quinn,61,120,0.508333333333333
Akshan/Udyr,Nasus/Thresh,50,107,0.467289719626168
Akshan/Udyr,Nasus/Viego,21,63,0.333333333333333
Akshan/Udyr,Pantheon/Yuumi (DE/MT),123,407,0.302211302211302
Akshan/Udyr,"Pirates (BW,NX)",191,537,0.355679702048417
Akshan/Udyr,Pyke/Rek'Sai,53,115,0.460869565217391
Akshan/Udyr,Senna/Veigar,60,115,0.521739130434783
Akshan/Udyr,Sentinel Control,100,193,0.518134715025907
Akshan/Udyr,SunDisc,300,667,0.449775112443778
Akshan/Udyr,Taliyah/Ziggs,140,347,0.403458213256484
Akshan/Udyr,Tri-Beam (NX/PZ),223,551,0.404718693284937
Akshan/Udyr,Trundle/Tryndamere (FR/SI),258,532,0.484962406015038
Akshan/Udyr,Trundle/Udyr (FR/SI),34,50,0.68
Akshan/Udyr,Udyr/Viktor,41,77,0.532467532467532
Akshan/Udyr,Viego (SI/SH),103,239,0.430962343096234
Akshan/Udyr,Viktor - Shellfolk,44,116,0.379310344827586
Anivia (FR/SI),Jayce/Lux,30,59,0.508474576271186
Anivia (FR/SI),Pantheon/Yuumi (DE/MT),31,61,0.508196721311475
Anivia (FR/SI),"Pirates (BW,NX)",47,70,0.671428571428571
Anivia (FR/SI),SunDisc,16,87,0.183908045977012
Anivia (FR/SI),Taliyah/Ziggs,8,52,0.153846153846154
Anivia (FR/SI),Tri-Beam (NX/PZ),52,72,0.722222222222222
Anivia (FR/SI),Trundle/Tryndamere (FR/SI),18,73,0.246575342465753
Aphelios/Fizz (BC/MT),Akshan/Sivir (DE/SH),29,58,0.5
Aphelios/Fizz (BC/MT),Akshan/Udyr,89,158,0.563291139240506
Aphelios/Fizz (BC/MT),Aphelios/Fizz (BC/MT),67,134,0.5
Aphelios/Fizz (BC/MT),Aphelios/Viktor,26,67,0.388059701492537
Aphelios/Fizz (BC/MT),Azir/Irelia,50,99,0.505050505050505
Aphelios/Fizz (BC/MT),Caitlyn/Teemo (BC/PZ),29,60,0.483333333333333
Aphelios/Fizz (BC/MT),Darius/Gnar (FR/NX),30,56,0.535714285714286
Aphelios/Fizz (BC/MT),Draven/Sion (NX/PZ),93,162,0.574074074074074
Aphelios/Fizz (BC/MT),Ekko/Zilean,22,62,0.354838709677419
Aphelios/Fizz (BC/MT),Ezreal/Heimerdinger (BC/PZ),47,81,0.580246913580247
Aphelios/Fizz (BC/MT),Ezreal/Kennen (IO/PZ),83,145,0.572413793103448
Aphelios/Fizz (BC/MT),Heimerdinger/Jayce (PZ/SI),70,143,0.48951048951049
Aphelios/Fizz (BC/MT),Jayce/Lux,127,243,0.522633744855967
Aphelios/Fizz (BC/MT),Karma/Viktor,19,51,0.372549019607843
Aphelios/Fizz (BC/MT),Kindred/Viego (IO/SI),40,60,0.666666666666667
Aphelios/Fizz (BC/MT),Malphite/Taliyah,58,109,0.532110091743119
Aphelios/Fizz (BC/MT),Miss Fortune/Quinn,32,81,0.395061728395062
Aphelios/Fizz (BC/MT),Nasus/Viego,30,53,0.566037735849057
Aphelios/Fizz (BC/MT),Pantheon/Yuumi (DE/MT),143,315,0.453968253968254
Aphelios/Fizz (BC/MT),"Pirates (BW,NX)",199,329,0.604863221884498
Aphelios/Fizz (BC/MT),Pyke/Rek'Sai,41,71,0.577464788732394
Aphelios/Fizz (BC/MT),Senna/Veigar,52,91,0.571428571428571
Aphelios/Fizz (BC/MT),Sentinel Control,76,118,0.64406779661017
Aphelios/Fizz (BC/MT),SunDisc,235,393,0.597964376590331
Aphelios/Fizz (BC/MT),Taliyah/Ziggs,180,313,0.575079872204473
Aphelios/Fizz (BC/MT),Tri-Beam (NX/PZ),140,270,0.518518518518519
Aphelios/Fizz (BC/MT),Trundle/Tryndamere (FR/SI),245,470,0.521276595744681
Aphelios/Fizz (BC/MT),Viego (SI/SH),130,238,0.546218487394958
Aphelios/Fizz (BC/MT),Viktor - Shellfolk,24,53,0.452830188679245
Aphelios/Lux,Jayce/Lux,29,51,0.568627450980392
Aphelios/Lux,Pantheon/Yuumi (DE/MT),45,69,0.652173913043478
Aphelios/Lux,"Pirates (BW,NX)",53,83,0.63855421686747
Aphelios/Lux,SunDisc,13,91,0.142857142857143
Aphelios/Lux,Tri-Beam (NX/PZ),41,88,0.465909090909091
Aphelios/Lux,Trundle/Tryndamere (FR/SI),32,93,0.344086021505376
Aphelios/Lux,Viego (SI/SH),21,51,0.411764705882353
Aphelios/Vi/Zoe,"Pirates (BW,NX)",30,54,0.555555555555556
Aphelios/Vi/Zoe,SunDisc,32,69,0.463768115942029
Aphelios/Vi/Zoe,Tri-Beam (NX/PZ),21,54,0.388888888888889
Aphelios/Vi/Zoe,Trundle/Tryndamere (FR/SI),15,57,0.263157894736842
Aphelios/Viktor,Akshan/Udyr,50,99,0.505050505050505
Aphelios/Viktor,Aphelios/Fizz (BC/MT),41,67,0.611940298507463
Aphelios/Viktor,Draven/Sion (NX/PZ),49,82,0.597560975609756
Aphelios/Viktor,Ezreal/Heimerdinger (BC/PZ),26,55,0.472727272727273
Aphelios/Viktor,Ezreal/Kennen (IO/PZ),36,67,0.537313432835821
Aphelios/Viktor,Garen/Jarvan IV,21,52,0.403846153846154
Aphelios/Viktor,Heimerdinger/Jayce (PZ/SI),30,68,0.441176470588235
Aphelios/Viktor,Jayce/Lux,45,113,0.398230088495575
Aphelios/Viktor,Malphite/Taliyah,27,65,0.415384615384615
Aphelios/Viktor,Pantheon/Yuumi (DE/MT),78,157,0.496815286624204
Aphelios/Viktor,"Pirates (BW,NX)",120,206,0.58252427184466
Aphelios/Viktor,Senna/Veigar,22,51,0.431372549019608
Aphelios/Viktor,Sentinel Control,23,60,0.383333333333333
Aphelios/Viktor,SunDisc,129,243,0.530864197530864
Aphelios/Viktor,Taliyah/Ziggs,65,163,0.398773006134969
Aphelios/Viktor,Tri-Beam (NX/PZ),95,223,0.426008968609866
Aphelios/Viktor,Trundle/Tryndamere (FR/SI),135,265,0.509433962264151
Aphelios/Viktor,Viego (SI/SH),42,110,0.381818181818182
Ashe/LeBlanc,Akshan/Udyr,81,120,0.675
Ashe/LeBlanc,Ashe/LeBlanc,35,70,0.5
Ashe/LeBlanc,Draven/Sion (NX/PZ),31,86,0.36046511627907
Ashe/LeBlanc,Ezreal/Heimerdinger (BC/PZ),14,52,0.269230769230769
Ashe/LeBlanc,Ezreal/Kennen (IO/PZ),21,62,0.338709677419355
Ashe/LeBlanc,Garen/Jarvan IV,54,87,0.620689655172414
Ashe/LeBlanc,Jayce/Lux,46,123,0.373983739837398
Ashe/LeBlanc,Malphite/Taliyah,40,63,0.634920634920635
Ashe/LeBlanc,Nasus/Thresh,42,68,0.617647058823529
Ashe/LeBlanc,Pantheon/Yuumi (DE/MT),90,153,0.588235294117647
Ashe/LeBlanc,"Pirates (BW,NX)",48,189,0.253968253968254
Ashe/LeBlanc,Senna/Veigar,18,53,0.339622641509434
Ashe/LeBlanc,Sentinel Control,32,111,0.288288288288288
Ashe/LeBlanc,SunDisc,108,263,0.4106463878327
Ashe/LeBlanc,Taliyah/Ziggs,49,103,0.475728155339806
Ashe/LeBlanc,Tri-Beam (NX/PZ),60,234,0.256410256410256
Ashe/LeBlanc,Trundle/Tryndamere (FR/SI),68,187,0.363636363636364
Ashe/LeBlanc,Viego (SI/SH),32,59,0.542372881355932
Aurelion Sol/Trundle,"Pirates (BW,NX)",20,53,0.377358490566038
Aurelion Sol/Trundle,Trundle/Tryndamere (FR/SI),32,57,0.56140350877193
Aurelion Sol/Zoe (FR/MT),Akshan/Udyr,41,85,0.482352941176471
Aurelion Sol/Zoe (FR/MT),Draven/Sion (NX/PZ),32,75,0.426666666666667
Aurelion Sol/Zoe (FR/MT),Ezreal/Kennen (IO/PZ),44,67,0.656716417910448
Aurelion Sol/Zoe (FR/MT),Heimerdinger/Jayce (PZ/SI),25,57,0.43859649122807
Aurelion Sol/Zoe (FR/MT),Jayce/Lux,66,124,0.532258064516129
Aurelion Sol/Zoe (FR/MT),Malphite/Taliyah,22,56,0.392857142857143
Aurelion Sol/Zoe (FR/MT),Miss Fortune/Quinn,12,54,0.222222222222222
Aurelion Sol/Zoe (FR/MT),Pantheon/Yuumi (DE/MT),56,139,0.402877697841727
Aurelion Sol/Zoe (FR/MT),"Pirates (BW,NX)",49,149,0.328859060402685
Aurelion Sol/Zoe (FR/MT),Sentinel Control,30,70,0.428571428571429
Aurelion Sol/Zoe (FR/MT),SunDisc,130,238,0.546218487394958
Aurelion Sol/Zoe (FR/MT),Taliyah/Ziggs,38,107,0.355140186915888
Aurelion Sol/Zoe (FR/MT),Tri-Beam (NX/PZ),117,178,0.657303370786517
Aurelion Sol/Zoe (FR/MT),Trundle/Tryndamere (FR/SI),98,223,0.439461883408072
Aurelion Sol/Zoe (FR/MT),Viego (SI/SH),21,82,0.25609756097561
Azir/Irelia,Akshan/Sivir (DE/SH),16,56,0.285714285714286
Azir/Irelia,Akshan/Udyr,83,119,0.697478991596639
Azir/Irelia,Aphelios/Fizz (BC/MT),49,99,0.494949494949495
Azir/Irelia,Azir/Irelia,30,60,0.5
Azir/Irelia,Draven/Sion (NX/PZ),25,99,0.252525252525253
Azir/Irelia,Ezreal/Heimerdinger (BC/PZ),26,50,0.52
Azir/Irelia,Ezreal/Kennen (IO/PZ),39,78,0.5
Azir/Irelia,Garen/Jarvan IV,28,52,0.538461538461538
Azir/Irelia,Heimerdinger/Jayce (PZ/SI),53,98,0.540816326530612
