time,archetype_1,n,freq
2024-02-22T18:00:00Z,Other,1356,0.631873252562908
2024-02-22T18:00:00Z,Teemo (BC/PZ),46,0.0214352283317801
2024-02-22T18:00:00Z,Karma/Sett (IO/PZ),44,0.0205032618825722
2024-02-22T18:00:00Z,Ekko/Jinx (PZ/SH),47,0.021901211556384
2024-02-22T18:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),54,0.0251630941286114
2024-02-22T18:00:00Z,Caitlyn/Teemo (FR/PZ),49,0.0228331780055918
2024-02-22T18:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),42,0.0195712954333644
2024-02-22T18:00:00Z,Ashe/LeBlanc (FR/NX),81,0.0377446411929171
2024-02-22T18:00:00Z,Pyke/Rek'Sai (BW/SH),56,0.0260950605778192
2024-02-22T18:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),73,0.0340167753960857
2024-02-22T18:00:00Z,Elder Dragon (RU/FR),97,0.0452003727865797
2024-02-22T18:00:00Z,Annie/Jhin (RU/NX),80,0.0372786579683131
2024-02-22T18:00:00Z,Gwen/Zed (IO/SI),121,0.0563839701770736
2024-02-22T19:00:00Z,Other,1395,0.654929577464789
2024-02-22T19:00:00Z,Teemo (BC/PZ),47,0.0220657276995305
2024-02-22T19:00:00Z,Karma/Sett (IO/PZ),35,0.0164319248826291
2024-02-22T19:00:00Z,Ekko/Jinx (PZ/SH),50,0.0234741784037559
2024-02-22T19:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),14,0.00657276995305164
2024-02-22T19:00:00Z,Caitlyn/Teemo (FR/PZ),74,0.0347417840375587
2024-02-22T19:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),62,0.0291079812206573
2024-02-22T19:00:00Z,Ashe/LeBlanc (FR/NX),46,0.0215962441314554
2024-02-22T19:00:00Z,Pyke/Rek'Sai (BW/SH),40,0.0187793427230047
2024-02-22T19:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),63,0.0295774647887324
2024-02-22T19:00:00Z,Elder Dragon (RU/FR),75,0.0352112676056338
2024-02-22T19:00:00Z,Annie/Jhin (RU/NX),71,0.0333333333333333
2024-02-22T19:00:00Z,Gwen/Zed (IO/SI),158,0.0741784037558685
2024-02-22T20:00:00Z,Other,1282,0.653414882772681
2024-02-22T20:00:00Z,Teemo (BC/PZ),50,0.0254841997961264
2024-02-22T20:00:00Z,Karma/Sett (IO/PZ),34,0.017329255861366
2024-02-22T20:00:00Z,Ekko/Jinx (PZ/SH),41,0.0208970438328237
2024-02-22T20:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),30,0.0152905198776758
2024-02-22T20:00:00Z,Caitlyn/Teemo (FR/PZ),53,0.027013251783894
2024-02-22T20:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),42,0.0214067278287462
2024-02-22T20:00:00Z,Ashe/LeBlanc (FR/NX),54,0.0275229357798165
2024-02-22T20:00:00Z,Pyke/Rek'Sai (BW/SH),36,0.018348623853211
2024-02-22T20:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),51,0.0259938837920489
2024-02-22T20:00:00Z,Elder Dragon (RU/FR),119,0.0606523955147808
2024-02-22T20:00:00Z,Annie/Jhin (RU/NX),78,0.0397553516819572
2024-02-22T20:00:00Z,Gwen/Zed (IO/SI),92,0.0468909276248726
2024-02-22T21:00:00Z,Other,1311,0.675773195876289
2024-02-22T21:00:00Z,Teemo (BC/PZ),61,0.0314432989690722
2024-02-22T21:00:00Z,Karma/Sett (IO/PZ),34,0.0175257731958763
2024-02-22T21:00:00Z,Ekko/Jinx (PZ/SH),27,0.0139175257731959
2024-02-22T21:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),43,0.0221649484536082
2024-02-22T21:00:00Z,Caitlyn/Teemo (FR/PZ),40,0.0206185567010309
2024-02-22T21:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),48,0.0247422680412371
2024-02-22T21:00:00Z,Ashe/LeBlanc (FR/NX),38,0.0195876288659794
2024-02-22T21:00:00Z,Pyke/Rek'Sai (BW/SH),55,0.0283505154639175
2024-02-22T21:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),35,0.0180412371134021
2024-02-22T21:00:00Z,Elder Dragon (RU/FR),82,0.0422680412371134
2024-02-22T21:00:00Z,Annie/Jhin (RU/NX),76,0.0391752577319588
2024-02-22T21:00:00Z,Gwen/Zed (IO/SI),90,0.0463917525773196
2024-02-22T22:00:00Z,Other,1205,0.662816281628163
2024-02-22T22:00:00Z,Teemo (BC/PZ),28,0.0154015401540154
2024-02-22T22:00:00Z,Karma/Sett (IO/PZ),30,0.0165016501650165
2024-02-22T22:00:00Z,Ekko/Jinx (PZ/SH),33,0.0181518151815182
2024-02-22T22:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),22,0.0121012101210121
2024-02-22T22:00:00Z,Caitlyn/Teemo (FR/PZ),41,0.0225522552255226
2024-02-22T22:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),50,0.0275027502750275
2024-02-22T22:00:00Z,Ashe/LeBlanc (FR/NX),45,0.0247524752475248
2024-02-22T22:00:00Z,Pyke/Rek'Sai (BW/SH),34,0.0187018701870187
2024-02-22T22:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),60,0.033003300330033
2024-02-22T22:00:00Z,Elder Dragon (RU/FR),88,0.0484048404840484
2024-02-22T22:00:00Z,Annie/Jhin (RU/NX),72,0.0396039603960396
2024-02-22T22:00:00Z,Gwen/Zed (IO/SI),110,0.0605060506050605
2024-02-22T23:00:00Z,Other,1165,0.670310701956272
2024-02-22T23:00:00Z,Teemo (BC/PZ),21,0.0120828538550058
2024-02-22T23:00:00Z,Karma/Sett (IO/PZ),18,0.0103567318757192
2024-02-22T23:00:00Z,Ekko/Jinx (PZ/SH),38,0.0218642117376295
2024-02-22T23:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),13,0.00747986191024166
2024-02-22T23:00:00Z,Caitlyn/Teemo (FR/PZ),43,0.024741081703107
2024-02-22T23:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),30,0.0172612197928654
2024-02-22T23:00:00Z,Ashe/LeBlanc (FR/NX),50,0.0287686996547756
2024-02-22T23:00:00Z,Pyke/Rek'Sai (BW/SH),52,0.0299194476409666
2024-02-22T23:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),79,0.0454545454545455
2024-02-22T23:00:00Z,Elder Dragon (RU/FR),64,0.0368239355581128
2024-02-22T23:00:00Z,Annie/Jhin (RU/NX),75,0.0431530494821634
2024-02-22T23:00:00Z,Gwen/Zed (IO/SI),90,0.0517836593785961
2024-02-23T00:00:00Z,Other,1040,0.643564356435644
2024-02-23T00:00:00Z,Teemo (BC/PZ),31,0.0191831683168317
2024-02-23T00:00:00Z,Karma/Sett (IO/PZ),33,0.0204207920792079
2024-02-23T00:00:00Z,Ekko/Jinx (PZ/SH),33,0.0204207920792079
2024-02-23T00:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),25,0.015470297029703
2024-02-23T00:00:00Z,Caitlyn/Teemo (FR/PZ),22,0.0136138613861386
2024-02-23T00:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),40,0.0247524752475248
2024-02-23T00:00:00Z,Ashe/LeBlanc (FR/NX),51,0.0315594059405941
2024-02-23T00:00:00Z,Pyke/Rek'Sai (BW/SH),38,0.0235148514851485
2024-02-23T00:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),52,0.0321782178217822
2024-02-23T00:00:00Z,Elder Dragon (RU/FR),82,0.0507425742574258
2024-02-23T00:00:00Z,Annie/Jhin (RU/NX),88,0.0544554455445545
2024-02-23T00:00:00Z,Gwen/Zed (IO/SI),81,0.0501237623762376
2024-02-23T01:00:00Z,Other,1049,0.649938042131351
2024-02-23T01:00:00Z,Teemo (BC/PZ),33,0.0204460966542751
2024-02-23T01:00:00Z,Karma/Sett (IO/PZ),33,0.0204460966542751
2024-02-23T01:00:00Z,Ekko/Jinx (PZ/SH),35,0.0216852540272615
2024-02-23T01:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),34,0.0210656753407683
2024-02-23T01:00:00Z,Caitlyn/Teemo (FR/PZ),34,0.0210656753407683
2024-02-23T01:00:00Z,Elder Dragon/Mordekaiser/Viego (RU/SI),41,0.0254027261462206
2024-02-23T01:00:00Z,Ashe/LeBlanc (FR/NX),28,0.0173482032218092
2024-02-23T01:00:00Z,Pyke/Rek'Sai (BW/SH),31,0.0192069392812887
2024-02-23T01:00:00Z,Elder Dragon/Galio/Morgana (RU/DE),68,0.0421313506815366
2024-02-23T01:00:00Z,Elder Dragon (RU/FR),96,0.0594795539033457
2024-02-23T01:00:00Z,Annie/Jhin (RU/NX),62,0.0384138785625775
2024-02-23T01:00:00Z,Gwen/Zed (IO/SI),70,0.0433705080545229
2024-02-23T02:00:00Z,Other,1021,0.652813299232737
2024-02-23T02:00:00Z,Teemo (BC/PZ),34,0.0217391304347826
2024-02-23T02:00:00Z,Karma/Sett (IO/PZ),22,0.0140664961636829
2024-02-23T02:00:00Z,Ekko/Jinx (PZ/SH),27,0.0172634271099744
2024-02-23T02:00:00Z,Elder Dragon/Morgana/Shyvana (RU/DE),30,0.0191815856777494
