archetype_1,archetype_2,mu_win,mu_n,mu_wr
Evelynn (RU/MT),Evelynn (RU/MT),419,838,0.5
Evelynn (RU/MT),Karma/Sett (IO/PZ),189,386,0.489637305699482
Karma/Sett (IO/PZ),Evelynn (RU/MT),197,386,0.510362694300518
Evelynn (RU/MT),Evelynn/Kayle (RU/MT),381,742,0.513477088948787
Evelynn/Kayle (RU/MT),Evelynn (RU/MT),361,742,0.486522911051213
Annie/Jhin (RU/NX),Jinx/Samira (NX/PZ),77,254,0.303149606299213
Jinx/Samira (NX/PZ),Annie/Jhin (RU/NX),177,254,0.696850393700787
Evelynn (RU/MT),Evelynn/Viego (RU/SI),55,92,0.597826086956522
Evelynn/Viego (RU/SI),Evelynn (RU/MT),37,92,0.402173913043478
Evelynn/Viego (RU/SI),Jinx/Samira (NX/PZ),16,45,0.355555555555556
Jinx/Samira (NX/PZ),Evelynn/Viego (RU/SI),29,45,0.644444444444445
Evelynn/Kayle (RU/MT),Jinx/Samira (NX/PZ),133,292,0.455479452054795
Jinx/Samira (NX/PZ),Evelynn/Kayle (RU/MT),159,292,0.544520547945206
Evelynn/Viego (RU/SI),Evelynn/Lucian (DE/RU),7,15,0.466666666666667
Garen/Neeko (DE/RU),Gnar/Norra (BC/NX),7,15,0.466666666666667
Annie/Jhin (RU/NX),Neeko (FR/RU),7,15,0.466666666666667
Neeko/Teemo (BC/RU),Evelynn/Kayle (RU/MT),7,15,0.466666666666667
Fizz/Samira (BW/NX),Jack/Seraphine (BW/PZ),7,15,0.466666666666667
Garen/Neeko (DE/RU),Karma/Sett (IO/SI),7,15,0.466666666666667
Aurelion Sol (FR/MT),Ashe/LeBlanc (FR/NX),7,15,0.466666666666667
Fizz/Samira (BW/NX),Jarvan IV/Shen (DE/IO),7,15,0.466666666666667
Maokai/Nautilus (BW/SI),Nasus (SI/SH),7,15,0.466666666666667
Ekko/Nidalee (PZ/SH),Heimerdinger/Jayce (PZ/SI),7,15,0.466666666666667
Gwen/Samira (NX/SI),Garen/Neeko (DE/RU),7,15,0.466666666666667
Jhin/Norra (BC/RU),Garen/Neeko (DE/RU),7,15,0.466666666666667
Caitlyn/Teemo (FR/PZ),Fizz (BW/MT),7,15,0.466666666666667
Evelynn/Lucian (DE/RU),Evelynn/Viego (RU/SI),8,15,0.533333333333333
Gnar/Norra (BC/NX),Garen/Neeko (DE/RU),8,15,0.533333333333333
Neeko (FR/RU),Annie/Jhin (RU/NX),8,15,0.533333333333333
Evelynn/Kayle (RU/MT),Neeko/Teemo (BC/RU),8,15,0.533333333333333
Jack/Seraphine (BW/PZ),Fizz/Samira (BW/NX),8,15,0.533333333333333
Karma/Sett (IO/SI),Garen/Neeko (DE/RU),8,15,0.533333333333333
Ashe/LeBlanc (FR/NX),Aurelion Sol (FR/MT),8,15,0.533333333333333
