mu_win,mu_n,ci,ok_ci,archetype_1,archetype_2,mu_wr,direction,mirror,playrate_1,playrate_2
66,219,(24.1% - 36.7%),TRUE,Jax/Ornn (FR/RU),Ryze (IO/RU),0.301369863013699,NEG,No,0.0569586601089991,0.0528512561478134
153,219,(63.3% - 75.9%),TRUE,Ryze (IO/RU),Jax/Ornn (FR/RU),0.698630136986301,POS,No,0.0528512561478134,0.0569586601089991
33,76,(32.1% - 55.3%),FALSE,Jax/Ornn (FR/RU),Annie/Jhin (RU/NX),0.434210526315789,NEG,No,0.0569586601089991,0.0197527582081616
43,76,(44.7% - 67.9%),FALSE,Annie/Jhin (RU/NX),Jax/Ornn (FR/RU),0.565789473684211,POS,No,0.0197527582081616,0.0569586601089991
25,43,(42.1% - 73.0%),FALSE,Jax/Ornn (FR/RU),Norra/Veigar (BC/SI),0.581395348837209,POS,No,0.0569586601089991,0.0108866143825601
25,43,(42.1% - 73.0%),FALSE,Gnar/Tristana (BC/NX),Norra/Viego (BC/SI),0.581395348837209,POS,No,0.0275156187691081,0.020350923833577
18,43,(27.0% - 57.9%),FALSE,Norra/Veigar (BC/SI),Jax/Ornn (FR/RU),0.418604651162791,NEG,No,0.0108866143825601,0.0569586601089991
18,43,(27.0% - 57.9%),FALSE,Norra/Viego (BC/SI),Gnar/Tristana (BC/NX),0.418604651162791,NEG,No,0.020350923833577,0.0275156187691081
136,272,(43.9% - 56.1%),FALSE,Jax/Ornn (FR/RU),Jax/Ornn (FR/RU),0.5,TIE,Yes,0.0569586601089991,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Fizz/Yuumi (BC/FR),Jax/Ornn (FR/RU),0,NEG,No,0.000531702778147016,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Illaoi/Twisted Fate (BW/IO),Viktor (BC/PZ),0,NEG,No,0.038003456068058,0.000544995347600691
0,2,(0.0% - 84.2%),FALSE,Jax/Varus (RU/RU),Master Yi/Ryze (IO/RU),0,NEG,No,0.000930479861757278,0.0112986840356241
0,2,(0.0% - 84.2%),FALSE,Jax/Varus (RU/RU),Katarina/Leona (MT/NX),0,NEG,No,0.000930479861757278,0.0171872923036023
0,2,(0.0% - 84.2%),FALSE,Jax/Vayne (DE/RU),Jax/Ornn (FR/RU),0,NEG,No,0.000132925694536754,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Jinx/Lulu (BC/PZ),Ornn/Vayne (DE/FR),0,NEG,No,0.0048650804200452,0.00186095972351456
0,2,(0.0% - 84.2%),FALSE,Hecarim/Zed (IO/SI),Illaoi/Ornn (BW/FR),0,NEG,No,0.0131330586202313,0.00148876777881164
0,2,(0.0% - 84.2%),FALSE,Ryze (IO/RU),Jax/Master Yi (IO/RU),0,NEG,No,0.0528512561478134,0.000212681111258806
0,2,(0.0% - 84.2%),FALSE,Jax/Ornn (FR/RU),Lissandra/Trundle (FR/IO),0,NEG,No,0.0569586601089991,0.00192742257078293
0,2,(0.0% - 84.2%),FALSE,LeBlanc/Sivir (NX/SH),Jinx/Lulu (BC/PZ),0,NEG,No,0.0032433869466968,0.0048650804200452
0,2,(0.0% - 84.2%),FALSE,Annie/Darius/Jhin (RU/NX),Anivia (FR/SI),0,NEG,No,0.000465239930878639,0.0143692675794231
0,2,(0.0% - 84.2%),FALSE,Akshan/Varus (SH/RU),Ezreal/Seraphine (PZ/SI),0,NEG,No,0.0075103017413266,0.0025920510434667
0,2,(0.0% - 84.2%),FALSE,Lissandra/Trundle (FR/IO),Hecarim/Zed (IO/SI),0,NEG,No,0.00192742257078293,0.0131330586202313
0,2,(0.0% - 84.2%),FALSE,Lissandra/Trundle (FR/IO),Rumble/Vayne (DE/NX),0,NEG,No,0.00192742257078293,0.00639372590721787
0,2,(0.0% - 84.2%),FALSE,Illaoi/Vayne (BW/DE),Lissandra/Trundle (FR/IO),0,NEG,No,0.00466569187824006,0.00192742257078293
0,2,(0.0% - 84.2%),FALSE,Jarvan IV/Shyvana (DE/SI),Heimerdinger/Jayce (PZ/SI),0,NEG,No,0.000731091319952147,0.0139439053569055
0,2,(0.0% - 84.2%),FALSE,Norra/Veigar (BC/SI),LeBlanc/Sivir (NX/SH),0,NEG,No,0.0108866143825601,0.0032433869466968
0,2,(0.0% - 84.2%),FALSE,Gangplank/Twisted Fate (BC/BW),Ryze (IO/RU),0,NEG,No,5.31702778147016e-05,0.0528512561478134
0,2,(0.0% - 84.2%),FALSE,Illaoi/Udyr (BW/FR),Pyke/Rek'Sai (BW/SH),0,NEG,No,0.00103682041738668,0.0261198989764722
0,2,(0.0% - 84.2%),FALSE,Pyke/Rek'Sai (BW/SH),Kindred/Viego (NX/SI),0,NEG,No,0.0261198989764722,0.00034560680579556
0,2,(0.0% - 84.2%),FALSE,Miss Fortune/Quinn (BW/DE),Swain/Twisted Fate (BW/NX),0,NEG,No,0.00135584208427489,0.0154858434135318
0,2,(0.0% - 84.2%),FALSE,Miss Fortune/Quinn (BW/DE),Jax/Tristana (BC/RU),0,NEG,No,0.00135584208427489,0.00127608666755284
0,2,(0.0% - 84.2%),FALSE,Ryze (IO/RU),Championless (DE/SI),0,NEG,No,0.0528512561478134,0.00031902166688821
0,2,(0.0% - 84.2%),FALSE,Miss Fortune/Twisted Fate (BW/NX),Miss Fortune/Quinn (BW/DE),0,NEG,No,0.044144623155656,0.00135584208427489
0,2,(0.0% - 84.2%),FALSE,Jinx/Teemo (DE/PZ),Miss Fortune/Quinn (BW/DE),0,NEG,No,9.30479861757278e-05,0.00135584208427489
0,2,(0.0% - 84.2%),FALSE,Miss Fortune/Quinn (BW/DE),Anivia (FR/SI),0,NEG,No,0.00135584208427489,0.0143692675794231
0,2,(0.0% - 84.2%),FALSE,Kindred/Viego (NX/SI),Jax/Ornn (FR/RU),0,NEG,No,0.00034560680579556,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Braum/Vladimir (FR/NX),Annie/Jhin (RU/NX),0,NEG,No,0.000797554167220524,0.0197527582081616
0,2,(0.0% - 84.2%),FALSE,Garen (DE/SI),Gwen/Katarina (NX/SI),0,NEG,No,6.6462847268377e-05,0.0341884886348531
0,2,(0.0% - 84.2%),FALSE,Gangplank/Sejuani (BW/FR),Gwen/Irelia (IO/SI),0,NEG,No,0.0184766715406088,0.00257875847401303
0,2,(0.0% - 84.2%),FALSE,Bard/Illaoi (RU/BW),Annie/Katarina (NX/PZ),0,NEG,No,0.00152864548717267,0.00693872125481856
0,2,(0.0% - 84.2%),FALSE,Senna/Veigar (BC/SI),Bard/Illaoi (RU/BW),0,NEG,No,0.0175727768177589,0.00152864548717267
0,2,(0.0% - 84.2%),FALSE,Elise (NX/SI),Ekko/Jinx (PZ/SH),0,NEG,No,0.0017280340289778,0.00800212681111259
0,2,(0.0% - 84.2%),FALSE,Aphelios/Leona (MT/SI),Ekko/Jinx (PZ/SH),0,NEG,No,0.00320350923833577,0.00800212681111259
0,2,(0.0% - 84.2%),FALSE,Jax/Tristana (BC/RU),Gangplank/Sejuani (BW/FR),0,NEG,No,0.00127608666755284,0.0184766715406088
0,2,(0.0% - 84.2%),FALSE,Jax/Tristana (BC/RU),Rumble/Vayne (DE/NX),0,NEG,No,0.00127608666755284,0.00639372590721787
0,2,(0.0% - 84.2%),FALSE,Caitlyn/Teemo (BC/PZ),Braum/Vladimir (FR/NX),0,NEG,No,0.00586202312907085,0.000797554167220524
0,2,(0.0% - 84.2%),FALSE,Shyvana/Vayne (DE/SI),Akshan/Varus (SH/RU),0,NEG,No,0.000358899375249236,0.0075103017413266
0,2,(0.0% - 84.2%),FALSE,Master Yi/Udyr (FR/IO),Jax/Ornn (FR/RU),0,NEG,No,0.000239266250166157,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Bard/Kayle (RU/MT),Kalista/Lucian (DE/SI),0,NEG,No,0.00101023527847933,0.00493154326731357
0,2,(0.0% - 84.2%),FALSE,Caitlyn/Teemo (BC/PZ),Azir/Irelia (IO/SH),0,NEG,No,0.00586202312907085,0.00781603083876113
0,2,(0.0% - 84.2%),FALSE,Anivia/Tryndamere (FR/SI),Jax/Ornn (FR/RU),0,NEG,No,0.000146218263990429,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Lissandra/Trundle (FR/IO),Kayle/Zed (IO/MT),0,NEG,No,0.00192742257078293,0.0260002658513891
0,2,(0.0% - 84.2%),FALSE,Kalista/Lucian (DE/SI),Elise/Viego (NX/SI),0,NEG,No,0.00493154326731357,0.000943772431210953
0,2,(0.0% - 84.2%),FALSE,Heimerdinger/Norra (BC/SI),Lissandra/Trundle (FR/IO),0,NEG,No,0.00615445965705171,0.00192742257078293
0,2,(0.0% - 84.2%),FALSE,Azir/Lucian (DE/SH),Diana/Nocturne (MT/SI),0,NEG,No,0.000598165625415393,0.00111657583410873
0,2,(0.0% - 84.2%),FALSE,Illaoi/Jarvan IV (BW/DE),Trundle (FR/PZ),0,NEG,No,0.00333643493287252,0.00607470424032966
0,2,(0.0% - 84.2%),FALSE,Annie (NX/PZ),Maokai/Nautilus (BW/SI),0,NEG,No,0.00017280340289778,0.010195400770969
