archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Fizz/Samira (BW/NX),Samira/Sion (BC/NX),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.249762583095916,0.00130579297245964
Samira (BW/NX),Jack/Sett (BW/IO),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0121082621082621,0.0115147198480532
Fizz/Samira (BW/NX),Illaoi/Jarvan IV (BW/DE),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.249762583095916,0.00130579297245964
Caitlyn/Swain (NX/PZ),Garen/Jarvan IV (DE/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00830959164292498,0.00296771130104463
Jack/Sett (BW/IO),Annie/Caitlyn (NX/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0115147198480532,0.0156695156695157
Senna/Veigar (BC/SI),Jack/Sett (BW/IO),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00795346628679962,0.0115147198480532
Fizz/Samira (BW/NX),Jack/Norra (BC/BW),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.249762583095916,0.00178062678062678
Karma/Sett (IO/MT),Karma/Sett (IO/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00735992402659069,0.0891500474833808
Miss Fortune/Quinn (BW/DE),Jack (BW/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0328822412155746,0.00462962962962963
Heimerdinger/Jayce (PZ/SI),Heimerdinger/Norra (BC/SI),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0312203228869896,0.00759734093067427
Fizz/Samira (BW/NX),Jack/Miss Fortune (BW/DE),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.249762583095916,0.000830959164292498
Heimerdinger/Norra (BC/SI),Jack (BW/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00759734093067427,0.00462962962962963
Miss Fortune/Samira (BW/NX),Jack (BW/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0178062678062678,0.00462962962962963
Pyke/Rek'Sai (BW/SH),Ekko/Jinx (PZ/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0543684710351377,0.00795346628679962
Maokai/Nautilus (BW/SI),Karma/Sett (IO/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0105650522317189,0.0891500474833808
Samira (BW/NX),Caitlyn/Teemo (BC/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0121082621082621,0.0155508072174739
Miss Fortune/Samira (BW/NX),Aatrox/Vayne (RU/DE),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0178062678062678,0.0181623931623932
Darius/Gnar (FR/NX),Fizz/Samira (BW/NX),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.000712250712250712,0.249762583095916
Maokai/Nautilus (BW/SI),Heimerdinger/Jayce (PZ/SI),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0105650522317189,0.0312203228869896
Seraphine/Sett (IO/PZ),Pyke/Rek'Sai (BW/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00308641975308642,0.0543684710351377
Fizz/Samira (BW/NX),Master Yi/Samira (IO/NX),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.249762583095916,0.00320512820512821
Annie/Miss Fortune (BW/NX),Gwen/Quinn (DE/SI),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00332383665716999,0.042022792022792
Norra/Veigar (BC/SI),Jack/Sett (BW/IO),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0192307692307692,0.0115147198480532
Ahri/Samira (IO/NX),Pyke/Rek'Sai (BW/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00261158594491928,0.0543684710351377
Miss Fortune/Quinn (BW/DE),Annie/Miss Fortune (BW/NX),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0328822412155746,0.00332383665716999
Norra/Viego (BC/SI),Fizz/Samira (BW/NX),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.000712250712250712,0.249762583095916
Miss Fortune/Quinn (BW/DE),Gwen/Vayne (DE/SI),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.0328822412155746,0.00712250712250712
Jack/Samira (BW/NX),Karma/Sett (IO/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00284900284900285,0.0891500474833808
Nami/Samira (BW/NX),Karma/Sett (IO/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00249287749287749,0.0891500474833808
Karma/Sett (IO/MT),Norra/Veigar (BC/SI),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00735992402659069,0.0192307692307692
Gwen/Quinn (DE/SI),Akshan/Kai'Sa (DE/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.042022792022792,0.00130579297245964
Annie/Miss Fortune (BW/NX),Karma/Sett (IO/PZ),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00332383665716999,0.0891500474833808
Jack/Seraphine (BW/PZ),Karma/Sett (IO/MT),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00629154795821463,0.00735992402659069
Lissandra/Taliyah (FR/SH),Pyke/Rek'Sai (BW/SH),1,3,0.333333333333333,(0.8% - 90.6%),FALSE,NEG,No,0.00593542260208927,0.0543684710351377
