archetype_1,archetype_2,mu_win,mu_n,mu_wr
Annie/Jhin (RU/NX),Morgana/Seraphine (MT/PZ),1,2,0.5
Morgana/Seraphine (MT/PZ),Annie/Jhin (RU/NX),1,2,0.5
Elder Dragon/Volibear (RU/FR),Norra/Yuumi (BC/MT),1,2,0.5
Norra/Yuumi (BC/MT),Elder Dragon/Volibear (RU/FR),1,2,0.5
Mordekaiser/Sion (NX/SI),Diana/Morgana (MT/NX),1,2,0.5
Diana/Morgana (MT/NX),Mordekaiser/Sion (NX/SI),1,2,0.5
Ahri/Morgana (IO/MT),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Ahri/Morgana (IO/MT),1,2,0.5
Morgana/Riven (MT/NX),Elder Dragon/Morgana (RU/MT),1,2,0.5
Elder Dragon/Morgana (RU/MT),Morgana/Riven (MT/NX),1,2,0.5
Jinx/Kennen (BC/PZ),Pyke/Rek'Sai (BW/SH),1,2,0.5
Pyke/Rek'Sai (BW/SH),Jinx/Kennen (BC/PZ),1,2,0.5
Elder Dragon/Volibear (RU/FR),Elder Dragon/Sejuani (RU/FR),1,2,0.5
Elder Dragon/Sejuani (RU/FR),Elder Dragon/Volibear (RU/FR),1,2,0.5
Garen/Shyvana (RU/DE),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Garen/Shyvana (RU/DE),1,2,0.5
Miss Fortune/Quinn (BW/DE),Ashe/LeBlanc (FR/NX),1,2,0.5
Ashe/LeBlanc (FR/NX),Miss Fortune/Quinn (BW/DE),1,2,0.5
Riven/Varus (NX/RU),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Riven/Varus (NX/RU),1,2,0.5
Gnar/Jarvan IV (DE/FR),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Gnar/Jarvan IV (DE/FR),1,2,0.5
Morgana/Riven (MT/NX),Morgana/Viego (MT/SI),1,2,0.5
Morgana/Viego (MT/SI),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Darius/Morgana (MT/NX),1,2,0.5
Darius/Morgana (MT/NX),Morgana/Riven (MT/NX),1,2,0.5
Jarvan IV/Shen (DE/IO),Akshan/Mordekaiser (SI/SH),1,2,0.5
Akshan/Mordekaiser (SI/SH),Jarvan IV/Shen (DE/IO),1,2,0.5
Lissandra (RU/FR),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Lissandra (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Norra/Teemo (RU/BC),1,2,0.5
Norra/Teemo (RU/BC),Elder Dragon/Volibear (RU/FR),1,2,0.5
LeBlanc (NX/SI),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),LeBlanc (NX/SI),1,2,0.5
Garen/Jarvan IV (RU/DE),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Garen/Jarvan IV (RU/DE),1,2,0.5
Annie/Jhin (RU/NX),Jax/Ornn (FR/RU),1,2,0.5
Jax/Ornn (FR/RU),Annie/Jhin (RU/NX),1,2,0.5
Gwen/Zed (IO/SI),Garen/Jarvan IV (RU/DE),1,2,0.5
Garen/Jarvan IV (RU/DE),Gwen/Zed (IO/SI),1,2,0.5
Jinx (BC/PZ),Teemo/Tristana (BC/NX),1,2,0.5
Teemo/Tristana (BC/NX),Jinx (BC/PZ),1,2,0.5
Elder Dragon/Volibear (RU/FR),Galio/Jarvan IV (DE/FR),1,2,0.5
Galio/Jarvan IV (DE/FR),Elder Dragon/Volibear (RU/FR),1,2,0.5
Jax/Ornn (FR/RU),Championless (BC/IO),1,2,0.5
Championless (BC/IO),Jax/Ornn (FR/RU),1,2,0.5
Annie/Jhin (RU/NX),Kalista/Mordekaiser (SI/SH),1,2,0.5
Kalista/Mordekaiser (SI/SH),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Championless (BC/IO),1,2,0.5
Championless (BC/IO),Annie/Jhin (RU/NX),1,2,0.5
Darius/Gnar (FR/NX),Aurelion Sol (FR/MT),1,2,0.5
Aurelion Sol (FR/MT),Darius/Gnar (FR/NX),1,2,0.5
Jinx (BC/PZ),The Poro King (MT/RU),1,2,0.5
The Poro King (MT/RU),Jinx (BC/PZ),1,2,0.5
Caitlyn/Teemo (BC/PZ),Ahri/Morgana (IO/MT),1,2,0.5
Ahri/Morgana (IO/MT),Caitlyn/Teemo (BC/PZ),1,2,0.5
Volibear (RU/FR),Jax/Ornn (FR/RU),1,2,0.5
Jax/Ornn (FR/RU),Volibear (RU/FR),1,2,0.5
Pyke/Rek'Sai (BW/SH),Darius/Morgana (MT/NX),1,2,0.5
Darius/Morgana (MT/NX),Pyke/Rek'Sai (BW/SH),1,2,0.5
Fizz/Samira (BW/NX),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Fizz/Samira (BW/NX),1,2,0.5
Gwen/Zed (IO/SI),Mordekaiser/Senna/Viego (SI/SH),1,2,0.5
Mordekaiser/Senna/Viego (SI/SH),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Gnar/Vayne (DE/FR),1,2,0.5
Gnar/Vayne (DE/FR),Gwen/Zed (IO/SI),1,2,0.5
Garen (RU/DE),Mordekaiser/Tristana (BC/NX),1,2,0.5
Mordekaiser/Tristana (BC/NX),Garen (RU/DE),1,2,0.5
Morgana (RU/DE),Jinx (BC/PZ),1,2,0.5
Jinx (BC/PZ),Morgana (RU/DE),1,2,0.5
Leona/Morgana/Riven (MT/NX),Darius/Gnar (FR/NX),1,2,0.5
Darius/Gnar (FR/NX),Leona/Morgana/Riven (MT/NX),1,2,0.5
Teemo/Yuumi (BC/PZ),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Teemo/Yuumi (BC/PZ),1,2,0.5
Gnar/Vayne (DE/FR),Gnar/Vayne (DE/FR),1,2,0.5
Gwen/Zed (IO/SI),LeBlanc/Mordekaiser (FR/NX),1,2,0.5
LeBlanc/Mordekaiser (FR/NX),Gwen/Zed (IO/SI),1,2,0.5
Ekko/Jinx (PZ/SH),Elder Dragon/Volibear (RU/FR),1,2,0.5
Elder Dragon/Volibear (RU/FR),Ekko/Jinx (PZ/SH),1,2,0.5
Maokai (BW/SI),Morgana/Riven (MT/NX),1,2,0.5
Morgana/Riven (MT/NX),Maokai (BW/SI),1,2,0.5
Fizz/Yuumi (BC/FR),Gnar/Vayne (DE/FR),1,2,0.5
Gnar/Vayne (DE/FR),Fizz/Yuumi (BC/FR),1,2,0.5
Morgana/Riven (MT/NX),Galio/Morgana (DE/MT),1,2,0.5
Galio/Morgana (DE/MT),Morgana/Riven (MT/NX),1,2,0.5
Maokai/Mordekaiser (BW/SI),Kayle/Teemo (BC/MT),1,2,0.5
Kayle/Teemo (BC/MT),Maokai/Mordekaiser (BW/SI),1,2,0.5
Mordekaiser/Tristana (BC/NX),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Mordekaiser/Tristana (BC/NX),1,2,0.5
Elder Dragon/Volibear (RU/FR),Morgana/Pantheon (DE/MT),1,2,0.5
Morgana/Pantheon (DE/MT),Elder Dragon/Volibear (RU/FR),1,2,0.5
