archetype_1,archetype_2,mu_win,mu_n,mu_wr
Taliyah/Zilean (IO/SH),Miss Fortune/Quinn (BW/DE),5,9,0.555555555555556
Elder Dragon/Morgana (RU/DE),Nilah/Twisted Fate (BW/PZ),5,9,0.555555555555556
Annie/Jhin (RU/NX),Championpile/Elder Dragon (RU/FR),5,9,0.555555555555556
Seraphine/Sett (IO/PZ),Heimerdinger/Viktor (IO/PZ),5,9,0.555555555555556
Miss Fortune/Twisted Fate (BW/NX),Elder Dragon/Mordekaiser/Viego (RU/SI),5,9,0.555555555555556
Seraphine/Viktor (BC/PZ),Annie/Jhin (RU/NX),5,9,0.555555555555556
Elder Dragon/Volibear (RU/FR),Norra/Trundle (BC/FR),5,9,0.555555555555556
Ezreal/Seraphine (IO/PZ),Aurelion Sol/Shyvana (DE/MT),5,9,0.555555555555556
Aurelion Sol/Shyvana (DE/MT),Championless (PZ/SI),5,9,0.555555555555556
Pyke/Rek'Sai (BW/SH),Aurelion Sol/Elder Dragon (RU/MT),5,9,0.555555555555556
Galio/Udyr (DE/FR),Azir/Irelia (IO/SH),5,9,0.555555555555556
Nocturne/Vex (NX/SI),Taliyah/Zilean (IO/SH),5,9,0.555555555555556
Karma/Sett (IO/PZ),Seraphine/Sett (IO/PZ),5,9,0.555555555555556
Braum/Norra (BC/FR),Taliyah/Zilean (IO/SH),5,9,0.555555555555556
Braum/Elder Dragon (RU/FR),Elder Dragon/Norra (RU/BC),5,9,0.555555555555556
Seraphine/Sett (IO/PZ),Draven/Jinx (NX/PZ),5,9,0.555555555555556
Elder Dragon/Volibear (RU/FR),Ekko/Jinx (PZ/SH),5,9,0.555555555555556
Karma/Sett (IO/PZ),Ezreal/Seraphine (BC/PZ),5,9,0.555555555555556
Azir/Irelia (IO/SH),Ahri/Elder Dragon/Kennen (RU/IO),5,9,0.555555555555556
Lissandra/Trundle (FR/IO),Taliyah/Zilean (IO/SH),5,9,0.555555555555556
Seraphine/Sett (IO/PZ),Garen/Jarvan IV (DE),5,9,0.555555555555556
Ezreal/Karma (IO/PZ),Taliyah/Zilean (IO/SH),5,9,0.555555555555556
Taliyah/Zilean (IO/SH),Elise (FR/SI),5,9,0.555555555555556
Garen/Jarvan IV (DE),Caitlyn/Teemo (BC/PZ),5,9,0.555555555555556
Gwen/Vayne (DE/SI),Elder Dragon/Volibear (RU/FR),5,9,0.555555555555556
Elder Dragon/Volibear (RU/FR),Darius/Miss Fortune (BW/NX),5,9,0.555555555555556
Caitlyn/Teemo (BC/PZ),Gnar/Teemo (BC/PZ),5,9,0.555555555555556
Ashe/LeBlanc (FR/NX),Ryze (IO/RU),5,9,0.555555555555556
Maokai/Nautilus (BW/SI),Neeko/Poppy (DE/RU),5,9,0.555555555555556
Karma/Sett (FR/IO),Teemo (BC/PZ),5,9,0.555555555555556
Karma/Sett (FR/IO),Gwen/Zed (IO/SI),5,9,0.555555555555556
Caitlyn/Teemo (BC/PZ),Gwen/Irelia (IO/SI),5,9,0.555555555555556
Elder Dragon/Norra (RU/BC),Nilah/Twisted Fate (BW/PZ),5,9,0.555555555555556
Teemo (BC/PZ),Elder Dragon (RU/FR),5,9,0.555555555555556
Jinx/Lulu (BC/PZ),Maokai/Nautilus (BW/SI),5,9,0.555555555555556
Annie/Teemo (NX/PZ),Nilah/Twisted Fate (BW/PZ),5,9,0.555555555555556
Elise/Nocturne (NX/SI),Nilah/Twisted Fate (BW/PZ),5,9,0.555555555555556
Riven/Viktor (NX/PZ),Azir/Irelia (IO/SH),5,9,0.555555555555556
Elder Dragon/Morgana (RU/DE),Elise/Nocturne (NX/SI),5,9,0.555555555555556
