archetype_1,archetype_2,mu_win,mu_n,mu_wr
Taliyah/Zilean (IO/SH),Miss Fortune/Quinn (BW/DE),1,2,0.5
Miss Fortune/Quinn (BW/DE),Taliyah/Zilean (IO/SH),1,2,0.5
Elder Dragon/Norra (RU/BC),Neeko/Teemo (BC/RU),1,2,0.5
Neeko/Teemo (BC/RU),Elder Dragon/Norra (RU/BC),1,2,0.5
Elise (NX/SI),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Elise (NX/SI),1,2,0.5
Elder Dragon/Lissandra (RU/FR),Darius/Gnar (FR/NX),1,2,0.5
Darius/Gnar (FR/NX),Elder Dragon/Lissandra (RU/FR),1,2,0.5
Ashe/Sejuani (FR/NX),Elder Dragon/Morgana (RU/DE),1,2,0.5
Elder Dragon/Morgana (RU/DE),Ashe/Sejuani (FR/NX),1,2,0.5
Elder Dragon/Lissandra/Volibear (RU/FR),Mordekaiser/Norra (BC/SI),1,2,0.5
Mordekaiser/Norra (BC/SI),Elder Dragon/Lissandra/Volibear (RU/FR),1,2,0.5
Neeko/Poppy (DE/RU),Gangplank/Miss Fortune (BW/NX),1,2,0.5
Gangplank/Miss Fortune (BW/NX),Neeko/Poppy (DE/RU),1,2,0.5
Miss Fortune/Quinn (BW/DE),Seraphine/Sett (IO/PZ),1,2,0.5
Seraphine/Sett (IO/PZ),Miss Fortune/Quinn (BW/DE),1,2,0.5
Seraphine/Sett (IO/PZ),Darius/Miss Fortune (BW/NX),1,2,0.5
Darius/Miss Fortune (BW/NX),Seraphine/Sett (IO/PZ),1,2,0.5
Azir/Nasus (SH),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Azir/Nasus (SH),1,2,0.5
Ezreal/Nilah (BW/PZ),Diana/Zoe (MT/PZ),1,2,0.5
Diana/Zoe (MT/PZ),Ezreal/Nilah (BW/PZ),1,2,0.5
Jax/Ornn (FR/RU),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Jax/Ornn (FR/RU),1,2,0.5
Poppy/Ziggs (BC/NX),Championless (BC/SH),1,2,0.5
Championless (BC/SH),Poppy/Ziggs (BC/NX),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Ezreal (PZ/SI),1,2,0.5
Ezreal (PZ/SI),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Bard/Kayle (RU/MT),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Bard/Kayle (RU/MT),1,2,0.5
Bard/Kayle (RU/MT),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Bard/Kayle (RU/MT),1,2,0.5
Seraphine/Sett (IO/PZ),Braum/Norra (BC/FR),1,2,0.5
Braum/Norra (BC/FR),Seraphine/Sett (IO/PZ),1,2,0.5
Poppy/Ziggs (BC/NX),Kalista/Viego (MT/SI),1,2,0.5
Kalista/Viego (MT/SI),Poppy/Ziggs (BC/NX),1,2,0.5
Teemo/Zoe (MT/PZ),Braum/Elder Dragon/Udyr (RU/FR),1,2,0.5
Braum/Elder Dragon/Udyr (RU/FR),Teemo/Zoe (MT/PZ),1,2,0.5
Azir/Renekton (SH),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Azir/Renekton (SH),1,2,0.5
Ahri/Lillia (FR/IO),Caitlyn/Teemo (FR/PZ),1,2,0.5
Caitlyn/Teemo (FR/PZ),Ahri/Lillia (FR/IO),1,2,0.5
Elder Dragon/Morgana/Shyvana (RU/DE),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5
Miss Fortune/Twisted Fate (BW/NX),Elder Dragon/Morgana/Shyvana (RU/DE),1,2,0.5
Rumble/Vayne (DE/NX),Braum/Elder Dragon/Udyr (RU/FR),1,2,0.5
Braum/Elder Dragon/Udyr (RU/FR),Rumble/Vayne (DE/NX),1,2,0.5
Ashe/Vex (FR/SI),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Ashe/Vex (FR/SI),1,2,0.5
Norra/Teemo (BC/PZ),Teemo (NX/PZ),1,2,0.5
Teemo (NX/PZ),Norra/Teemo (BC/PZ),1,2,0.5
Anivia (FR/SI),Elder Dragon/Norra (RU/BC),1,2,0.5
Elder Dragon/Norra (RU/BC),Anivia (FR/SI),1,2,0.5
Draven/Sion (NX/PZ),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Draven/Sion (NX/PZ),1,2,0.5
Malphite/Yasuo (IO/MT),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Malphite/Yasuo (IO/MT),1,2,0.5
Karma/Sett (IO/PZ),Sejuani/Teemo (FR/PZ),1,2,0.5
Sejuani/Teemo (FR/PZ),Karma/Sett (IO/PZ),1,2,0.5
Elder Dragon/Norra (RU/BC),Sejuani/Teemo (FR/PZ),1,2,0.5
Sejuani/Teemo (FR/PZ),Elder Dragon/Norra (RU/BC),1,2,0.5
Pyke/Rek'Sai (BW/SH),Sejuani/Teemo (FR/PZ),1,2,0.5
Sejuani/Teemo (FR/PZ),Pyke/Rek'Sai (BW/SH),1,2,0.5
Ezreal/Seraphine (IO/PZ),Ahri/Elder Dragon/Kennen (RU/IO),1,2,0.5
Ahri/Elder Dragon/Kennen (RU/IO),Ezreal/Seraphine (IO/PZ),1,2,0.5
Bard/Norra (BC/RU),Draven/Jinx (NX/PZ),1,2,0.5
Draven/Jinx (NX/PZ),Bard/Norra (BC/RU),1,2,0.5
Elder Dragon/Norra (RU/BC),Elder Dragon/Galio/Morgana (RU/DE),1,2,0.5
Elder Dragon/Galio/Morgana (RU/DE),Elder Dragon/Norra (RU/BC),1,2,0.5
Garen/Jarvan IV (DE),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Garen/Jarvan IV (DE),1,2,0.5
Braum/Elder Dragon/Udyr (RU/FR),Hecarim (IO/SI),1,2,0.5
Hecarim (IO/SI),Braum/Elder Dragon/Udyr (RU/FR),1,2,0.5
Seraphine/Sett (IO/PZ),Elder Dragon/Galio/Morgana (RU/DE),1,2,0.5
Elder Dragon/Galio/Morgana (RU/DE),Seraphine/Sett (IO/PZ),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Elise/Nocturne (MT/SI),1,2,0.5
Elise/Nocturne (MT/SI),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Elder Dragon (RU/FR),Elise/Nocturne (MT/SI),1,2,0.5
Elise/Nocturne (MT/SI),Elder Dragon (RU/FR),1,2,0.5
Braum/Yuumi/Zoe (FR/MT),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Braum/Yuumi/Zoe (FR/MT),1,2,0.5
Pyke/Rek'Sai (BW/SH),Elder Dragon/Lissandra (RU/FR),1,2,0.5
