archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Gangplank/Sejuani (BW/FR),Illaoi/Jarvan IV (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0135415082864528,0.00232818914398662
Hecarim/Zed (IO/SI),Illaoi/Jarvan IV (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00498897673711419,0.00232818914398662
Katarina/Leona (MT/NX),Illaoi/Jarvan IV (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00580621864071765,0.00232818914398662
Jinx/Lulu (BC/PZ),Gnar/Tristana (BC/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00251824540063859,0.0242226699102935
Illaoi/Jarvan IV (BW/DE),Pyke/Rek'Sai (BW/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00232818914398662,0.017038543408849
Pyke/Rek'Sai (BW/SH),Gwen/Irelia (IO/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00270830165729056
Master Yi/Viktor (IO/PZ),Heimerdinger/Norra (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0055306370685723,0.00750722213775277
Ezreal/Seraphine (PZ/SI),Heimerdinger/Jayce (PZ/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00110232628858142,0.0243462064771172
Norra/Twisted Fate (BC/BW),Anivia (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.016943515280523,0.00511251330393797
Gwen/Katarina (NX/SI),Trundle (FR/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0142162079975673,0.00316443667325528
Nami/Seraphine (BW/PZ),Kalista/Nocturne (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00134939942222898,0.0391040748061426
Pantheon/Shyvana (DE/MT),Katarina/Leona (MT/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000579671582788506,0.00580621864071765
Kalista/Nocturne (SI),Ekko/Jinx (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0142637220617303,0.00423825452333891
Evelynn/Lucian (DE/RU),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00731716588110081,0.0142162079975673
Ryze (IO/RU),Jhin/Viktor (RU/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000342101261973544
Ekko/Jinx (PZ/SH),Senna/Veigar (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00423825452333891,0.0160407480614262
Miss Fortune/Twisted Fate (BW/NX),Maokai (BW/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0326421620799757,0.000209061882317166
Katarina/Leona (MT/NX),Master Yi/Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00580621864071765,0.00477991485479702
Evelynn/Lucian (DE/RU),LeBlanc/Sivir (NX/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00731716588110081,0.00494146267295119
Lucian/Miss Fortune (BW/DE),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000465637828797324,0.0736563022654706
Pyke/Rek'Sai (BW/SH),Jinx/Lulu (BC/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00251824540063859
Azir/Irelia (IO/SH),Rumble/Vayne (DE/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00513151892960316,0.00402919264102174
Miss Fortune/Twisted Fate (BW/NX),Kindred/Viego (IO/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0326421620799757,0.000864755967766459
Pyke/Rek'Sai (BW/SH),Trundle (FR/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00316443667325528
Annie/Jhin (RU/NX),Aphelios/Seraphine (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0190531397293599,0.00206211038467386
Annie/Jhin (RU/NX),Trundle (FR/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0190531397293599,0.00316443667325528
Aphelios/Seraphine (MT/PZ),Gangplank/Sejuani (BW/FR),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00206211038467386,0.0135415082864528
