archetype_1,archetype_2,mu_win,mu_n,mu_wr
Annie/Jhin (RU/NX),Morgana/Riven (MT/NX),16,38,0.421052631578947
Elder Dragon/Janna/Seraphine (RU/PZ),Darius/Gnar (FR/NX),16,38,0.421052631578947
Morgana/Riven (MT/NX),Annie/Jhin (RU/NX),22,38,0.578947368421053
Darius/Gnar (FR/NX),Elder Dragon/Janna/Seraphine (RU/PZ),22,38,0.578947368421053
Elder Dragon/Volibear (RU/FR),Morgana/Riven (MT/NX),31,147,0.210884353741497
Morgana/Riven (MT/NX),Elder Dragon/Volibear (RU/FR),116,147,0.789115646258503
Diana/Morgana (MT/NX),Morgana/Riven (MT/NX),2,5,0.4
Elder Dragon (RU/MT),Morgana/Riven (MT/NX),2,5,0.4
Galio/Morgana (DE/MT),Gwen/Zed (IO/SI),2,5,0.4
(BC/IO),Morgana/Seraphine (MT/PZ),2,5,0.4
Galio/Morgana (DE/MT),Ashe/LeBlanc (FR/NX),2,5,0.4
Elder Dragon/Shyvana (RU/DE),(BC/IO),2,5,0.4
Mordekaiser/Viego (NX/SI),Mordekaiser/Sion (NX/SI),2,5,0.4
Elder Dragon (RU/FR),Caitlyn/Teemo (FR/PZ),2,5,0.4
Galio/Morgana (DE/MT),Elder Dragon/Gnar/Norra (RU/BC),2,5,0.4
Ashe/LeBlanc (FR/NX),Elder Dragon/Galio/Garen (RU/DE),2,5,0.4
Kalista/Mordekaiser (NX/SI),Elder Dragon/Galio/Garen (RU/DE),2,5,0.4
Elder Dragon/Volibear (RU/FR),Caitlyn/Teemo (BC/PZ),2,5,0.4
Galio/Morgana (DE/FR),Elder Dragon/Gnar/Norra (RU/BC),2,5,0.4
Mordekaiser/Senna (SI/SH),Senna/Veigar (BC/SI),2,5,0.4
Karma/Sett (IO/PZ),Teemo/Yuumi (BC/FR),2,5,0.4
Elder Dragon/Gnar/Norra (RU/BC),Teemo/Yuumi (BC/FR),2,5,0.4
Mordekaiser/Senna (SI/SH),Championpile/Elder Dragon (RU/FR),2,5,0.4
Gwen/Zed (IO/SI),Ekko/Jinx (PZ/SH),2,5,0.4
Mordekaiser/Viego (SI/SH),Gwen/Zed (IO/SI),2,5,0.4
Elder Dragon/Garen (RU/DE),Elder Dragon/Gnar/Tristana (RU/BC),2,5,0.4
Elder Dragon/Garen (RU/DE),Mordekaiser/Viego (SI/SH),2,5,0.4
Mordekaiser/Nasus (SI/SH),Kalista/Mordekaiser (NX/SI),2,5,0.4
Yuumi (MT/PZ),Elder Dragon/Volibear (RU/FR),2,5,0.4
Maokai/Mordekaiser (BW/SI),Karma/Sett (IO/PZ),2,5,0.4
Jarvan IV/Shen (DE/IO),Seraphine/Sett (IO/PZ),2,5,0.4
Neeko (FR/RU),Elder Dragon/Garen (RU/DE),2,5,0.4
Neeko/Teemo (BC/RU),Gwen/Riven (NX/SI),2,5,0.4
Elder Dragon/Janna/Seraphine (RU/PZ),Mordekaiser/Nasus (SI/SH),2,5,0.4
Kalista/Mordekaiser (DE/SI),Morgana/Riven (MT/NX),2,5,0.4
Karma/Sett (IO/PZ),Maokai/Mordekaiser (DE/SI),2,5,0.4
Morgana/Riven (MT/NX),Morgana/Ryze (MT/RU),2,5,0.4
Morgana/Seraphine (MT/PZ),Elder Dragon/Garen/Jarvan IV (RU/DE),2,5,0.4
