archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Trundle/Tryndamere (FR/IO),Garen/Jarvan IV (DE),8,22,0.363636363636364,(17.2% - 59.3%),FALSE,NEG,No,0.00448541357632267,0.053471780744508
Evelynn/Kai'Sa (RU/SH),Annie/Ezreal (NX/PZ),8,22,0.363636363636364,(17.2% - 59.3%),FALSE,NEG,No,0.0283134374043465,0.0101127828400556
Garen/Jarvan IV (DE),Trundle/Tryndamere (FR/IO),14,22,0.636363636363636,(40.7% - 82.8%),FALSE,POS,No,0.053471780744508,0.00448541357632267
Annie/Ezreal (NX/PZ),Evelynn/Kai'Sa (RU/SH),14,22,0.636363636363636,(40.7% - 82.8%),FALSE,POS,No,0.0101127828400556,0.0283134374043465
Championpile (FR/SH),Karma/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00243695698241153,0.00144804690259236
Karma/Trundle (FR/IO),Championpile (FR/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00144804690259236,0.00243695698241153
Jhin/Viktor (RU/PZ),Norra/Swain (BC/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00302559393468484,0.00334345788891243
Norra/Swain (BC/NX),Jhin/Viktor (RU/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00334345788891243,0.00302559393468484
Evelynn/Kai'Sa (RU/SH),Karma/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0283134374043465,0.00144804690259236
Karma/Trundle (FR/IO),Evelynn/Kai'Sa (RU/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00144804690259236,0.0283134374043465
Gwen/Riven (NX/SI),Gwen/Quinn (DE/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000317863954227591,0.00795837159473523
Gwen/Quinn (DE/SI),Gwen/Riven (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00795837159473523,0.000317863954227591
