archetype_1,archetype_2,mu_win,mu_n,mu_wr
Jayce/Lux (DE/PZ),Akshan/Varus (SH/RU),5,25,0.2
Akshan/Varus (SH/RU),Jayce/Lux (DE/PZ),20,25,0.8
Aurelion Sol/Trundle (FR/MT),Karma/Sett (IO/PZ),1,1,1
Championless (IO/SH),Galio/Morgana (DE/FR),1,1,1
Aurelion Sol/Volibear (FR/MT),Akshan/Varus (SH/RU),1,1,1
Aatrox/Kayn (RU/RU),Azir/Xerath (SH),1,1,1
Sett/Viktor (IO/PZ),Viktor (BC/PZ),1,1,1
Senna/Veigar (BC/SI),Janna (BC/PZ),1,1,1
Janna/Sett (IO/PZ),Akshan/Lee Sin (IO/SH),1,1,1
Seraphine/Sett (IO/PZ),Trundle/Volibear (DE/FR),1,1,1
Seraphine/Sett (IO/PZ),Akshan/Lee Sin (IO/SH),1,1,1
Senna/Veigar (PZ/SI),Maokai/Nautilus (BW/SI),1,1,1
Gangplank/Gwen (BW/SI),Sett/Viktor (IO/PZ),1,1,1
Senna/Veigar (BC/SI),Akshan/Riven (NX/SH),1,1,1
Morgana/Riven (MT/NX),Gangplank/Swain (BW/NX),1,1,1
Karma/Sett (IO/PZ),Aatrox/Kayn (RU/RU),1,1,1
Janna/Sett (IO/PZ),Gangplank/Swain (BW/NX),1,1,1
Akshan/Varus (SH/RU),Janna (PZ/SI),1,1,1
Akshan/Varus (SH/RU),Rumble/Sion (NX/SH),1,1,1
Karma/Sett (IO/PZ),Lux: Illuminated/Shen (DE/IO),1,1,1
Karma/Sett (IO/PZ),Aurelion Sol/Shyvana (DE/MT),1,1,1
Karma/Sett (IO/PZ),The Poro King (MT/RU),1,1,1
Championless (SI/SH),Senna (PZ/SI),1,1,1
Janna/Sett (IO/PZ),Akshan/Jayce (PZ/SH),1,1,1
Akshan/Jayce (PZ/SH),Jayce/Lux (DE/PZ),1,1,1
Heimerdinger/Viktor (IO/PZ),Aurelion Sol/Shyvana (DE/MT),1,1,1
Senna/Veigar (BC/SI),Janna/Lee Sin/Viktor (IO/PZ),1,1,1
Karma/Sett (FR/IO),Aurelion Sol/Volibear (FR/MT),1,1,1
Lee Sin/Viktor (IO/PZ),Karma/Sett (FR/IO),1,1,1
Janna/Lee Sin/Viktor (IO/PZ),Illaoi/Swain (BW/NX),1,1,1
Galio/Morgana (DE/FR),Akshan/Viktor (PZ/SH),1,1,1
Anivia (FR/SI),Karma/Sett (FR/IO),1,1,1
Championless (SI),Championless (BC/SI),1,1,1
Galio/Morgana (DE/FR),Morgana (MT/SI),1,1,1
Akshan/Viktor (PZ/SH),Maokai/Nautilus (BW/SI),1,1,1
Galio/Morgana (DE/FR),Morgana/Riven (MT/NX),1,1,1
Maokai (PZ/SI),Morgana (MT/SI),1,1,1
Championless (SI),Maokai (PZ/SI),1,1,1
Maokai/Nautilus (BW/SI),Gwen (SI),1,1,1
Morgana/Riven (MT/NX),Maokai/Nautilus (BW/SI),1,1,1
Maokai (PZ/SI),Gangplank/Swain (BW/NX),1,1,1
Janna (PZ/SI),Aatrox/Kayn (RU/RU),1,1,1
Morgana/Riven (MT/NX),Janna/Sett (IO/PZ),1,1,1
Championless (SI/SH),Galio/Morgana (DE/FR),1,1,1
Karma/Sett (FR/IO),Anivia/Volibear (FR/NX),1,1,1
Heimerdinger/Viktor (IO/PZ),Aatrox/Kayn (RU/RU),1,1,1
Janna/Lee Sin (IO/PZ),Maokai/Nautilus (BW/SI),1,1,1
Galio/Morgana (DE/FR),Akshan/Vi (PZ/SH),1,1,1
Janna/Mordekaiser (PZ/SI),Maokai/Nautilus (BW/SI),1,1,1
Swain (NX/PZ),Senna/Veigar (BC/SI),1,1,1
Maokai (PZ/SI),Akshan/Varus (SH/RU),1,1,1
Maokai (PZ/SI),Maokai/Nautilus (BW/SI),1,1,1
Senna/Veigar (BC/SI),Illaoi (BW/MT),1,1,1
