playerDeck,Annie/Twisted Fate (BW/NX),Draven/Jinx (NX/PZ),Ekko/Jinx (PZ/SH),Gwen/Katarina (NX/SI),Heimerdinger/Jayce (PZ/SI),Kayn/Vayne (DE/RU),Quinn/Vayne (DE/PZ),Seraphine/Viktor (PZ/SI),Teemo/Zoe (BC/MT),Trundle/Tryndamere (FR/SI),Annie/Jhin (NX/RU),Akshan/Varus (RU/SH),Anivia (FR/SI),Annie/Gwen (NX/SI),Aphelios/Seraphine (MT/PZ),Aphelios/Viktor (MT/PZ),Ashe/Kindred (FR/SI),Aurelion Sol/Leona (DE/MT),Aurelion Sol/Shyvana (DE/MT),Azir/Irelia (IO/SH),Azir/Xerath (SH),Braum/Vladimir (FR/NX),Caitlyn/Teemo (BC/PZ),Diana/Leona (MT/SI),Elise/Gwen (NX/SI),Elise/Nocturne (NX/SI),Elise/Norra (BC/SI),Elise/Twisted Fate (BW/SI),Ezreal/Kennen (IO/PZ),Ezreal/Seraphine (BC/PZ),Ezreal/Seraphine (NX/PZ),Ezreal/Seraphine (PZ/SI),Gangplank/Sejuani (BW/FR),Gwen/Vayne (DE/SI),Hecarim/Zed (IO/SI),Heimerdinger/Norra (BC/SI),Jax/Ornn (FR/RU),Jinx (FR/PZ),Jinx/Lulu (BC/PZ),Katarina/Yasuo (IO/NX),Kindred/Nasus (SI/SH),Maokai/Nautilus (BW/SI),Miss Fortune/Swain (BW/NX),Miss Fortune/Twisted Fate (BW/NX),Norra/Veigar (BC/SI),Pantheon/Varus (MT/RU),Pantheon/Vayne (DE/MT),Pyke/Rek'Sai (BW/SH),Rumble/Sion (BC/NX),Rumble/Vayne (DE/NX),Senna/Veigar (BC/SI),Seraphine/Viktor (BC/PZ),Seraphine/Viktor (BW/PZ),Seraphine/Viktor (IO/PZ),Swain/Twisted Fate (BW/NX),Taliyah (BW/SH),Taliyah/Ziggs (BC/SH),Trundle (FR/PZ),Akshan/Kayn (RU/SH),Aphelios/Leona (MT/SI),Ashe/LeBlanc (FR/NX),Ashe/Thresh (FR/SI),Aurelion Sol/Trundle (FR/MT),Aurelion Sol/Zoe (FR/MT),Bard/Norra (BC/RU),Caitlyn/Trundle (FR/PZ),Championless (FR/SI),Diana/Nocturne (MT/SI),Ekko/Zilean (PZ/SH),Elise (FR/SI),Elise (NX/SI),Evelynn/Kindred (RU/SI),Evelynn/Udyr (FR/RU),Evelynn/Viego (RU/SI),Fiora/Vayne (DE/PZ),Jax/Vayne (DE/RU),Jayce/Lux (DE/PZ),Jinx/Rumble (BC/PZ),Kai'Sa/Sivir (DE/SH),Karma/Viktor (IO/PZ),Kindred/Norra (BC/SI),Malphite/Taliyah (MT/SH),Master Yi/Zoe (IO/MT),Norra/Swain (BC/NX),Ornn/Trundle (FR/PZ),Trundle/Vi (FR/PZ),Vayne/Zed (DE/IO),Xerath/Ziggs (BC/SH),Ahri/Kennen (FR/IO),Fizz/Nami (BW/RU),Hecarim/Lucian (DE/SI),Kai'Sa (DE/SH),Katarina/Twisted Fate (BW/NX),LeBlanc/Sivir (NX/SH),Akshan/Sivir (DE/SH),Annie/Ezreal (NX/PZ),Kai'Sa/Vayne (DE/SH),Norra/Teemo (BC/FR),Ornn/Udyr (FR/NX),Akshan/Kai'Sa (RU/SH),Akshan/Lee Sin (IO/SH),Akshan/Pantheon (MT/SH),Akshan/Udyr (FR/SH),Annie/Elise (NX/SI),Aphelios/Seraphine/Viktor (MT/PZ),Aphelios/Zoe (MT/PZ),Ashe/Senna (FR/SI),Aurelion Sol/Braum (FR/MT),Aurelion Sol/Tryndamere (FR/MT),Braum (FR/PZ),Braum/Norra (BC/FR),Championpile (DE/FR),Elise/Jayce (PZ/SI),Fiora/Pantheon (DE/MT),Fizz/Twisted Fate (BW/PZ),Galio/Trundle (DE/FR),Garen/Jarvan IV (DE),Gwen/Hecarim (IO/SI),Hecarim (IO/SI),Hecarim/Kalista (IO/SI),Karma/Master Yi (IO/SI),Kindred/Viego (IO/SI),Leona/Yasuo (IO/MT),Lissandra/Taliyah (FR/SH),Lissandra/Trundle (FR/SI),Miss Fortune/Quinn (BW/DE),Miss Fortune/Vayne (BW/DE),Norra/Teemo (BC/PZ),Poppy/Taric (DE/MT),Riven/Viktor (NX/PZ),Seraphine/Viktor (MT/PZ),Soraka/Tahm Kench (BW/MT),Viego (FR/SI),Xerath/Zilean (BC/SH),Zilean (BW/SH),Zilean (PZ/SH),Aphelios/Diana (MT/SI),Azir/Hecarim (SI/SH),Evelynn/Norra (BC/RU),Ezreal/Karma (IO/PZ),Galio/Leona (DE/MT),Karma/Lux (DE/IO),Kayn/Ornn (FR/RU),Nasus/Thresh (SI/SH),Nautilus (BW/SI),Norra/Zoe (BC/MT),Ornn/Vayne (DE/FR),Seraphine/Viktor (PZ/SH)
Ahri/Kennen (FR/IO),0.260869565217391,0.384615384615385,0.344827586206897,0.363636363636364,0.431372549019608,0.412844036697248,0.52,0.476190476190476,0.572413793103448,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Kai'Sa (RU/SH),,,,0.396551724137931,,,,,0.303030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Kayn (RU/SH),,0.56,,0.411290322580645,,0.556818181818182,,0.425925925925926,0.414893617021277,0.435897435897436,0.346153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Lee Sin (IO/SH),,,,0.32,,,,,0.163636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Pantheon (MT/SH),,,,0.410958904109589,,0.584905660377359,,,0.463768115942029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Sivir (DE/SH),,0.310344827586207,,0.384615384615385,,,,,0.369230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Udyr (FR/SH),,,,0.333333333333333,,0.491228070175439,,,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshan/Varus (RU/SH),0.414285714285714,0.398328690807799,0.588039867109635,0.454075032341527,0.529411764705882,0.559561128526646,0.520833333333333,0.503875968992248,0.415601023017903,0.539748953974895,0.347715736040609,0.5,0.505376344086022,0.490740740740741,0.536842105263158,0.509433962264151,0.422535211267606,0.592592592592593,0.777777777777778,0.529411764705882,0.454545454545455,0.654761904761905,0.616161616161616,0.494444444444445,0.39344262295082,0.46551724137931,0.575539568345324,0.492307692307692,0.428571428571429,0.5,0.525423728813559,0.464788732394366,0.50210970464135,0.532467532467532,0.418032786885246,0.552845528455285,0.426470588235294,0.556390977443609,0.461139896373057,0.486238532110092,0.547826086956522,0.525,0.369747899159664,0.333333333333333,0.506224066390042,0.44017094017094,0.585714285714286,0.503937007874016,0.654761904761905,0.591954022988506,0.55045871559633,0.541176470588235,0.5,0.538461538461538,0.494949494949495,0.623762376237624,0.48015873015873,0.516949152542373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anivia (FR/SI),0.640845070422535,0.674033149171271,0.415384615384615,0.340764331210191,0.741935483870968,0.408163265306122,0.25531914893617,0.478571428571429,0.396825396825397,0.373390557939914,0.560975609756098,0.494623655913979,,,0.4,,,,,,0.126984126984127,,,0.483870967741936,,,,,,,0.625,,0.593406593406593,0.308823529411765,0.370689655172414,,,,0.541666666666667,,0.354838709677419,0.456140350877193,0.519230769230769,,0.526881720430108,0.361904761904762,,0.514018691588785,,0.328571428571429,,,,,0.709090909090909,,0.326923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie/Elise (NX/SI),,,,0.436363636363636,,,,,0.584905660377359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
