deck_code,factions,Champion.01,Champion.02,Champion.03,Champion.04,Champion.05,Champion.06,Card.01,Card.02,Card.03,Card.04,Card.05,Card.06,Card.07,Card.08,Card.09,Card.10,Card.11,Card.12,Card.13,Card.14,Card.15,Card.16,Card.17,Card.18,Card.19,Card.20,Card.21,Card.22,Card.23,Card.24,Card.25,Card.26,Card.27,Card.28,Card.29,Card.30,Card.31,Card.32,Card.33,Card.34,Card.35,Card.36,Card.37,Card.38,Card.39,Card.40,archetype,archetype_pretty
CMCACAYBAIBAIAYCAQBQCAYED42QKAIBAEFR4JRQAEBQCAIWFAUQCAIBAMZQ,"faction_Freljord_Name,faction_Noxus_Name",04NX004,04NX004,04NX004,01FR038,01FR038,01FR038,03FR002,03FR002,03FR002,04NX002,04NX002,04NX002,04NX004,04NX004,04NX004,01NX004,01NX004,01NX004,01NX031,01NX031,01NX031,01NX053,01NX053,01NX053,01FR001,01FR001,01FR001,01FR011,01FR011,01FR011,01FR030,01FR030,01FR030,01FR038,01FR038,01FR038,01FR048,01FR048,01FR048,01FR022,01FR022,01FR040,01FR040,01FR041,01FR041,01NX051,Ashe/LeBlanc,
CICACAQAAEBACAAJDICAGAAFAYEAWBADBEBQMV3EAIAQGAAOAIBQSDRDAEAQGCIC,"faction_Demacia_Name,faction_MtTargon_Name",03DE011,03DE011,03DE011,03MT087,03MT087,03MT087,02DE001,02DE001,02DE001,01DE009,01DE009,01DE009,01DE026,01DE026,01DE026,03DE005,03DE005,03DE005,03DE006,03DE006,03DE006,03DE008,03DE008,03DE008,03DE011,03DE011,03DE011,03MT003,03MT003,03MT003,03MT006,03MT006,03MT006,03MT087,03MT087,03MT087,03MT100,03MT100,03MT100,03DE014,03DE014,03MT014,03MT014,03MT035,03MT035,03MT002,Dragons (DE/MT),Dragons (DE/MT)
CIBQCAYJEMCAGBIDAQDA2BYBAUHBAHRHGE2TQAICAECQGFQA,"faction_MtTargon_Name,faction_ShadowIsles_Name",01SI030,01SI030,01SI030,01SI053,01SI053,01SI053,03MT035,03MT035,03MT035,03SI003,03SI003,03SI003,03SI004,03SI004,03SI004,03SI006,03SI006,03SI006,03SI013,03SI013,03SI013,01SI014,01SI014,01SI014,01SI016,01SI016,01SI016,01SI030,01SI030,01SI030,01SI039,01SI039,01SI039,01SI049,01SI049,01SI049,01SI053,01SI053,01SI053,01SI056,01SI056,01SI056,01SI003,01SI003,01SI022,01SI022,Mistwraith Allegiance,Mistwraith Allegiance
CIBQCAYJEMCAGBIDAQDA2BYBAUHBAFQ6E42TQAICAECQGMIA,"faction_MtTargon_Name,faction_ShadowIsles_Name",01SI030,01SI030,01SI030,01SI053,01SI053,01SI053,03MT035,03MT035,03MT035,03SI003,03SI003,03SI003,03SI004,03SI004,03SI004,03SI006,03SI006,03SI006,03SI013,03SI013,03SI013,01SI014,01SI014,01SI014,01SI016,01SI016,01SI016,01SI022,01SI022,01SI022,01SI030,01SI030,01SI030,01SI039,01SI039,01SI039,01SI053,01SI053,01SI053,01SI056,01SI056,01SI056,01SI003,01SI003,01SI049,01SI049,Mistwraith Allegiance,Mistwraith Allegiance
CMBQCAYJEMBQGBIEAYGQOAIFBYIB4JZRGU4AEAIDAUBQEAIFAMLACAIBAUMQ,"faction_MtTargon_Name,faction_ShadowIsles_Name",01SI030,01SI030,01SI030,01SI053,01SI053,01SI053,03MT035,03MT035,03MT035,03SI004,03SI004,03SI004,03SI006,03SI006,03SI006,03SI013,03SI013,03SI013,01SI014,01SI014,01SI014,01SI016,01SI016,01SI016,01SI030,01SI030,01SI030,01SI039,01SI039,01SI039,01SI049,01SI049,01SI049,01SI053,01SI053,01SI053,01SI056,01SI056,01SI056,03SI003,03SI003,01SI003,01SI003,01SI022,01SI022,01SI025,Mistwraith Allegiance,Mistwraith Allegiance
CMBQCAYJEMCAGBIDAQDA2BYBAUHBAHRHGE2TQAICAECQGFQA,"faction_MtTargon_Name,faction_ShadowIsles_Name",01SI030,01SI030,01SI030,01SI053,01SI053,01SI053,03MT035,03MT035,03MT035,03SI003,03SI003,03SI003,03SI004,03SI004,03SI004,03SI006,03SI006,03SI006,03SI013,03SI013,03SI013,01SI014,01SI014,01SI014,01SI016,01SI016,01SI016,01SI030,01SI030,01SI030,01SI039,01SI039,01SI039,01SI049,01SI049,01SI049,01SI053,01SI053,01SI053,01SI056,01SI056,01SI056,01SI003,01SI003,01SI022,01SI022,Mistwraith Allegiance,Mistwraith Allegiance
CMCACAYBAIAQIAYEAMAQGBA7EECQCAILCYTCSMAEAEAQCHQBAEBTKAIEAEFAEBADAIDAA,"faction_Freljord_Name,faction_Noxus_Name",04NX004,04NX004,04NX004,01FR038,01FR038,01FR038,03FR002,03FR002,03FR002,04NX004,04NX004,04NX004,01NX004,01NX004,01NX004,01NX031,01NX031,01NX031,01NX033,01NX033,01NX033,01FR011,01FR011,01FR011,01FR022,01FR022,01FR022,01FR038,01FR038,01FR038,01FR041,01FR041,01FR041,01FR048,01FR048,01FR048,01FR030,01FR030,01NX053,01NX053,04FR010,04FR010,04NX002,04NX002,04NX006,04NX006,Ashe/LeBlanc,
CMCACAYBAIAQIAYEAIAQGBA7AQAQCCZGFEYAGAIEAMBAEAIDEE2QIAIBCYNB4KQCAEBQGDIBAQAQU,"faction_Freljord_Name,faction_Noxus_Name",04NX004,04NX004,04NX004,01FR038,01FR038,01FR038,03FR002,03FR002,03FR002,04NX004,04NX004,04NX004,01NX004,01NX004,01NX004,01NX031,01NX031,01NX031,01FR011,01FR011,01FR011,01FR038,01FR038,01FR038,01FR041,01FR041,01FR041,01FR048,01FR048,01FR048,04NX002,04NX002,01NX033,01NX033,01NX053,01NX053,01FR022,01FR022,01FR026,01FR026,01FR030,01FR030,01FR042,01FR042,03NX013,04FR010,Ashe/LeBlanc,
CMCACAIADIAQIAAOAIBQACALAMBQSJSXMQBQCAQAAEBAGAAFAYCQGCIDAZEFKYADAEAQABYBAMABSAIDBEBA,"faction_Demacia_Name,faction_MtTargon_Name",03DE011,03DE011,03DE011,03MT087,03MT087,03MT087,01DE026,01DE026,01DE026,04DE014,04DE014,04DE014,03DE008,03DE008,03DE008,03DE011,03DE011,03DE011,03MT038,03MT038,03MT038,03MT087,03MT087,03MT087,03MT100,03MT100,03MT100,02DE001,02DE001,03DE005,03DE005,03DE006,03DE006,03MT003,03MT003,03MT006,03MT006,03MT072,03MT072,03MT085,03MT085,03MT096,03MT096,01DE007,03DE025,03MT002,Dragons (DE/MT),Dragons (DE/MT)
CMCACAYBAIBAIAYCAQBQCAILEYYAGAIDAQPSCAYBAQBQ6AQBAMMDKAYBAEAR4KQBAEAQCKI,"faction_Freljord_Name,faction_Noxus_Name",04NX004,04NX004,04NX004,01FR038,01FR038,01FR038,03FR002,03FR002,03FR002,04NX002,04NX002,04NX002,04NX004,04NX004,04NX004,01FR011,01FR011,01FR011,01FR038,01FR038,01FR038,01FR048,01FR048,01FR048,01NX004,01NX004,01NX004,01NX031,01NX031,01NX031,01NX033,01NX033,01NX033,04NX015,04NX015,01NX024,01NX024,01NX053,01NX053,01FR001,01FR001,01FR030,01FR030,01FR042,01FR042,01FR041,Ashe/LeBlanc,
