deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster
CQAQYBIKAQDSOKJKFYYWY5DYUMA6WAIBAICQUAI2AA,BC,221,05BC004 05BC004 05BC004 05BC007 05BC007 05BC007 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC042 05BC042 05BC042 05BC046 05BC046 05BC046 05BC049 05BC049 05BC049 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC163 05BC163 05BC163 05BC235 05BC235 05BC235 05BC001 05BC001 05BC026 05BC026,BC,"Poppy,Ziggs",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Ziggs,,
CQAQMBIKDIUXJJQBV4A4EAICAEBAMLQIAUFACYEBAGCADGABUAA4AAOGAEBACAIEBABQKCVHAG4AD2YB,BC,214,05BC026 05BC026 05BC026 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 02BW046 02BW046 05BC001 05BC001 05BC096 05BC096 05BC129 05BC129 05BC132 05BC132 05BC152 05BC152 05BC160 05BC160 05BC192 05BC192 05BC198 05BC198 01PZ008 05BC167 05BC184 05BC235,"BC,BW,PZ","Fizz,Poppy,Teemo","BC,BW,PZ",,05BC026 05BC026 05BC026 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 02BC046 01BC008 05BC001 05BC001 05BC096 05BC096 05BC129 05BC129 05BC132 05BC132 05BC152 05BC152 05BC160 05BC160 05BC192 05BC192 05BC198 05BC198 02BC046 05BC167 05BC184 05BC235,BC,40,Fizz/Poppy/Teemo (BC),,
CQAQUBIKDJ2IIAMFAGJADGABUYA26AOAAHBACAIFAUFGA34HAGQADWABAA,BC,214,05BC026 05BC026 05BC026 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC146 05BC146 05BC146 05BC152 05BC152 05BC152 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC194 05BC194 05BC194 05BC096 05BC096 05BC111 05BC111 05BC135 05BC135 05BC160 05BC160 05BC216 05BC216,BC,Tristana,BC,,,,40,Tristana,,
CQBACAQGFYDAKCTUQQA2AANHAGXQDQQBAEEAKCQ2E4UUKYDPTAA2MAICAEBQEAQCAUFACBA,BC,214,02BW046 02BW046 02BW046 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC026 05BC026 05BC039 05BC039 05BC041 05BC041 05BC069 05BC069 05BC096 05BC096 05BC111 05BC111 05BC152 05BC152 05BC166 05BC166 03IO002 05BC001 05BC004,"BC,BW,IO","Fizz,Lulu,Poppy","BC,BW,IO","05BC039,05BC039",02BC046 03BC002 02BC046 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC026 05BC026 05BC039 05BC039 05BC041 05BC041 05BC069 05BC069 05BC096 05BC096 05BC111 05BC111 05BC152 05BC152 05BC166 05BC166 03BC002 05BC001 05BC004,BC,40,Fizz/Lulu/Poppy (BC),,
CQAQYBIKCINGA5EBAGGADGABUAA2OANPAHAADQQBAEAQEBROAEBAKCQBGQ,BC,214,05BC018 05BC018 05BC018 05BC026 05BC026 05BC026 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC140 05BC140 05BC140 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC194 05BC194 05BC194 02BW046 02BW046 05BC001 05BC052,"BC,BW",Fizz,BW,,05BC018 05BC018 05BC018 05BC026 05BC026 05BC026 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC140 05BC140 05BC140 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC194 05BC194 05BC194 02BC046 02BC046 05BC001 05BC052,BC,40,Fizz (BC),,
CQAQUBIKAQVGA5EBAGMADIABU4A3QAOAAEAQEBIKFGCQCAIGAUFAOGRHNFXZIAI,BC,214,05BC004 05BC004 05BC004 05BC042 05BC042 05BC042 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC184 05BC184 05BC184 05BC192 05BC192 05BC192 05BC041 05BC041 05BC133 05BC133 05BC007 05BC026 05BC039 05BC105 05BC111 05BC148,BC,"Poppy,Tristana",BC,05BC039,,,40,Poppy/Tristana,,
CQBACAYCAIFQKCRHFEYUK3DUPCIQDJQBYYA6WAIBAICQUB23AA,BC,221,03IO002 03IO002 03IO002 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC069 05BC069 05BC069 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC198 05BC198 05BC198 05BC235 05BC235 05BC235 05BC007 05BC007 05BC091 05BC091,"BC,IO","Lulu,Poppy","BC,IO","05BC039,05BC039,05BC039",03BC002 03BC002 03BC002 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC069 05BC069 05BC069 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC198 05BC198 05BC198 05BC235 05BC235 05BC235 05BC007 05BC007 05BC091 05BC091,BC,40,Lulu/Poppy (BC),,
CQAQYBIKAEDSOKLAOSCQDDABUAA2OANPAHIQCAABAQCQU2MEAGKADOIB,BC,214,05BC001 05BC001 05BC001 05BC007 05BC007 05BC007 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC140 05BC140 05BC140 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC209 05BC209 05BC209 05BC105 05BC132 05BC148 05BC185,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQGBIKFF2IKAIBBUCQUAIHE4VGA2MBAGCADGABUAA2OANPAHAACAIFAUFAVDABSEA3GAOGAE,BC,214,05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC001 05BC001 05BC007 05BC007 05BC039 05BC039 05BC042 05BC042 05BC096 05BC096 05BC105 05BC105 05BC129 05BC129 05BC132 05BC132 05BC152 05BC152 05BC160 05BC160 05BC167 05BC167 05BC175 05BC175 05BC192 05BC192 05BC010 05BC140 05BC145 05BC179 05BC198,BC,"Poppy,Tristana",BC,"05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQKBIKDIUXJEIBTAAQCCQFBIJGA2MEAGDQDFABUAA2OANPAHBACAIFAUFAVAIBQUAYYANTAE,BC,214,05BC026 05BC026 05BC026 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC145 05BC145 05BC145 05BC152 05BC152 05BC152 05BC018 05BC018 05BC096 05BC096 05BC105 05BC105 05BC132 05BC132 05BC135 05BC135 05BC148 05BC148 05BC160 05BC160 05BC167 05BC167 05BC175 05BC175 05BC194 05BC194 05BC010 05BC129 05BC133 05BC140 05BC179,BC,"Poppy,Tristana",BC,,,,40,Poppy/Tristana,,
CQAQOBIKE5KVQ5EFAGTADQQBAEEQKCQBDJHFIW4EAGEADUIB3AAQCAIFBIGQ,BC,221,05BC039 05BC039 05BC039 05BC085 05BC085 05BC085 05BC088 05BC088 05BC088 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC166 05BC166 05BC166 05BC194 05BC194 05BC194 05BC001 05BC001 05BC026 05BC026 05BC078 05BC078 05BC084 05BC084 05BC091 05BC091 05BC132 05BC132 05BC136 05BC136 05BC209 05BC209 05BC216 05BC216 05BC013,BC,"Rumble,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Rumble/Tristana,,
CQAQOBIKE5QHJBIBTAA26AOCAEAQOBIKAENG7BABUYA4AAORAEBQCAIEBAAQEBROAMCQUKJRUAAQ,BC,214,05BC039 05BC039 05BC039 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC152 05BC152 05BC152 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC001 05BC001 05BC026 05BC026 05BC111 05BC111 05BC132 05BC132 05BC166 05BC166 05BC192 05BC192 05BC209 05BC209 01PZ008 02BW046 05BC041 05BC049 05BC160,"BC,BW,PZ","Fizz,Poppy,Teemo,Tristana","BC,BW,PZ","05BC039,05BC039,05BC039",05BC039 05BC039 05BC039 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC152 05BC152 05BC152 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC001 05BC001 05BC026 05BC026 05BC111 05BC111 05BC132 05BC132 05BC166 05BC166 05BC192 05BC192 05BC209 05BC209 02BC046 01BC008 05BC041 05BC049 05BC160,BC,40,Fizz/Poppy/Teemo/Tristana (BC),,
CQAQQBIKDITSSKTUQUA26AOAAEAQQBIKAECGA34MAGMADJYBYIAQA,BC,214,05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC042 05BC042 05BC042 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC001 05BC001 05BC004 05BC004 05BC096 05BC096 05BC111 05BC111 05BC140 05BC140 05BC152 05BC152 05BC167 05BC167 05BC194 05BC194,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQBACAQGFYFQKCRJGFWHI6EEAGIQDJQBU4A4MAPLAEAQEBIKAENAA,BC,221,02BW046 02BW046 02BW046 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC132 05BC132 05BC132 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC198 05BC198 05BC198 05BC235 05BC235 05BC235 05BC001 05BC001 05BC026 05BC026,"BC,BW","Fizz,Poppy","BC,BW",,02BC046 02BC046 02BC046 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC132 05BC132 05BC132 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC198 05BC198 05BC198 05BC235 05BC235 05BC235 05BC001 05BC001 05BC026 05BC026,BC,40,Fizz/Poppy (BC),,
CQAQKBIKOSQADJYBV4A4AAIBBACQUAJHMBXYCAMEAGMADQQBAQAQCBAIAEBAMLQBAMBAEBQFBINCSNEFAGRQDUIB,BC,214,05BC116 05BC116 05BC116 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC001 05BC001 05BC039 05BC039 05BC096 05BC096 05BC111 05BC111 05BC129 05BC129 05BC132 05BC132 05BC152 05BC152 05BC194 05BC194 01PZ008 02BW046 03IO002 05BC026 05BC041 05BC052 05BC133 05BC163 05BC209,"BC,BW,IO,PZ","Fizz,Lulu,Poppy,Teemo,Tristana,Ziggs","BC,BW,IO,PZ","05BC039,05BC039",05BC116 05BC116 05BC116 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC001 05BC001 05BC039 05BC039 05BC096 05BC096 05BC111 05BC111 05BC129 05BC129 05BC132 05BC132 05BC152 05BC152 05BC194 05BC194 02BC046 03BC002 01BC008 05BC026 05BC041 05BC052 05BC133 05BC163 05BC209,BC,40,Fizz/Lulu/Poppy/Teemo/Tristana/Ziggs (BC),,
CQAQYBIKAQNCQKLUQQAZQANGAGTQDLYBXQA4EAIBAICQVIABYAAQA,BC,214,05BC004 05BC004 05BC004 05BC026 05BC026 05BC026 05BC040 05BC040 05BC040 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC152 05BC152 05BC152 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC188 05BC188 05BC188 05BC194 05BC194 05BC194 05BC160 05BC160 05BC192 05BC192,BC,Poppy,BC,,,,40,Poppy,,
CQAQ2BIKAEUW65EBAGCADBIBSQA2AANGAGTQDLYBYYAQAAIBAUFNCAI,BC,214,05BC001 05BC001 05BC001 05BC041 05BC041 05BC041 05BC111 05BC111 05BC111 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC148 05BC148 05BC148 05BC160 05BC160 05BC160 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC198 05BC198 05BC198 05BC209,BC,"Poppy,Tristana",BC,,,,40,Poppy/Tristana,,
CQAQYBIKAENDCNDUQQAZEANGAGTQDOABYIA4MAIBAICQUB6RAEAA,BC,214,05BC001 05BC001 05BC001 05BC026 05BC026 05BC026 05BC049 05BC049 05BC049 05BC052 05BC052 05BC052 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC146 05BC146 05BC146 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC184 05BC184 05BC184 05BC194 05BC194 05BC194 05BC198 05BC198 05BC198 05BC007 05BC007 05BC209 05BC209,BC,Championless,,,,,40,Championless (BC),,
CQAQYBIKAQCRUKBRGJ2JOANGAGXQDPABYIAQAAYBAECAQAICAYXAEBIKFGRQC,BC,214,05BC004 05BC004 05BC004 05BC005 05BC005 05BC005 05BC026 05BC026 05BC026 05BC040 05BC040 05BC040 05BC049 05BC049 05BC049 05BC050 05BC050 05BC050 05BC116 05BC116 05BC116 05BC151 05BC151 05BC151 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC188 05BC188 05BC188 05BC194 05BC194 05BC194 01PZ008 02BW046 05BC041 05BC163,"BC,BW,PZ","Fizz,Poppy,Teemo,Ziggs","BC,BW,PZ",,05BC004 05BC004 05BC004 05BC005 05BC005 05BC005 05BC026 05BC026 05BC026 05BC040 05BC040 05BC040 05BC049 05BC049 05BC049 05BC050 05BC050 05BC050 05BC116 05BC116 05BC116 05BC151 05BC151 05BC151 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC188 05BC188 05BC188 05BC194 05BC194 05BC194 01BC008 02BC046 05BC041 05BC163,BC,40,Fizz/Poppy/Teemo/Ziggs (BC),,
CQAQ2BIKE4UTCYDMOSCADBIBSEAZQANGAGTQDQABAAAQCBIKJE,BC,221,05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC096 05BC096 05BC096 05BC108 05BC108 05BC108 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC145 05BC145 05BC145 05BC152 05BC152 05BC152 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC192 05BC192 05BC192 05BC073,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQYBIKDITSSMLUQQAYKANAAGTADJYBV4A4AAIBAICQUYGCAEAA,BC,214,05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC096 05BC096 05BC194 05BC194,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQIBIKFF2JQAOCAEAQWBIKE5DGA34MAGSADJYBV4A3SAOAAHIQCAIGAUFACCQ2NGCQDWAB,BC,214,05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC152 05BC152 05BC152 05BC194 05BC194 05BC194 05BC039 05BC039 05BC070 05BC070 05BC096 05BC096 05BC111 05BC111 05BC140 05BC140 05BC164 05BC164 05BC167 05BC167 05BC175 05BC175 05BC185 05BC185 05BC192 05BC192 05BC209 05BC209 05BC001 05BC010 05BC026 05BC105 05BC133 05BC216,BC,"Poppy,Tristana",BC,"05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQKBIKOSCADJQBV4A4EAIBBQCQUAI2FE5GU54BAGCQDGABUAA4AAOGAEAQCBIK2EAQ,BC,221,05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC001 05BC001 05BC026 05BC026 05BC041 05BC041 05BC058 05BC058 05BC106 05BC106 05BC119 05BC119 05BC129 05BC129 05BC133 05BC133 05BC152 05BC152 05BC160 05BC160 05BC192 05BC192 05BC198 05BC198 05BC209,BC,"Kennen,Poppy,Tristana",BC,,,,40,Kennen/Poppy/Tristana,,
CQAQUBIKAETSS5EEAGCQDGABV4A4EAOYAEAQIBIKMCAQDJYBYAAQCAQFBIFKAAI,BC,214,05BC001 05BC001 05BC001 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC152 05BC152 05BC152 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC216 05BC216 05BC216 05BC096 05BC096 05BC129 05BC129 05BC167 05BC167 05BC192 05BC192 05BC010 05BC160,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQQBIKAECBUKUBAGTADLYBYYAQCBIFBJQHJIABYAA4EAIEAEAQICABAIDC4AIDAIBAGBIKFFO2GAI,BC,214,05BC001 05BC001 05BC001 05BC004 05BC004 05BC004 05BC026 05BC026 05BC026 05BC042 05BC042 05BC042 05BC129 05BC129 05BC129 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC198 05BC198 05BC198 05BC096 05BC096 05BC116 05BC116 05BC160 05BC160 05BC192 05BC192 05BC194 05BC194 01PZ008 02BW046 03IO002 05BC041 05BC093 05BC163,"BC,BW,IO,PZ","Fizz,Lulu,Poppy,Teemo,Veigar,Ziggs","BC,BW,IO,PZ",,05BC001 05BC001 05BC001 05BC004 05BC004 05BC004 05BC026 05BC026 05BC026 05BC042 05BC042 05BC042 05BC129 05BC129 05BC129 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC198 05BC198 05BC198 05BC096 05BC096 05BC116 05BC116 05BC160 05BC160 05BC192 05BC192 05BC194 05BC194 02BC046 03BC002 01BC008 05BC041 05BC093 05BC163,BC,40,Fizz/Lulu/Poppy/Teemo/Veigar/Ziggs (BC),,
