deck_code,factions,Champion.01,Champion.02,Champion.03,Champion.04,Champion.05,Champion.06,Card.01,Card.02,Card.03,Card.04,Card.05,Card.06,Card.07,Card.08,Card.09,Card.10,Card.11,Card.12,Card.13,Card.14,Card.15,Card.16,Card.17,Card.18,Card.19,Card.20,Card.21,Card.22,Card.23,Card.24,Card.25,Card.26,Card.27,Card.28,Card.29,Card.30,Card.31,Card.32,Card.33,Card.34,Card.35,Card.36,Card.37,Card.38,Card.39,Card.40,archetype,archetype_pretty
CQAQMBIKOSCQDIABU4A26AOCAEAQWBIKBIJBUYDJN6AQDGABUYA3GAOAAEAA,faction_BandleCity_Name,05BC133,05BC133,05BC133,"","","",05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC194,05BC194,05BC194,05BC010,05BC010,05BC018,05BC018,05BC026,05BC026,05BC096,05BC096,05BC105,05BC105,05BC111,05BC111,05BC129,05BC129,05BC152,05BC152,05BC166,05BC166,05BC179,05BC179,05BC192,05BC192,Tristana,""
CQAQMBIKFFXXJBIBU4A26AIBBECQUAI2MCCADDABTAA2MANTAHIQCAIEAUFAU2MUAHDAC,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC041,05BC041,05BC041,05BC111,05BC111,05BC111,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC001,05BC001,05BC026,05BC026,05BC096,05BC096,05BC132,05BC132,05BC140,05BC140,05BC152,05BC152,05BC166,05BC166,05BC179,05BC179,05BC209,05BC209,05BC010,05BC105,05BC148,05BC198,Poppy/Tristana,""
CQAQYBIKAECBUKLAOSAQDGABU4A26AOAAHBACAICAUFIOAMMAEAA,faction_BandleCity_Name,05BC041,05BC041,05BC041,"","","",05BC001,05BC001,05BC001,05BC004,05BC004,05BC004,05BC026,05BC026,05BC026,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC152,05BC152,05BC152,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC135,05BC135,05BC140,05BC140,Poppy,""
CQAQCBIKYAAQCAQFBIZGEAYBAMBAEAQBAQEDQHQFBICAKBYNFAUSUMKGJFOV4YDEMZ2HVBABQUAZCAMYAGSADJYBV4A3QANZAHBADTIB2EA5QAI,faction_BandleCity_Name,03IO002,01PZ008,01PZ056,05BC041,05BC093,05BC133,05BC192,05BC192,05BC192,05BC050,05BC050,05BC098,05BC098,03IO002,01PZ008,01PZ056,05BC004,05BC005,05BC007,05BC013,05BC040,05BC041,05BC042,05BC049,05BC070,05BC073,05BC093,05BC094,05BC096,05BC100,05BC102,05BC116,05BC122,05BC132,05BC133,05BC145,05BC152,05BC164,05BC167,05BC175,05BC184,05BC185,05BC194,05BC205,05BC209,05BC216,Heimerdinger/Lulu/Poppy/Teemo/Tristana/Veigar (BC),""
CQAQUBIKDIUWA5EBAGCADBIBTAA2OANPAEAQKBIKN6DQDIABYAA4EAIA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC152,05BC152,05BC152,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC111,05BC111,05BC135,05BC135,05BC160,05BC160,05BC192,05BC192,05BC194,05BC194,Poppy/Tristana,""
CQAQUBIKDITSSYDUQQAYKANGAGTQDLYBAECAKCQBGG4QDQQBAEBAKCTPTAAQ,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC001,05BC001,05BC049,05BC049,05BC185,05BC185,05BC194,05BC194,05BC111,05BC152,Poppy/Tristana,""
CQAQQBIKAUUTSXK6MJ2JCAIBAQCQUMJSIVRQCCAFBJQGM6UBAGTQDLYBXAA4AAI,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC093,05BC093,05BC093,05BC005,05BC005,05BC005,05BC041,05BC041,05BC041,05BC057,05BC057,05BC057,05BC093,05BC093,05BC093,05BC094,05BC094,05BC094,05BC098,05BC098,05BC098,05BC116,05BC116,05BC116,05BC145,05BC145,05BC145,05BC049,05BC049,05BC050,05BC050,05BC069,05BC069,05BC099,05BC099,05BC096,05BC102,05BC122,05BC129,05BC167,05BC175,05BC184,05BC192,Poppy/Veigar,""
CQAQSBIKDITSSYDUQUA2AANHAHBACAIFAUFGTAIBSIAZQANPAEAQGBIKBJX3GAI,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC167,05BC167,05BC167,05BC194,05BC194,05BC194,05BC105,05BC105,05BC129,05BC129,05BC146,05BC146,05BC152,05BC152,05BC175,05BC175,05BC010,05BC111,05BC179,Poppy/Tristana,""
CQAQSBIKE4UWBAIBQUA2MANHAGXQDQABAEDAKCQ2N6CADFABUAA3QAIBAECQVWAB,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC129,05BC129,05BC129,05BC133,05BC133,05BC133,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC026,05BC026,05BC111,05BC111,05BC132,05BC132,05BC148,05BC148,05BC160,05BC160,05BC184,05BC184,05BC216,Poppy/Tristana,""
CQBACAIEHAFQKCQEFAUTC5EEAGTADJYBV4A3YAOGAEAQEBIKAFXQA,faction_BandleCity_Name,01PZ056,01PZ056,01PZ056,05BC041,05BC041,05BC041,01PZ056,01PZ056,01PZ056,05BC004,05BC004,05BC004,05BC040,05BC040,05BC040,05BC041,05BC041,05BC041,05BC049,05BC049,05BC049,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC188,05BC188,05BC188,05BC198,05BC198,05BC198,05BC001,05BC001,05BC111,05BC111,Heimerdinger/Poppy (BC),""
CQAQSBIKMB2IIAMFAGQADJQBU4A26AOAAEBACAIEBACQKCQ2E4VIYAOGAEAQCBIKFE,faction_BandleCity_Name,05BC133,05BC133,05BC133,01PZ008,01PZ008,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,01PZ008,01PZ008,05BC026,05BC026,05BC039,05BC039,05BC042,05BC042,05BC140,05BC140,05BC198,05BC198,05BC041,Poppy/Teemo/Tristana (BC),""
CQAQYBIKDITTCNDUQQAZEANGAGTQDOABYIA4MAIBAECQVUIBAEBAKCQBSEAQ,faction_BandleCity_Name,"","","","","","",05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC049,05BC049,05BC049,05BC052,05BC052,05BC052,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC146,05BC146,05BC146,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC184,05BC184,05BC184,05BC194,05BC194,05BC194,05BC198,05BC198,05BC198,05BC209,05BC209,05BC001,05BC145,Championless (BC),""
CQAQQBIKE4UXJBABQUA2MAOCAHDACAIIAUFAUYEBAGMADIABU4A26AOAAEAA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC166,05BC166,05BC166,05BC194,05BC194,05BC194,05BC198,05BC198,05BC198,05BC010,05BC010,05BC096,05BC096,05BC129,05BC129,05BC152,05BC152,05BC160,05BC160,05BC167,05BC167,05BC175,05BC175,05BC192,05BC192,Poppy/Tristana,""
CQAQUBIKE4UWA5EBAGCQDGABUAA2OANPAEAQKBIKAENG7BABYIAQA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC133,05BC133,05BC133,05BC152,05BC152,05BC152,05BC160,05BC160,05BC160,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC001,05BC001,05BC026,05BC026,05BC111,05BC111,05BC132,05BC132,05BC194,05BC194,Poppy/Tristana,""
CQAQUBIKAECCSMLUQUAZQANGAGXQDQQBAECQKCRKN6AQDBABU4AQA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC001,05BC001,05BC001,05BC004,05BC004,05BC004,05BC041,05BC041,05BC041,05BC049,05BC049,05BC049,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC175,05BC175,05BC175,05BC194,05BC194,05BC194,05BC042,05BC042,05BC111,05BC111,05BC129,05BC129,05BC132,05BC132,05BC167,05BC167,Poppy/Tristana,""
CQAQEBIKFGCQCAIPAUFACBAHDITWA5EMAGMADJQBU4A26AOCAHDADUIBAECAKCTJN6CADFAB,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC001,05BC001,05BC004,05BC004,05BC007,05BC007,05BC026,05BC026,05BC039,05BC039,05BC096,05BC096,05BC116,05BC116,05BC140,05BC140,05BC152,05BC152,05BC166,05BC166,05BC167,05BC167,05BC175,05BC175,05BC194,05BC194,05BC198,05BC198,05BC209,05BC209,05BC105,05BC111,05BC132,05BC148,Poppy/Tristana,""
CQAQEBIKFGCQCAIOAUFACBA2E5QHJBABRQAZCAMYAGTADJYBV4A4MAIBAYCQU2LPSQA3GAOCAHIQC,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC001,05BC001,05BC004,05BC004,05BC026,05BC026,05BC039,05BC039,05BC096,05BC096,05BC116,05BC116,05BC132,05BC132,05BC140,05BC140,05BC145,05BC145,05BC152,05BC152,05BC166,05BC166,05BC167,05BC167,05BC175,05BC175,05BC198,05BC198,05BC105,05BC111,05BC148,05BC179,05BC194,05BC209,Poppy/Tristana,""
CQAQOBIKFFQHJBIBV4A4AAORAEAQSBIKAGAQDBABQ4AZIAMYAGQADJQBU4AQCAIFBLMAC,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC209,05BC209,05BC209,05BC001,05BC001,05BC129,05BC129,05BC132,05BC132,05BC135,05BC135,05BC148,05BC148,05BC152,05BC152,05BC160,05BC160,05BC166,05BC166,05BC167,05BC167,05BC216,Poppy/Tristana,""
