deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster
CQAQUBIKBJQHJAIBRQAZQANAAGTQDLYBYAAQCAQFBIU3GAIEAEAQICABAIDC4AIDAIBAGBIKCKKADIYB,BC,214,05BC010 05BC010 05BC010 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC140 05BC140 05BC140 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC041 05BC041 05BC179 05BC179 01PZ008 02BW046 03IO002 05BC018 05BC148 05BC163,"BC,BW,IO,PZ","Fizz,Lulu,Poppy,Teemo,Ziggs","BC,BW,IO,PZ",,05BC010 05BC010 05BC010 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC140 05BC140 05BC140 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC041 05BC041 05BC179 05BC179 02BC046 03BC002 01BC008 05BC018 05BC148 05BC163,BC,40,Fizz/Lulu/Poppy/Teemo/Ziggs (BC),,
CQAQYBIKA4TSSMKFJFWG65FDAGTADJYBAEBAKCQ2TAAQA,BC,221,05BC007 05BC007 05BC007 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC108 05BC108 05BC108 05BC111 05BC111 05BC111 05BC116 05BC116 05BC116 05BC163 05BC163 05BC163 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC026 05BC026 05BC152 05BC152,BC,"Poppy,Ziggs",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Ziggs,,
CQAQWBIKDITSSYDUQQAYKANAAGTQDLYBYYAQCAYFBKDQDFAB2EAQCAIFBJUQ,BC,214,05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC198 05BC198 05BC198 05BC135 05BC135 05BC148 05BC148 05BC209 05BC209 05BC105,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQQBIKDITSSKTUQUA26AOAAEAQQBIKAECGA34MAGMADJYBYIAQA,BC,214,05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC042 05BC042 05BC042 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC001 05BC001 05BC004 05BC004 05BC096 05BC096 05BC111 05BC111 05BC140 05BC140 05BC152 05BC152 05BC167 05BC167 05BC194 05BC194,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQYBIKFEYUSYDUQQAYKAMYAGTADJYBV4A4AAIBAICQU36CAEAA,BC,214,05BC041 05BC041 05BC041 05BC049 05BC049 05BC049 05BC073 05BC073 05BC073 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC152 05BC152 05BC152 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC111 05BC111 05BC194 05BC194,BC,"Poppy,Tristana",BC,,,,40,Poppy/Tristana,,
CQAQYBIKAQTTCWDMN52HRBIBSEA2MAOAAEAQEBIKDKTQCAA,BC,221,05BC004 05BC004 05BC004 05BC039 05BC039 05BC039 05BC049 05BC049 05BC049 05BC088 05BC088 05BC088 05BC108 05BC108 05BC108 05BC111 05BC111 05BC111 05BC116 05BC116 05BC116 05BC120 05BC120 05BC120 05BC133 05BC133 05BC133 05BC145 05BC145 05BC145 05BC166 05BC166 05BC166 05BC192 05BC192 05BC192 05BC026 05BC026 05BC167 05BC167,BC,"Rumble,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Rumble/Tristana,,
CQAQ2BIKA4NCOKLAOSCADBIBTAA2AANGAGXQDQABAAAQCBIKRQAQ,BC,214,05BC007 05BC007 05BC007 05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC166 05BC166 05BC166 05BC175 05BC175 05BC175 05BC192 05BC192 05BC192 05BC140,BC,"Poppy,Tristana",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQUBIKDIUWA3EBAGCQDIABUYA2OANPAEAQKBIKAFUW7MYBYIAQA,BC,221,05BC026 05BC026 05BC026 05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC108 05BC108 05BC108 05BC129 05BC129 05BC129 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC001 05BC001 05BC105 05BC105 05BC111 05BC111 05BC179 05BC179 05BC194 05BC194,BC,"Poppy,Tristana",BC,,,,40,Poppy/Tristana,,
CQBACAIEBAEQKCRHMB2ICAMEAGCQDIABU4A26AIBAMCQU35GAHAACAIEAUFBE2NTAHDAC,BC,214,01PZ008 01PZ008 01PZ008 05BC039 05BC039 05BC039 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC111 05BC111 05BC166 05BC166 05BC192 05BC192 05BC018 05BC105 05BC179 05BC198,"BC,PZ","Teemo,Tristana","BC,PZ","05BC039,05BC039,05BC039",01BC008 01BC008 01BC008 05BC039 05BC039 05BC039 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC129 05BC129 05BC129 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC111 05BC111 05BC166 05BC166 05BC192 05BC192 05BC018 05BC105 05BC179 05BC198,BC,40,Teemo/Tristana (BC),,
CQAQSBIKAENCOYDUQQAZQANPAHBACAIEAUFAM2MBAGKACAIFAUFCSXMFAGRQDOAB,BC,214,05BC001 05BC001 05BC001 05BC026 05BC026 05BC026 05BC039 05BC039 05BC039 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC152 05BC152 05BC152 05BC175 05BC175 05BC175 05BC194 05BC194 05BC194 05BC006 05BC006 05BC105 05BC105 05BC129 05BC129 05BC148 05BC148 05BC041 05BC093 05BC133 05BC163 05BC184,BC,"Poppy,Tristana,Veigar,Ziggs",BC,"05BC039,05BC039,05BC039",,,40,Poppy/Tristana/Veigar/Ziggs,,
CQAQWBIKAECCOKBROSCADBIBUAA2OANPAEAQGBIKTAA2MAOCAEAQCBIKXQAQ,BC,214,05BC001 05BC001 05BC001 05BC004 05BC004 05BC004 05BC039 05BC039 05BC039 05BC040 05BC040 05BC040 05BC049 05BC049 05BC049 05BC116 05BC116 05BC116 05BC132 05BC132 05BC132 05BC133 05BC133 05BC133 05BC160 05BC160 05BC160 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC152 05BC152 05BC166 05BC166 05BC194 05BC194 05BC188,BC,Tristana,BC,"05BC039,05BC039,05BC039",,,40,Tristana,,
CMAQSBIKFFQHJBIBSIAZQANAAG4ADQQBAEDAKCQKE5XYCANPAHAACAIBAUFIIAI,BC,214,05BC041 05BC041 05BC041 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC133 05BC133 05BC133 05BC146 05BC146 05BC146 05BC152 05BC152 05BC152 05BC160 05BC160 05BC160 05BC184 05BC184 05BC184 05BC194 05BC194 05BC194 05BC010 05BC010 05BC039 05BC039 05BC111 05BC111 05BC129 05BC129 05BC175 05BC175 05BC192 05BC192 05BC132,BC,"Poppy,Tristana",BC,"05BC039,05BC039",,,40,Poppy/Tristana,,
CQAQ2BIKBUNSQSLCMSIQDIABUQA2MANHAHAAD2YBAAAQCBIKAQ,BC,214,05BC013 05BC013 05BC013 05BC027 05BC027 05BC027 05BC040 05BC040 05BC040 05BC073 05BC073 05BC073 05BC098 05BC098 05BC098 05BC100 05BC100 05BC100 05BC145 05BC145 05BC145 05BC160 05BC160 05BC160 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC192 05BC192 05BC192 05BC235 05BC235 05BC235 05BC004,BC,Championless,,,,,40,Championless (BC),,
