playerDeck,opponentDeck,muWin,muGames,muWR
Anivia (FR/SI),Ashe/LeBlanc,10,17,0.588235294117647
Anivia (FR/SI),Aurelion Sol/Shyvana,5,12,0.416666666666667
Anivia (FR/SI),Aurelion Sol/Shyvana/Zoe,20,41,0.487804878048781
Anivia (FR/SI),Azir/Darius,11,18,0.611111111111111
Anivia (FR/SI),Azir/Irelia,17,126,0.134920634920635
Anivia (FR/SI),Draven/Ezreal,56,97,0.577319587628866
Anivia (FR/SI),Draven/Jinx,28,36,0.777777777777778
Anivia (FR/SI),Elise (NX/SI),9,12,0.75
Anivia (FR/SI),Lee Sin/Zoe,6,12,0.5
Anivia (FR/SI),Lissandra/Taliyah,10,41,0.24390243902439
Anivia (FR/SI),Lissandra/Trundle (FR/SI),7,39,0.17948717948718
Anivia (FR/SI),Maokai/Nautilus,6,18,0.333333333333333
Anivia (FR/SI),Nasus/Thresh,37,89,0.415730337078652
Anivia (FR/SI),Renekton/Sejuani/Sivir,9,29,0.310344827586207
Anivia (FR/SI),Vi/Zoe,8,20,0.4
Anivia/Gangplank,Azir/Irelia,3,24,0.125
Anivia/Gangplank,Draven/Ezreal,3,12,0.25
Anivia/Gangplank,Ezreal/Teemo (FR/PZ),3,11,0.272727272727273
Anivia/Gangplank,Lissandra/Taliyah,4,11,0.363636363636364
Anivia/Gangplank,Nasus/Thresh,10,20,0.5
Anivia/Karma,Azir/Irelia,0,13,0
Aphelios/Ezreal,Azir/Irelia,3,11,0.272727272727273
Aphelios/Ezreal,Draven/Ezreal,8,18,0.444444444444444
Aphelios/Ezreal,Lissandra/Taliyah,3,12,0.25
Aphelios/Heimerdinger,Azir/Irelia,3,21,0.142857142857143
Aphelios/Heimerdinger,Draven/Ezreal,6,16,0.375
Aphelios/Heimerdinger,Nasus/Thresh,5,18,0.277777777777778
Aphelios/Heimerdinger,Renekton/Sejuani/Sivir,1,11,0.0909090909090909
Aphelios/Heimerdinger/Vi/Viktor,Azir/Irelia,6,22,0.272727272727273
Aphelios/Heimerdinger/Vi/Viktor,Draven/Ezreal,4,13,0.307692307692308
Aphelios/Heimerdinger/Vi/Viktor,Nasus/Thresh,12,22,0.545454545454545
Aphelios/Karma/Zoe,Aurelion Sol/Shyvana/Zoe,6,19,0.315789473684211
Aphelios/Karma/Zoe,Azir/Irelia,11,48,0.229166666666667
Aphelios/Karma/Zoe,Draven/Ezreal,12,23,0.521739130434783
Aphelios/Karma/Zoe,Lissandra/Taliyah,2,13,0.153846153846154
Aphelios/Karma/Zoe,Lissandra/Trundle (FR/SI),9,20,0.45
Aphelios/Karma/Zoe,Maokai/Nautilus,4,11,0.363636363636364
Aphelios/Karma/Zoe,Nasus/Thresh,11,25,0.44
Aphelios/Vi/Zoe,Azir/Irelia,4,13,0.307692307692308
Aphelios/Zoe (BW/MT),Aurelion Sol/Shyvana/Zoe,4,15,0.266666666666667
Aphelios/Zoe (BW/MT),Azir/Irelia,17,61,0.278688524590164
Aphelios/Zoe (BW/MT),Draven/Ezreal,15,35,0.428571428571429
Aphelios/Zoe (BW/MT),Lissandra/Taliyah,7,25,0.28
Aphelios/Zoe (BW/MT),Lissandra/Trundle (FR/SI),8,21,0.380952380952381
Aphelios/Zoe (BW/MT),Maokai/Nautilus,3,13,0.230769230769231
Aphelios/Zoe (BW/MT),Nasus/Thresh,20,48,0.416666666666667
Aphelios/Zoe (BW/MT),Renekton/Sejuani/Sivir,3,14,0.214285714285714
Aphelios/Zoe (IO/MT),Azir/Irelia,3,15,0.2
Aphelios/Zoe (MT/PZ),Azir/Irelia,19,54,0.351851851851852
Aphelios/Zoe (MT/PZ),Draven/Ezreal,8,21,0.380952380952381
Aphelios/Zoe (MT/PZ),Draven/Jinx,9,14,0.642857142857143
Aphelios/Zoe (MT/PZ),Maokai/Nautilus,7,11,0.636363636363636
Aphelios/Zoe (MT/PZ),Nasus/Thresh,12,28,0.428571428571429
Aphelios/Zoe (MT/SI),Azir/Irelia,0,14,0
Ashe/Katarina/LeBlanc,Azir/Irelia,8,35,0.228571428571429
