player,opponent,muWin,muGames,muWR,factions,okCI,direction,CI,playrate
Akshan (FR/SH),Akshan / Sivir (DE/SH),11,49,0.224489795918367,"Freljord,Shurima",TRUE,NEG,(11.8%-36.6%),0.00131217447069319
Akshan (FR/SH),Akshan / Sivir (IO/SH),5,28,0.178571428571429,"Freljord,Shurima",TRUE,NEG,(6.1%-36.9%),0.00131217447069319
Akshan (FR/SH),Akshan / Sivir / Zed,13,45,0.288888888888889,"Freljord,Shurima",TRUE,NEG,(16.4%-44.3%),0.00131217447069319
Akshan (FR/SH),Anivia (FR/SI),19,26,0.730769230769231,"Freljord,Shurima",TRUE,POS,(52.2%-88.4%),0.00131217447069319
Akshan (FR/SH),Azir / Irelia,12,57,0.210526315789474,"Freljord,Shurima",TRUE,NEG,(11.4%-33.9%),0.00131217447069319
Akshan (FR/SH),Draven / Ezreal,9,43,0.209302325581395,"Freljord,Shurima",TRUE,NEG,(10.0%-36.0%),0.00131217447069319
Akshan (FR/SH),Draven / Jinx,12,34,0.352941176470588,"Freljord,Shurima",FALSE,NEG,(19.7%-53.5%),0.00131217447069319
Akshan (FR/SH),Ekko / Zilean,9,19,0.473684210526316,"Freljord,Shurima",FALSE,NEG,(24.4%-71.1%),0.00131217447069319
Akshan (FR/SH),Ezreal / Karma,10,24,0.416666666666667,"Freljord,Shurima",FALSE,NEG,(22.1%-63.4%),0.00131217447069319
Akshan (FR/SH),Fiora / Shen,3,11,0.272727272727273,"Freljord,Shurima",FALSE,NEG,(6.0%-61.0%),0.00131217447069319
Akshan (FR/SH),Gangplank / Miss Fortune (BW/NX),10,33,0.303030303030303,"Freljord,Shurima",TRUE,NEG,(15.6%-48.7%),0.00131217447069319
Akshan (FR/SH),Gangplank / Sejuani,19,80,0.2375,"Freljord,Shurima",TRUE,NEG,(14.9%-34.6%),0.00131217447069319
Akshan (FR/SH),Gangplank / Twisted Fate (BW/NX),3,11,0.272727272727273,"Freljord,Shurima",FALSE,NEG,(6.0%-61.0%),0.00131217447069319
Akshan (FR/SH),Jarvan IV / Shen,20,36,0.555555555555556,"Freljord,Shurima",FALSE,POS,(38.1%-72.1%),0.00131217447069319
Akshan (FR/SH),Jinx / Lulu,5,15,0.333333333333333,"Freljord,Shurima",FALSE,NEG,(11.8%-61.6%),0.00131217447069319
Akshan (FR/SH),Lulu / Zed (DE/IO),10,48,0.208333333333333,"Freljord,Shurima",TRUE,NEG,(10.5%-35.0%),0.00131217447069319
Akshan (FR/SH),Maokai / Nautilus,4,15,0.266666666666667,"Freljord,Shurima",FALSE,NEG,(7.8%-55.1%),0.00131217447069319
Akshan (FR/SH),Pyke / Rek'Sai,21,56,0.375,"Freljord,Shurima",FALSE,NEG,(24.9%-51.5%),0.00131217447069319
Akshan (FR/SH),Soraka / Tahm Kench,3,13,0.230769230769231,"Freljord,Shurima",FALSE,NEG,(5.0%-53.8%),0.00131217447069319
Akshan (FR/SH),Swain / Twisted Fate,9,37,0.243243243243243,"Freljord,Shurima",TRUE,NEG,(11.8%-41.2%),0.00131217447069319
Akshan (FR/SH),Thresh / Viego (IO/SI),3,14,0.214285714285714,"Freljord,Shurima",FALSE,NEG,(4.7%-50.8%),0.00131217447069319
Akshan (FR/SH),Viego (IO/SI),6,12,0.5,"Freljord,Shurima",FALSE,NEG,(21.1%-78.9%),0.00131217447069319
Akshan (FR/SH),Viego (SI/SH),7,17,0.411764705882353,"Freljord,Shurima",FALSE,NEG,(18.4%-67.1%),0.00131217447069319
Akshan (IO/SH),Akshan / Lee Sin,17,32,0.53125,"Ionia,Shurima",FALSE,POS,(34.7%-70.9%),0.000563205633949468
Akshan (IO/SH),Akshan / Sivir (DE/SH),3,13,0.230769230769231,"Ionia,Shurima",FALSE,NEG,(5.0%-53.8%),0.000563205633949468
Akshan (IO/SH),Akshan / Sivir (IO/SH),5,19,0.263157894736842,"Ionia,Shurima",FALSE,NEG,(9.1%-51.2%),0.000563205633949468
Akshan (IO/SH),Azir / Irelia,4,34,0.117647058823529,"Ionia,Shurima",TRUE,NEG,(3.3%-27.5%),0.000563205633949468
Akshan (IO/SH),Draven / Jinx,5,21,0.238095238095238,"Ionia,Shurima",TRUE,NEG,(8.2%-47.2%),0.000563205633949468
Akshan (IO/SH),Gangplank / Miss Fortune (BW/NX),0,16,0,"Ionia,Shurima",TRUE,NEG,(0.0%-20.6%),0.000563205633949468
Akshan (IO/SH),Gangplank / Sejuani,7,24,0.291666666666667,"Ionia,Shurima",FALSE,NEG,(12.6%-51.1%),0.000563205633949468
Akshan (IO/SH),Jarvan IV / Shen,3,12,0.25,"Ionia,Shurima",FALSE,NEG,(5.5%-57.2%),0.000563205633949468
Akshan (IO/SH),Lulu / Zed (DE/IO),0,11,0,"Ionia,Shurima",TRUE,NEG,(0.0%-28.5%),0.000563205633949468
Akshan (IO/SH),Nasus / Viego,2,11,0.181818181818182,"Ionia,Shurima",FALSE,NEG,(2.3%-51.8%),0.000563205633949468
Akshan (IO/SH),Pyke / Rek'Sai,10,21,0.476190476190476,"Ionia,Shurima",FALSE,NEG,(25.7%-70.2%),0.000563205633949468
Akshan (IO/SH),Sivir / Zed,3,23,0.130434782608696,"Ionia,Shurima",TRUE,NEG,(2.8%-33.6%),0.000563205633949468
Akshan (IO/SH),Viego (SI/SH),4,13,0.307692307692308,"Ionia,Shurima",FALSE,NEG,(9.1%-61.4%),0.000563205633949468
Akshan (NX/SH),Akshan / Sivir (DE/SH),10,15,0.666666666666667,"Noxus,Shurima",FALSE,POS,(38.4%-88.2%),0.000268587560728002
Akshan (NX/SH),Azir / Irelia,9,12,0.75,"Noxus,Shurima",FALSE,POS,(42.8%-94.5%),0.000268587560728002
Akshan (NX/SH),Gangplank / Miss Fortune (BW/NX),5,11,0.454545454545455,"Noxus,Shurima",FALSE,NEG,(16.7%-76.6%),0.000268587560728002
Akshan (NX/SH),Gangplank / Sejuani,14,19,0.736842105263158,"Noxus,Shurima",FALSE,POS,(48.8%-90.9%),0.000268587560728002
Akshan (NX/SH),Lulu / Zed (DE/IO),12,24,0.5,"Noxus,Shurima",FALSE,NEG,(29.1%-70.9%),0.000268587560728002
Akshan (NX/SH),Swain / Twisted Fate,5,11,0.454545454545455,"Noxus,Shurima",FALSE,NEG,(16.7%-76.6%),0.000268587560728002
Akshan / Aphelios,Gangplank / Sejuani,2,11,0.181818181818182,"MtTargon,Shurima",FALSE,NEG,(2.3%-51.8%),0.000127786152240636
Akshan / Aphelios,Pyke / Rek'Sai,4,11,0.363636363636364,"MtTargon,Shurima",FALSE,NEG,(10.9%-69.2%),0.000127786152240636
Akshan / Ashe,Azir / Irelia,2,11,0.181818181818182,"Freljord,Shurima",FALSE,NEG,(2.3%-51.8%),0.000149083844280741
Akshan / Azir / Renekton,Azir / Irelia,1,12,0.0833333333333333,Shurima,TRUE,NEG,(0.2%-38.5%),0.000163282305640812
Akshan / Azir / Renekton,Gangplank / Sejuani,0,12,0,Shurima,TRUE,NEG,(0.0%-26.5%),0.000163282305640812
Akshan / Braum,Akshan / Sivir (DE/SH),12,27,0.444444444444444,"Freljord,Shurima",FALSE,NEG,(25.5%-64.7%),0.000534808711229326
Akshan / Braum,Azir / Irelia,9,21,0.428571428571429,"Freljord,Shurima",FALSE,NEG,(21.8%-66.0%),0.000534808711229326
Akshan / Braum,Draven / Ezreal,10,22,0.454545454545455,"Freljord,Shurima",FALSE,NEG,(24.4%-67.8%),0.000534808711229326
Akshan / Braum,Draven / Jinx,5,15,0.333333333333333,"Freljord,Shurima",FALSE,NEG,(11.8%-61.6%),0.000534808711229326
Akshan / Braum,Gangplank / Miss Fortune (BW/NX),9,19,0.473684210526316,"Freljord,Shurima",FALSE,NEG,(24.4%-71.1%),0.000534808711229326
Akshan / Braum,Gangplank / Sejuani,18,30,0.6,"Freljord,Shurima",FALSE,POS,(40.6%-77.3%),0.000534808711229326
Akshan / Braum,Jarvan IV / Shen,6,11,0.545454545454545,"Freljord,Shurima",FALSE,POS,(23.4%-83.3%),0.000534808711229326
