playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Katarina,Aphelios/Fizz (BC/MT),33,61,0.540983606557377
Ahri/Katarina,Heimerdinger/Jayce (PZ/SI),25,54,0.462962962962963
Ahri/Katarina,Pantheon/Yuumi (DE/MT),49,102,0.480392156862745
Ahri/Katarina,"Pirates (BW,NX)",21,115,0.182608695652174
Ahri/Katarina,SunDisc,69,108,0.638888888888889
Ahri/Katarina,Taliyah/Ziggs,52,94,0.553191489361702
Ahri/Katarina,Tri-Beam (NX/PZ),21,81,0.259259259259259
Ahri/Katarina,Trundle/Tryndamere (FR/SI),44,95,0.463157894736842
Ahri/Katarina,Viego (SI/SH),65,109,0.596330275229358
Ahri/Kennen (IO/SH),Pantheon/Yuumi (DE/MT),28,53,0.528301886792453
Ahri/Kennen (IO/SH),"Pirates (BW,NX)",17,60,0.283333333333333
Ahri/Kennen (IO/SH),SunDisc,51,82,0.621951219512195
Ahri/Kennen (IO/SH),Tri-Beam (NX/PZ),22,55,0.4
Ahri/Kennen (IO/SH),Trundle/Tryndamere (FR/SI),37,92,0.402173913043478
Ahri/Kennen (IO/SH),Viego (SI/SH),34,61,0.557377049180328
Akshan/Ekko,Pantheon/Yuumi (DE/MT),11,52,0.211538461538462
Akshan/Ekko,SunDisc,23,66,0.348484848484849
Akshan/Ekko,Tri-Beam (NX/PZ),23,54,0.425925925925926
Akshan/Ekko,Viego (SI/SH),25,59,0.423728813559322
Akshan/Lee Sin,Akshan/Udyr,33,50,0.66
Akshan/Lee Sin,Aphelios/Fizz (BC/MT),65,120,0.541666666666667
Akshan/Lee Sin,Azir/Irelia,22,56,0.392857142857143
Akshan/Lee Sin,Draven/Sion (NX/PZ),34,71,0.47887323943662
Akshan/Lee Sin,Heimerdinger/Jayce (PZ/SI),36,77,0.467532467532468
Akshan/Lee Sin,Jayce/Lux,34,69,0.492753623188406
Akshan/Lee Sin,Miss Fortune/Quinn,33,80,0.4125
Akshan/Lee Sin,Pantheon/Yuumi (DE/MT),86,160,0.5375
Akshan/Lee Sin,"Pirates (BW,NX)",72,168,0.428571428571429
Akshan/Lee Sin,Pyke/Rek'Sai,27,54,0.5
Akshan/Lee Sin,SunDisc,67,163,0.411042944785276
Akshan/Lee Sin,Taliyah/Ziggs,46,145,0.317241379310345
Akshan/Lee Sin,Tri-Beam (NX/PZ),66,126,0.523809523809524
Akshan/Lee Sin,Trundle/Tryndamere (FR/SI),82,142,0.577464788732394
Akshan/Lee Sin,Viego (SI/SH),58,170,0.341176470588235
Akshan/Sivir (DE/SH),Akshan/Sivir (DE/SH),34,68,0.5
Akshan/Sivir (DE/SH),Akshan/Udyr,75,139,0.539568345323741
Akshan/Sivir (DE/SH),Aphelios/Fizz (BC/MT),143,268,0.533582089552239
Akshan/Sivir (DE/SH),Aphelios/Viktor,46,64,0.71875
Akshan/Sivir (DE/SH),Aurelion Sol/Zoe (FR/MT),37,67,0.552238805970149
Akshan/Sivir (DE/SH),Azir/Irelia,90,136,0.661764705882353
Akshan/Sivir (DE/SH),Caitlyn/Teemo (BC/PZ),65,89,0.730337078651685
Akshan/Sivir (DE/SH),Darius/Gnar (FR/NX),34,76,0.447368421052632
Akshan/Sivir (DE/SH),Diana/Nocturne,42,61,0.688524590163934
Akshan/Sivir (DE/SH),Draven/Rumble/Sion (NX/PZ),32,63,0.507936507936508
Akshan/Sivir (DE/SH),Draven/Sion (NX/PZ),86,182,0.472527472527473
Akshan/Sivir (DE/SH),Ekko/Zilean,50,106,0.471698113207547
Akshan/Sivir (DE/SH),Ezreal/Kennen (IO/PZ),58,141,0.411347517730496
Akshan/Sivir (DE/SH),Gangplank/Sejuani,26,52,0.5
Akshan/Sivir (DE/SH),Garen/Jarvan IV,33,59,0.559322033898305
Akshan/Sivir (DE/SH),Heimerdinger/Jayce (PZ/SI),100,195,0.512820512820513
Akshan/Sivir (DE/SH),Jayce/Lux,78,174,0.448275862068966
Akshan/Sivir (DE/SH),Karma/Viktor,53,79,0.670886075949367
Akshan/Sivir (DE/SH),Kindred/Viego (IO/SI),35,72,0.486111111111111
Akshan/Sivir (DE/SH),Malphite/Taliyah,42,91,0.461538461538462
Akshan/Sivir (DE/SH),Maokai/Nautilus,27,50,0.54
Akshan/Sivir (DE/SH),Miss Fortune/Quinn,106,173,0.61271676300578
Akshan/Sivir (DE/SH),Nasus/Thresh,28,50,0.56
Akshan/Sivir (DE/SH),Pantheon/Yuumi (DE/MT),200,426,0.469483568075117
Akshan/Sivir (DE/SH),"Pirates (BW,NX)",224,456,0.491228070175439
Akshan/Sivir (DE/SH),Pyke/Rek'Sai,56,107,0.523364485981308
Akshan/Sivir (DE/SH),Senna/Veigar,71,106,0.669811320754717
Akshan/Sivir (DE/SH),Sentinel Control,73,114,0.640350877192982
Akshan/Sivir (DE/SH),SunDisc,178,447,0.398210290827741
Akshan/Sivir (DE/SH),Taliyah/Ziggs,135,375,0.36
Akshan/Sivir (DE/SH),Tri-Beam (NX/PZ),186,412,0.451456310679612
Akshan/Sivir (DE/SH),Trundle/Tryndamere (FR/SI),243,438,0.554794520547945
Akshan/Sivir (DE/SH),Viego (SI/SH),215,482,0.446058091286307
Akshan/Sivir (DE/SH),Viktor - Shellfolk,57,93,0.612903225806452
Akshan/Sivir/Udyr,"Pirates (BW,NX)",18,55,0.327272727272727
Akshan/Sivir/Udyr,SunDisc,28,68,0.411764705882353
Akshan/Sivir/Udyr,Tri-Beam (NX/PZ),21,56,0.375
