archetype_1,archetype_2,mu_win,mu_n,mu_wr
Annie/Jhin (RU/NX),Morgana/Seraphine (MT/PZ),7,23,0.304347826086957
Caitlyn/Teemo (FR/PZ),Gwen/Zed (IO/SI),7,23,0.304347826086957
Miss Fortune/Quinn (BW/DE),Garen (RU/DE),7,23,0.304347826086957
Morgana/Seraphine (MT/PZ),Annie/Jhin (RU/NX),16,23,0.695652173913044
Gwen/Zed (IO/SI),Caitlyn/Teemo (FR/PZ),16,23,0.695652173913044
Garen (RU/DE),Miss Fortune/Quinn (BW/DE),16,23,0.695652173913044
Elder Dragon (RU/FR),Annie/Jhin (RU/NX),1,8,0.125
Mordekaiser/Sion (NX/SI),Teemo/Yuumi (BC/PZ),1,8,0.125
Mordekaiser/Morgana (DE/SI),Seraphine/Sett (IO/PZ),1,8,0.125
Jarvan IV/Shen (DE/IO),Gnar/Norra (RU/BC),1,8,0.125
The Poro King/Yuumi (MT/RU),Darius/Gnar (FR/NX),1,8,0.125
Annie/Jhin (RU/NX),Elder Dragon (RU/FR),7,8,0.875
Teemo/Yuumi (BC/PZ),Mordekaiser/Sion (NX/SI),7,8,0.875
Seraphine/Sett (IO/PZ),Mordekaiser/Morgana (DE/SI),7,8,0.875
Gnar/Norra (RU/BC),Jarvan IV/Shen (DE/IO),7,8,0.875
Darius/Gnar (FR/NX),The Poro King/Yuumi (MT/RU),7,8,0.875
Morgana/Riven (MT/NX),Mordekaiser/Sion (NX/SI),60,93,0.645161290322581
Mordekaiser/Sion (NX/SI),Morgana/Riven (MT/NX),33,93,0.354838709677419
Jinx (BC/PZ),Morgana/Riven (MT/NX),66,154,0.428571428571429
Morgana/Riven (MT/NX),Jinx (BC/PZ),88,154,0.571428571428571
Morgana/Riven (MT/NX),Elder Dragon (RU/FR),29,43,0.674418604651163
Elder Dragon (RU/FR),Morgana/Riven (MT/NX),14,43,0.325581395348837
Diana/Morgana (MT/NX),Morgana/Riven (MT/NX),6,13,0.461538461538462
Maokai/Mordekaiser (NX/SI),Elder Dragon/Volibear (RU/FR),6,13,0.461538461538462
Janna/Seraphine (RU/PZ),Gnar/Norra (RU/BC),6,13,0.461538461538462
Morgana/Riven (MT/NX),Diana/Morgana (MT/NX),7,13,0.538461538461538
Elder Dragon/Volibear (RU/FR),Maokai/Mordekaiser (NX/SI),7,13,0.538461538461538
Gnar/Norra (RU/BC),Janna/Seraphine (RU/PZ),7,13,0.538461538461538
Ahri/Morgana (IO/MT),Diana/Morgana (MT/NX),1,1,1
Diana/Morgana (MT/NX),Miss Fortune/Vayne (BW/DE),1,1,1
Elder Dragon/Volibear (RU/FR),Malphite/Morgana (MT/SI),1,1,1
Morgana/Riven (MT/NX),Ahri/Kennen (IO/MT),1,1,1
Kalista/Mordekaiser/Senna (NX/SI),Ekko/Jinx (PZ/SH),1,1,1
Kalista/Mordekaiser/Senna (NX/SI),Annie/Jhin (RU/NX),1,1,1
Championpile (RU/FR),Kalista/Mordekaiser/Senna (NX/SI),1,1,1
Malphite/Morgana (MT/SI),Lucian/Shyvana (DE/SI),1,1,1
Diana/Morgana (MT/NX),Championpile (RU/FR),1,1,1
Diana/Morgana (MT/NX),Kalista/Mordekaiser/Senna (NX/SI),1,1,1
Mordekaiser/Sion (NX/SI),Championless (MT/NX),1,1,1
Championless (MT/NX),Diana/Morgana (MT/NX),1,1,1
Miss Fortune/Quinn (BW/DE),Diana/Morgana (MT/NX),1,1,1
Caitlyn/Teemo (BC/PZ),Jinx/Kennen (BC/PZ),1,1,1
Ekko/Jinx (PZ/SH),Jinx/Kennen (BC/PZ),1,1,1
Volibear (RU/FR),Garen/Shyvana (RU/DE),1,1,1
LeBlanc/Mordekaiser (NX/SI),Garen/Neeko (DE/RU),1,1,1
Annie/Jhin (RU/NX),Galio/Garen/Jarvan IV (DE/FR),1,1,1
Gwen/Zed (IO/SI),Master Yi/Zed (DE/IO),1,1,1
Pyke/Rek'Sai (BW/SH),Garen/Neeko (DE/RU),1,1,1
Garen/Shyvana (RU/DE),Ekko/Jinx (PZ/SH),1,1,1
Galio/Shyvana (RU/DE),Evelynn/Mordekaiser (RU/SI),1,1,1
Diana/Nocturne (MT/SI),Jayce/Morgana (MT/PZ),1,1,1
Morgana/Riven (MT/NX),The Poro King (RU/SI),1,1,1
Mordekaiser/Viego (NX/SI),Diana (MT/NX),1,1,1
Morgana/Pantheon (DE/MT),Kalista/Mordekaiser/Senna (NX/SI),1,1,1
Kalista/Mordekaiser (RU/SI),Elder Dragon/Volibear (RU/FR),1,1,1
Diana/Nocturne (MT/SI),Elder Dragon/Volibear (RU/FR),1,1,1
Miss Fortune/Quinn (BW/DE),Ekko/Jinx (PZ/SH),1,1,1
Miss Fortune/Quinn (BW/DE),Darius (FR/NX),1,1,1
Morgana/Riven (MT/NX),Azir/Miss Fortune (BW/SH),1,1,1
Garen/Shyvana (RU/DE),Garen/Jarvan IV (RU/DE),1,1,1
Garen/Shyvana (RU/DE),Gwen/Riven (NX/SI),1,1,1
Nidalee (BC/SH),Teemo (BC/PZ),1,1,1
Garen/Shyvana (RU/DE),Morgana/Vayne (DE/MT),1,1,1
Nidalee (BC/SH),Galio/Jarvan IV (DE/FR),1,1,1
Garen/Shyvana (RU/DE),Lissandra (RU/FR),1,1,1
Garen/Shyvana (RU/DE),LeBlanc (NX/SI),1,1,1
Mordekaiser/Viego (NX/SI),Nidalee (BC/SH),1,1,1
Nidalee (BC/SH),Illaoi/Vayne (BW/DE),1,1,1
Elder Dragon (RU/FR),Tryndamere/Volibear (FR/SI),1,1,1
Teemo/Tristana (BC/NX),Nidalee (BC/SH),1,1,1
LeBlanc (NX/SI),Leona (MT/NX),1,1,1
Jinx (NX/PZ),Jack/Sett (BW/IO),1,1,1
Riven/Varus (NX/RU),Gwen/Zed (IO/SI),1,1,1
Gwen/Zed (IO/SI),Galio (DE/MT),1,1,1
Diana/Morgana (MT/NX),LeBlanc/Mordekaiser (NX/SI),1,1,1
Nidalee (BC/SH),Diana/Morgana (MT/NX),1,1,1
Jarvan IV/Shen (DE/IO),Miss Fortune/Quinn (BW/DE),1,1,1
Kennen/Morgana (BC/MT),Elder Dragon/Lissandra (RU/FR),1,1,1
Diana/Morgana (MT/NX),Caitlyn/Teemo (FR/PZ),1,1,1
Caitlyn/Teemo (FR/PZ),Jax/Lucian (DE/RU),1,1,1
Gnar/Neeko (FR/RU),Elder Dragon/Viego (RU/SI),1,1,1
Evelynn/Kai'Sa (RU/SH),Jinx (BC/PZ),1,1,1
Kennen/Morgana (BC/DE),Akshan/Riven (NX/SH),1,1,1
Karma/Sett (IO/MT),Gwen/Riven (NX/SI),1,1,1
Jarvan IV/Shen (DE/IO),Morgana/Viego (MT/SI),1,1,1
Garen/Jarvan IV (DE/SH),Maokai/Mordekaiser (BW/SI),1,1,1
Garen/Jarvan IV (DE/SH),Lissandra (RU/FR),1,1,1
Kalista/Mordekaiser (NX/SI),Garen/Jarvan IV (DE/SH),1,1,1
Championless (BC/IO),Elder Dragon/Lissandra (RU/FR),1,1,1
Akshan/Mordekaiser (SI/SH),Elder Dragon (RU/FR),1,1,1
Mordekaiser/Sion (NX/SI),Bard/Lucian (RU/DE),1,1,1
Gwen/Zed (IO/SI),Garen/Jarvan IV (DE/FR),1,1,1
Gwen/Zed (IO/SI),Bard/Lucian (RU/DE),1,1,1
Volibear (RU/FR),Akshan/Mordekaiser (SI/SH),1,1,1
Morgana/Riven (MT/NX),Fizz/Yuumi (BC/MT),1,1,1
Darius/Gnar (FR/NX),Norra (BC/FR),1,1,1
Championless (BC/IO),Ashe/Mordekaiser (FR/NX),1,1,1
Jarvan IV/Shen (DE/IO),Darius/Morgana (MT/NX),1,1,1
Teemo (BC/PZ),Pyke/Rek'Sai (BW/SH),1,1,1
Aurelion Sol/Morgana (IO/MT),Mordekaiser/Sion (NX/SI),1,1,1
Jarvan IV/Shen (DE/IO),Janna/Nilah (BW/PZ),1,1,1
Mordekaiser/Senna (SI/SH),Mordekaiser/Senna/Viego (SI/SH),1,1,1
Mordekaiser/Senna/Viego (SI/SH),Darius (FR/NX),1,1,1
Galio/Udyr (DE/FR),Championless (BC/IO),1,1,1
Leona (MT/NX),Championless (BC/IO),1,1,1
Senna/Veigar (BC/SI),Aurelion Sol/Morgana (IO/MT),1,1,1
Fizz/Samira (BW/NX),Volibear (RU/FR),1,1,1
Karma/Senna (IO/SI),Annie/Jhin (RU/NX),1,1,1
Teemo/Tristana (BC/NX),Morgana (MT/NX),1,1,1
Mordekaiser (NX/SI),LeBlanc (NX/SI),1,1,1
Kayn/Morgana (DE/RU),Mordekaiser/Viego (IO/SI),1,1,1
Akshan/Mordekaiser (SI/SH),Mordekaiser/Nasus (SI/SH),1,1,1
Garen/Neeko (DE/RU),Championless (BC/IO),1,1,1
Garen/Neeko (DE/RU),Sett/Volibear (FR/IO),1,1,1
Garen/Neeko (DE/RU),Annie/Jhin (RU/NX),1,1,1
Senna/Veigar (BC/SI),Ahri/Zed (IO/MT),1,1,1
Teemo/Tristana (BC/NX),Ahri/Zed (IO/MT),1,1,1
Teemo/Tristana (BC/NX),Fizz/Samira (BW/NX),1,1,1
Teemo/Tristana (BC/NX),LeBlanc (NX/SI),1,1,1
Garen/Neeko (DE/RU),Gwen/Lucian (DE/SI),1,1,1
Fizz/Samira (BW/NX),Gnar/Neeko (FR/RU),1,1,1
Elder Dragon/Volibear (RU/FR),Kalista/Viego (IO/SI),1,1,1
Morgana/Riven (MT/NX),Neeko/Norra (BC/RU),1,1,1
Caitlyn/Teemo (FR/PZ),Garen/Neeko (DE/RU),1,1,1
Annie/Jhin (RU/NX),Annie/Miss Fortune (BW/NX),1,1,1
Akshan/Mordekaiser (SI/SH),Garen/Neeko (DE/RU),1,1,1
Volibear (RU/FR),Elder Dragon/Yuumi (RU/MT),1,1,1
Neeko/Norra (BC/RU),Championless (BC/IO),1,1,1
Gwen/Zed (IO/SI),Neeko/Norra (BC/RU),1,1,1
Fizz/Samira (BW/NX),Akshan/Mordekaiser (SI/SH),1,1,1
Akshan/Mordekaiser (SI/SH),LeBlanc/Mordekaiser (FR/NX),1,1,1
Akshan/Mordekaiser (SI/SH),Galio (DE/FR),1,1,1
Akshan/Mordekaiser (SI/SH),Jinx (NX/PZ),1,1,1
Gwen/Zed (IO/SI),Akshan/Udyr (FR/SH),1,1,1
Kalista/Mordekaiser (NX/SI),Elder Dragon/Neeko (RU/RU),1,1,1
Ashe/LeBlanc (FR/NX),Janna/Ryze (PZ/RU),1,1,1
Gwen/Zed (IO/SI),Janna/Ryze (PZ/RU),1,1,1
Garen (RU/DE),Janna/Ryze (PZ/RU),1,1,1
Kennen/Morgana (BC/DE),Morgana/Riven (MT/NX),1,1,1
Darius/Gnar (FR/NX),Riven (FR/NX),1,1,1
Mordekaiser/Senna (NX/SI),Mordekaiser/Viego (RU/SI),1,1,1
Janna/Seraphine (RU/PZ),Janna/Ryze (PZ/RU),1,1,1
Jinx (BC/PZ),Janna/Ryze (PZ/RU),1,1,1
Gwen/Zed (IO/SI),Riven/Vayne (DE/NX),1,1,1
Seraphine (PZ/SI),Darius/Gnar (FR/NX),1,1,1
