archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Akshan/Lee Sin (IO/SH),Pyke/Rek'Sai (BW/SH),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00205842964138684,0.0157730271315907
Ryze (IO/RU),Azir/Evelynn (RU/SH),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.0393333664004762,0.000446406428252567
Kalista/Nocturne (NX/SI),Jarvan IV/Shen (DE/IO),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.0198898864143644,0.00057040821387828
Kayle/Zoe (MT/PZ),Garen/Jarvan IV (DE),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.000198402857001141,0.0382173503298448
Norra/Swain (BC/NX),Evelynn/Kai'Sa (RU/SH),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00367045285452111,0.0114577649918159
Ashe/Kindred (FR/SI),Annie/Jhin (RU/NX),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00101681464213085,0.0129209860621993
Akshan (FR/SH),Ryze (IO/RU),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.000396805714002282,0.0393333664004762
Twisted Fate (BW/PZ),Taliyah/Ziggs (BC/SH),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00111601607063142,0.0153762214175884
Evelynn/Renekton (RU/SH),Evelynn/Lucian (DE/RU),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00461286642527653,0.00793611428004563
Garen/Jarvan IV (DE),Fiora/Garen (DE/MT),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.0382173503298448,0.000223203214126283
Azir/Xerath (SH),Darius (FR/NX),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.0092009324934279,0.0070433014235405
Evelynn/Lucian (DE/RU),Maokai/Nautilus (BW/SI),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.00793611428004563,0.00967213927880561
Norra/Veigar (BC/SI),Nasus/Thresh (SI/SH),0,2,0,(0.0% - 84.2%),FALSE,NEG,No,0.0141858042755816,0.00357125142602053
