archetype_1,archetype_2,mu_win,mu_n,mu_wr
Evelynn (RU/MT),Evelynn (RU/MT),628,1256,0.5
Evelynn (RU/MT),Karma/Sett (IO/PZ),365,765,0.477124183006536
Karma/Sett (IO/PZ),Evelynn (RU/MT),400,765,0.522875816993464
Evelynn (RU/MT),Evelynn/Kayle (RU/MT),569,1128,0.504432624113475
Evelynn/Kayle (RU/MT),Evelynn (RU/MT),559,1128,0.495567375886525
Annie/Jhin (RU/NX),Jinx/Samira (NX/PZ),138,435,0.317241379310345
Jinx/Samira (NX/PZ),Annie/Jhin (RU/NX),297,435,0.682758620689655
Evelynn (RU/MT),Evelynn/Viego (RU/SI),86,141,0.609929078014184
Evelynn/Viego (RU/SI),Evelynn (RU/MT),55,141,0.390070921985816
Evelynn/Viego (RU/SI),Jinx/Samira (NX/PZ),29,66,0.439393939393939
Jinx/Samira (NX/PZ),Evelynn/Viego (RU/SI),37,66,0.560606060606061
Evelynn/Kayle (RU/MT),Jinx/Samira (NX/PZ),229,484,0.473140495867769
Jinx/Samira (NX/PZ),Evelynn/Kayle (RU/MT),255,484,0.526859504132231
Evelynn/Viego (RU/SI),Evelynn/Lucian (DE/RU),11,21,0.523809523809524
Neeko/Teemo (BC/RU),Karma/Sett (IO/PZ),11,21,0.523809523809524
Neeko/Norra (BC/RU),Pyke/Rek'Sai (BW/SH),11,21,0.523809523809524
Ashe/LeBlanc (FR/NX),Karma/Sett (IO/SI),11,21,0.523809523809524
Gwen/Nidalee (SI/SH),Gnar/Nidalee (BC/SH),11,21,0.523809523809524
Garen/Neeko (DE/RU),Gwen/Nidalee (SI/SH),11,21,0.523809523809524
Jinx/Teemo (BW/PZ),Darius/Gwen (NX/SI),11,21,0.523809523809524
Jinx/Samira (NX/PZ),Samira/Sion (BC/NX),11,21,0.523809523809524
Norra/Viego (BC/SI),Gnar/Jhin (BC/RU),11,21,0.523809523809524
Illaoi/Swain (BW/NX),Evelynn/Kai'Sa (RU/SH),11,21,0.523809523809524
Aatrox/Evelynn (RU/RU),Fizz (BW/MT),11,21,0.523809523809524
Jax/Ornn (FR/RU),Jhin/Norra (BC/RU),11,21,0.523809523809524
Fizz (BW/MT),Pantheon/Samira (MT/NX),11,21,0.523809523809524
Evelynn/Lucian (DE/RU),Evelynn/Viego (RU/SI),10,21,0.476190476190476
Karma/Sett (IO/PZ),Neeko/Teemo (BC/RU),10,21,0.476190476190476
Pyke/Rek'Sai (BW/SH),Neeko/Norra (BC/RU),10,21,0.476190476190476
Karma/Sett (IO/SI),Ashe/LeBlanc (FR/NX),10,21,0.476190476190476
Gnar/Nidalee (BC/SH),Gwen/Nidalee (SI/SH),10,21,0.476190476190476
Gwen/Nidalee (SI/SH),Garen/Neeko (DE/RU),10,21,0.476190476190476
Darius/Gwen (NX/SI),Jinx/Teemo (BW/PZ),10,21,0.476190476190476
Samira/Sion (BC/NX),Jinx/Samira (NX/PZ),10,21,0.476190476190476
Gnar/Jhin (BC/RU),Norra/Viego (BC/SI),10,21,0.476190476190476
Evelynn/Kai'Sa (RU/SH),Illaoi/Swain (BW/NX),10,21,0.476190476190476
Fizz (BW/MT),Aatrox/Evelynn (RU/RU),10,21,0.476190476190476
Jhin/Norra (BC/RU),Jax/Ornn (FR/RU),10,21,0.476190476190476
Pantheon/Samira (MT/NX),Fizz (BW/MT),10,21,0.476190476190476
Evelynn/Viego (RU/SI),Aatrox (RU/BW),7,13,0.538461538461538
Aatrox/Evelynn (RU/RU),Garen/Neeko (DE/RU),7,13,0.538461538461538
Championpile (RU/BW),Neeko/Nidalee (RU/SH),7,13,0.538461538461538
Evelynn (RU/MT),Annie/Caitlyn (NX/PZ),7,13,0.538461538461538
Nidalee/Renekton (DE/SH),Evelynn/Kayle (RU/MT),7,13,0.538461538461538
Diana/Evelynn (RU/MT),Neeko/Norra (BC/RU),7,13,0.538461538461538
Ashe/LeBlanc (FR/NX),Maokai/Nautilus (BW/SI),7,13,0.538461538461538
Karma/Sett (IO/MT),Ryze (PZ/RU),7,13,0.538461538461538
Heimerdinger/Jayce (PZ/SI),Samira/Seraphine (NX/PZ),7,13,0.538461538461538
Norra/Teemo (BC/PZ),Karma/Sett (IO/SI),7,13,0.538461538461538
Nidalee (BC/SH),Evelynn (RU/MT),7,13,0.538461538461538
Nasus (SI/SH),Darius/Gwen (NX/SI),7,13,0.538461538461538
Bard/Norra (BC/RU),Karma/Sett (IO/PZ),7,13,0.538461538461538
Pantheon/Varus (MT/RU),Jinx/Samira (NX/PZ),7,13,0.538461538461538
Garen/Kai'Sa (DE/SH),Karma/Sett (FR/IO),7,13,0.538461538461538
Garen/Neeko (DE/RU),Bard/Norra (BC/RU),7,13,0.538461538461538
Fizz (BW/MT),Kai'Sa/Nidalee (DE/SH),7,13,0.538461538461538
Neeko/Nidalee (RU/SH),Pyke/Rek'Sai (BW/SH),7,13,0.538461538461538
Norra/Viego (BC/SI),Heimerdinger/Jayce (PZ/SI),7,13,0.538461538461538
The Poro King (DE/RU),Caitlyn/Teemo (BC/PZ),7,13,0.538461538461538
Annie/Jhin (RU/NX),Kalista/Viego (IO/SI),7,13,0.538461538461538
Jinx (BC/PZ),The Poro King (BW/RU),7,13,0.538461538461538
Samira/Sion (BC/NX),Fizz/Samira (BW/NX),7,13,0.538461538461538
Evelynn/Viego (RU/SI),Teemo (FR/PZ),7,13,0.538461538461538
Gnar/Norra (BC/RU),Aurelion Sol (FR/MT),7,13,0.538461538461538
Ashe/LeBlanc (FR/NX),Bard/Garen (RU/DE),7,13,0.538461538461538
Gnar/Jhin (BC/RU),Fizz (BC/PZ),7,13,0.538461538461538
Gnar/Jhin (BC/RU),Neeko/Nidalee (RU/SH),7,13,0.538461538461538
The Poro King (DE/RU),Gnar/Jhin (BC/RU),7,13,0.538461538461538
Neeko/Norra (BC/RU),Garen/Neeko (DE/RU),7,13,0.538461538461538
Darius/Gwen (NX/SI),Jhin/Norra (BC/RU),7,13,0.538461538461538
Heimerdinger/Jayce (FR/PZ),Pyke/Rek'Sai (BW/SH),7,13,0.538461538461538
Jarvan IV/Shen (DE/IO),Jinx (BC/PZ),7,13,0.538461538461538
Evelynn/Kayle (RU/MT),Garen/Jarvan IV (DE),7,13,0.538461538461538
Gnar/Norra (BC/NX),Jhin/Norra (BC/RU),7,13,0.538461538461538
Gwen/Riven (NX/SI),Caitlyn/Teemo (BC/PZ),7,13,0.538461538461538
Aatrox (RU/BW),Evelynn/Viego (RU/SI),6,13,0.461538461538462
Garen/Neeko (DE/RU),Aatrox/Evelynn (RU/RU),6,13,0.461538461538462
Neeko/Nidalee (RU/SH),Championpile (RU/BW),6,13,0.461538461538462
Annie/Caitlyn (NX/PZ),Evelynn (RU/MT),6,13,0.461538461538462
Evelynn/Kayle (RU/MT),Nidalee/Renekton (DE/SH),6,13,0.461538461538462
Neeko/Norra (BC/RU),Diana/Evelynn (RU/MT),6,13,0.461538461538462
Maokai/Nautilus (BW/SI),Ashe/LeBlanc (FR/NX),6,13,0.461538461538462
Ryze (PZ/RU),Karma/Sett (IO/MT),6,13,0.461538461538462
Samira/Seraphine (NX/PZ),Heimerdinger/Jayce (PZ/SI),6,13,0.461538461538462
Karma/Sett (IO/SI),Norra/Teemo (BC/PZ),6,13,0.461538461538462
Evelynn (RU/MT),Nidalee (BC/SH),6,13,0.461538461538462
Darius/Gwen (NX/SI),Nasus (SI/SH),6,13,0.461538461538462
Karma/Sett (IO/PZ),Bard/Norra (BC/RU),6,13,0.461538461538462
Jinx/Samira (NX/PZ),Pantheon/Varus (MT/RU),6,13,0.461538461538462
Karma/Sett (FR/IO),Garen/Kai'Sa (DE/SH),6,13,0.461538461538462
Bard/Norra (BC/RU),Garen/Neeko (DE/RU),6,13,0.461538461538462
Kai'Sa/Nidalee (DE/SH),Fizz (BW/MT),6,13,0.461538461538462
Pyke/Rek'Sai (BW/SH),Neeko/Nidalee (RU/SH),6,13,0.461538461538462
Heimerdinger/Jayce (PZ/SI),Norra/Viego (BC/SI),6,13,0.461538461538462
Caitlyn/Teemo (BC/PZ),The Poro King (DE/RU),6,13,0.461538461538462
Kalista/Viego (IO/SI),Annie/Jhin (RU/NX),6,13,0.461538461538462
The Poro King (BW/RU),Jinx (BC/PZ),6,13,0.461538461538462
Fizz/Samira (BW/NX),Samira/Sion (BC/NX),6,13,0.461538461538462
Teemo (FR/PZ),Evelynn/Viego (RU/SI),6,13,0.461538461538462
Aurelion Sol (FR/MT),Gnar/Norra (BC/RU),6,13,0.461538461538462
Bard/Garen (RU/DE),Ashe/LeBlanc (FR/NX),6,13,0.461538461538462
Fizz (BC/PZ),Gnar/Jhin (BC/RU),6,13,0.461538461538462
Neeko/Nidalee (RU/SH),Gnar/Jhin (BC/RU),6,13,0.461538461538462
Gnar/Jhin (BC/RU),The Poro King (DE/RU),6,13,0.461538461538462
Garen/Neeko (DE/RU),Neeko/Norra (BC/RU),6,13,0.461538461538462
Jhin/Norra (BC/RU),Darius/Gwen (NX/SI),6,13,0.461538461538462
Pyke/Rek'Sai (BW/SH),Heimerdinger/Jayce (FR/PZ),6,13,0.461538461538462
Jinx (BC/PZ),Jarvan IV/Shen (DE/IO),6,13,0.461538461538462
Garen/Jarvan IV (DE),Evelynn/Kayle (RU/MT),6,13,0.461538461538462
Jhin/Norra (BC/RU),Gnar/Norra (BC/NX),6,13,0.461538461538462
Caitlyn/Teemo (BC/PZ),Gwen/Riven (NX/SI),6,13,0.461538461538462
Aatrox (RU/BW),Evelynn (RU/MT),44,101,0.435643564356436
Evelynn (RU/MT),Aatrox (RU/BW),57,101,0.564356435643564
Gnar/Norra (BC/PZ),Evelynn (RU/MT),25,47,0.531914893617021
Aatrox (RU/BW),Karma/Sett (IO/PZ),25,47,0.531914893617021
Ekko/Nidalee (PZ/SH),Gnar/Nidalee (BC/SH),25,47,0.531914893617021
Evelynn (RU/MT),Gnar/Norra (BC/PZ),22,47,0.468085106382979
Karma/Sett (IO/PZ),Aatrox (RU/BW),22,47,0.468085106382979
Gnar/Nidalee (BC/SH),Ekko/Nidalee (PZ/SH),22,47,0.468085106382979
Gnar/Sejuani (BC/FR),Evelynn (RU/MT),0,1,0
Karma/Sett (FR/IO),Azir/Nasus (SI/SH),0,1,0
Pantheon/Yuumi (DE/MT),Azir/Nasus (SI/SH),0,1,0
Azir/Nasus (SI/SH),Evelynn/Lucian (DE/RU),0,1,0
The Poro King (RU),Azir/Nasus (SI/SH),0,1,0
Neeko/Norra (BC/RU),Azir/Nasus (SI/SH),0,1,0
Kai'Sa/Nasus (SI/SH),Azir/Nasus (SI/SH),0,1,0
Fizz/Samira (BW/NX),Kayle/Zed (IO/MT),0,1,0
Illaoi/Vayne (BW/DE),Aatrox (RU/BW),0,1,0
Azir/Neeko (RU/SH),Illaoi/Vayne (BW/DE),0,1,0
The Poro King/Vayne (DE/RU),Jinx/Samira (NX/PZ),0,1,0
Aatrox/Evelynn (RU/RU),Aurelion Sol/Yuumi (DE/MT),0,1,0
Master Yi/Nidalee (IO/SH),Aatrox/Evelynn (RU/RU),0,1,0
Diana/Gwen (MT/SI),Aatrox/Evelynn (RU/RU),0,1,0
Bard/Kalista (RU/SI),Aatrox/Evelynn (RU/RU),0,1,0
Championless (BC/SH),Evelynn/Kayle (RU/MT),0,1,0
Kayle/Kayn (RU/MT),Jinx/Samira (NX/PZ),0,1,0
Neeko (RU/SH),Jinx (BC/PZ),0,1,0
The Poro King (BC/RU),Jinx (BC/PZ),0,1,0
Heimerdinger/Jayce (FR/PZ),Fizz/Nami (BW/MT),0,1,0
