archetype_1,archetype_2,mu_win,mu_n,mu_wr
Ashe/LeBlanc (FR/NX),Neeko/Poppy (DE/RU),20,40,0.5
Neeko/Poppy (DE/RU),Ashe/LeBlanc (FR/NX),20,40,0.5
Annie/Jhin (RU/NX),Annie/Jhin (RU/NX),20,40,0.5
Ziggs (BC/SH),Aurelion Sol/Leona (MT/SH),0,1,0
Jayce/Lux (DE/PZ),Aatrox/Morgana/Vayne (RU/DE),0,1,0
Jinx/Kennen (BC/PZ),Championless (NX/PZ),0,1,0
Aphelios/Kayle (BW/MT),Galio/Morgana (DE/FR),0,1,0
Galio/Morgana (DE/FR),Neeko/Poppy (DE/RU),0,1,0
Braum/Garen (DE/FR),Championless (IO/SI),0,1,0
Lee Sin (IO/SH),Poppy/Ziggs (BC/NX),0,1,0
Darius/Elise (NX/SI),Poppy/Ziggs (BC/NX),0,1,0
Braum/Garen (DE/FR),Akshan/Varus (SH/RU),0,1,0
Braum/Garen (DE/FR),Akshan/Lee Sin (IO/SH),0,1,0
Elise/Katarina (NX/SI),Ezreal/Karma (IO/PZ),0,1,0
Senna (BC/SI),Lillia (IO/MT),0,1,0
Sett (IO/SH),Aphelios/Kayle (BW/MT),0,1,0
Galio/Morgana (DE/MT),Sett (IO/PZ),0,1,0
Nasus/Thresh (SI/SH),Udyr/Vayne (DE/FR),0,1,0
Sett/Viktor (IO/PZ),Udyr/Vayne (DE/FR),0,1,0
Shyvana (DE/FR),Poppy/Ziggs (BC/NX),0,1,0
Bard/Mordekaiser (RU/SI),Elder Dragon/Galio/Morgana (RU/DE),0,1,0
Lux: Illuminated/Vex (BC/DE),Gangplank/Sejuani (BW/FR),0,1,0
Elder Dragon (RU/FR),Lux: Illuminated/Vex (BC/DE),0,1,0
Championless (NX/PZ),Katarina/Vladimir (MT/NX),0,1,0
Norra/Teemo (BC/PZ),Katarina/Vladimir (MT/NX),0,1,0
Aatrox/Morgana/Vayne (RU/DE),Championless (IO/SI),0,1,0
