playerDeck,opponentDeck,muWin,muGames,muWR,okCI,direction,CI,mirror,playrate,opponentPR
Aatrox (RU/DE),Aatrox/Kayn (RU/RU),15,25,0.6,FALSE,POS,(38.7% - 78.9%),No,0.00085530111113898,0.0594346484737515
Aatrox (RU/DE),Aatrox/Vayne (RU/DE),28,46,0.608695652173913,FALSE,POS,(45.4% - 74.9%),No,0.00085530111113898,0.125538639042865
Aatrox (RU/DE),Ezreal/Seraphine (BC/PZ),12,25,0.48,FALSE,NEG,(27.8% - 68.7%),No,0.00085530111113898,0.0842183149815646
Aatrox (RU/DE),Gwen/Katarina (NX/SI),10,25,0.4,FALSE,NEG,(21.1% - 61.3%),No,0.00085530111113898,0.0690085028468234
Aatrox (RU/DE),Hecarim/Zed (IO/SI),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.00085530111113898,0.0267626476711229
Aatrox (RU/RU),Aatrox/Vayne (RU/DE),7,19,0.368421052631579,FALSE,NEG,(16.3% - 61.6%),No,0.000341117158694725,0.125538639042865
Aatrox (RU/RU),Gwen/Katarina (NX/SI),5,10,0.5,FALSE,,(18.7% - 81.3%),No,0.000341117158694725,0.0690085028468234
Aatrox (RU/SH),Aatrox/Vayne (RU/DE),3,10,0.3,FALSE,NEG,(6.7% - 65.2%),No,0.000208181795379869,0.125538639042865
Aatrox/Akshan (RU/SH),Aatrox/Kayn (RU/RU),31,71,0.436619718309859,FALSE,NEG,(31.9% - 56.0%),No,0.00264616619428629,0.0594346484737515
Aatrox/Akshan (RU/SH),Aatrox/Vayne (RU/DE),43,115,0.373913043478261,TRUE,NEG,(28.5% - 46.9%),No,0.00264616619428629,0.125538639042865
Aatrox/Akshan (RU/SH),Akshan/Varus (SH/RU),4,11,0.363636363636364,FALSE,NEG,(10.9% - 69.2%),No,0.00264616619428629,0.0085680603978028
Aatrox/Akshan (RU/SH),Annie/Jhin (RU/NX),13,21,0.619047619047619,FALSE,POS,(38.4% - 81.9%),No,0.00264616619428629,0.0188241490882641
Aatrox/Akshan (RU/SH),Draven/Jinx (NX/PZ),12,38,0.315789473684211,TRUE,NEG,(17.5% - 48.7%),No,0.00264616619428629,0.0279063934385111
Aatrox/Akshan (RU/SH),Ezreal/Seraphine (BC/PZ),56,107,0.523364485981308,FALSE,POS,(42.5% - 62.1%),No,0.00264616619428629,0.0842183149815646
Aatrox/Akshan (RU/SH),Gangplank/Sejuani (BW/FR),9,19,0.473684210526316,FALSE,NEG,(24.4% - 71.1%),No,0.00264616619428629,0.0185357044320148
Aatrox/Akshan (RU/SH),Gwen/Katarina (NX/SI),30,64,0.46875,FALSE,NEG,(34.3% - 59.8%),No,0.00264616619428629,0.0690085028468234
Aatrox/Akshan (RU/SH),Hecarim/Zed (IO/SI),16,37,0.432432432432432,FALSE,NEG,(27.1% - 60.5%),No,0.00264616619428629,0.0267626476711229
Aatrox/Akshan (RU/SH),Jinx/Lulu (BC/PZ),7,21,0.333333333333333,FALSE,NEG,(14.6% - 57.0%),No,0.00264616619428629,0.016315934686097
Aatrox/Akshan (RU/SH),Maokai/Nautilus (BW/SI),5,10,0.5,FALSE,,(18.7% - 81.3%),No,0.00264616619428629,0.00849281396573779
Aatrox/Akshan (RU/SH),Master Yi/Ryze (IO/RU),9,14,0.642857142857143,FALSE,POS,(35.1% - 87.2%),No,0.00264616619428629,0.0128019263086609
Aatrox/Akshan (RU/SH),Pyke/Rek'Sai (BW/SH),5,20,0.25,TRUE,NEG,(8.7% - 49.1%),No,0.00264616619428629,0.0232285735784695
Aatrox/Akshan (RU/SH),Rumble/Vayne (DE/NX),7,20,0.35,FALSE,NEG,(15.4% - 59.2%),No,0.00264616619428629,0.0283077077428579
