playerDeck,opponentDeck,muWin,muGames,muWR,okCI,direction,CI,mirror,playrate,opponentPR
ASZ - Sivir Ionia,Aatrox/Vayne (RU/DE),5,25,0.2,TRUE,NEG,(6.8% - 40.7%),No,0.000181473232698177,0.123546151942589
ASZ - Sivir Ionia,Gwen/Katarina (NX/SI),1,10,0.1,TRUE,NEG,(0.3% - 44.5%),No,0.000181473232698177,0.0671667491544997
Aatrox (RU/DE),Aatrox/Kayn (RU/RU),16,30,0.533333333333333,FALSE,POS,(34.3% - 71.7%),No,0.000536170914790068,0.0444279468778355
Aatrox (RU/DE),Aatrox/Vayne (RU/DE),37,70,0.528571428571429,FALSE,POS,(40.6% - 64.9%),No,0.000536170914790068,0.123546151942589
Aatrox (RU/DE),Draven/Jinx (NX/PZ),3,14,0.214285714285714,FALSE,NEG,(4.7% - 50.8%),No,0.000536170914790068,0.0221397343891776
Aatrox (RU/DE),Ezreal/Seraphine (BC/PZ),17,37,0.45945945945946,FALSE,NEG,(29.5% - 63.1%),No,0.000536170914790068,0.0775334075723831
Aatrox (RU/DE),Gwen/Katarina (NX/SI),13,35,0.371428571428571,FALSE,NEG,(21.5% - 55.1%),No,0.000536170914790068,0.0671667491544997
Aatrox (RU/DE),Hecarim/Zed (IO/SI),9,16,0.5625,FALSE,POS,(29.9% - 80.2%),No,0.000536170914790068,0.0250082487833045
Aatrox (RU/DE),Pirates (BW/NX),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.000536170914790068,0.0135640930462757
Aatrox (RU/DE),Pyke/Rek'Sai (BW/SH),7,14,0.5,FALSE,,(23.0% - 77.0%),No,0.000536170914790068,0.0301152767466799
Aatrox (RU/DE),Rumble/Vayne (DE/NX),5,12,0.416666666666667,FALSE,NEG,(15.2% - 72.3%),No,0.000536170914790068,0.0306205147240782
Aatrox (RU/RU),Aatrox/Kayn (RU/RU),8,13,0.615384615384615,FALSE,POS,(31.6% - 86.1%),No,0.000260867772003629,0.0444279468778355
Aatrox (RU/RU),Aatrox/Vayne (RU/DE),13,30,0.433333333333333,FALSE,NEG,(25.5% - 62.6%),No,0.000260867772003629,0.123546151942589
Aatrox (RU/RU),Draven/Jinx (NX/PZ),6,11,0.545454545454545,FALSE,POS,(23.4% - 83.3%),No,0.000260867772003629,0.0221397343891776
Aatrox (RU/RU),Ezreal/Seraphine (BC/PZ),10,19,0.526315789473684,FALSE,POS,(28.9% - 75.6%),No,0.000260867772003629,0.0775334075723831
