playerDeck,opponentDeck,muWin,muGames,muWR,okCI,direction,CI,mirror,playrate,opponentPR
ASZ - Sivir Ionia,Gwen/Katarina (NX/SI),3,14,0.214285714285714,FALSE,NEG,(4.7% - 50.8%),No,0.0000978271900996791,0.0600570013402848
ASZ - Sivir Ionia,Jinx/Lulu (BC/PZ),4,11,0.363636363636364,FALSE,NEG,(10.9% - 69.2%),No,0.0000978271900996791,0.0513189930181728
Aatrox (RU/DE),Trundle/Tryndamere (FR/SI),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.0000680082070211673,0.048650978742727
Aatrox (RU/RU),Ekko/Jinx (PZ/SH),4,11,0.363636363636364,FALSE,NEG,(10.9% - 69.2%),No,0.000103581730693778,0.023945166552099
Aatrox (RU/RU),Gwen/Katarina (NX/SI),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.000103581730693778,0.0600570013402848
Aatrox (RU/RU),Jinx/Lulu (BC/PZ),3,10,0.3,FALSE,NEG,(6.7% - 65.2%),No,0.000103581730693778,0.0513189930181728
Aatrox (RU/RU),Trundle/Tryndamere (FR/SI),2,13,0.153846153846154,TRUE,NEG,(1.9% - 45.4%),No,0.000103581730693778,0.048650978742727
Aatrox (RU/SH),Aatrox/Kayn (RU/RU),10,15,0.666666666666667,FALSE,POS,(38.4% - 88.2%),No,0.000215533702251699,0.0378858027113303
Aatrox (RU/SH),Gwen/Katarina (NX/SI),11,23,0.478260869565217,FALSE,NEG,(26.8% - 69.4%),No,0.000215533702251699,0.0600570013402848
Aatrox (RU/SH),Jinx/Lulu (BC/PZ),2,12,0.166666666666667,TRUE,NEG,(2.1% - 48.4%),No,0.000215533702251699,0.0513189930181728
Aatrox (RU/SH),Katarina/Leona (MT/NX),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.000215533702251699,0.0297975343362974
Aatrox (RU/SH),SunDisc,10,20,0.5,FALSE,,(27.2% - 72.8%),No,0.000215533702251699,0.0301323439708632
Aatrox (RU/SH),Trundle/Tryndamere (FR/SI),5,19,0.263157894736842,FALSE,NEG,(9.1% - 51.2%),No,0.000215533702251699,0.048650978742727
Aatrox (RU/SI),Jinx/Lulu (BC/PZ),9,12,0.75,FALSE,POS,(42.8% - 94.5%),No,0.0000868412489654905,0.0513189930181728
Aatrox (RU/SI),Trundle/Tryndamere (FR/SI),5,12,0.416666666666667,FALSE,NEG,(15.2% - 72.3%),No,0.0000868412489654905,0.048650978742727
Aatrox/Akshan (RU/SH),Aatrox/Kayn (RU/RU),26,55,0.472727272727273,FALSE,NEG,(33.7% - 61.2%),No,0.000686359750859781,0.0378858027113303
Aatrox/Akshan (RU/SH),Aatrox/Vayne (RU/DE),14,28,0.5,FALSE,,(30.6% - 69.4%),No,0.000686359750859781,0.019694653613276
Aatrox/Akshan (RU/SH),Akshan/Varus (SH/RU),8,24,0.333333333333333,FALSE,NEG,(15.6% - 55.3%),No,0.000686359750859781,0.0173394770901276
Aatrox/Akshan (RU/SH),Aphelios/Leona (MT/SI),13,16,0.8125,TRUE,POS,(54.4% - 96.0%),No,0.000686359750859781,0.00949865396064103
Aatrox/Akshan (RU/SH),Darius (FR/NX),6,11,0.545454545454545,FALSE,POS,(23.4% - 83.3%),No,0.000686359750859781,0.00554528457249518
Aatrox/Akshan (RU/SH),Draven/Jinx (NX/PZ),6,13,0.461538461538462,FALSE,NEG,(19.2% - 74.9%),No,0.000686359750859781,0.0107573289305866
Aatrox/Akshan (RU/SH),Ekko/Jinx (PZ/SH),15,33,0.454545454545455,FALSE,NEG,(28.1% - 63.6%),No,0.000686359750859781,0.023945166552099
Aatrox/Akshan (RU/SH),Ezreal/Seraphine (BC/PZ),13,19,0.68421052631579,FALSE,POS,(43.4% - 87.4%),No,0.000686359750859781,0.0129728270593147
Aatrox/Akshan (RU/SH),Gangplank/Sejuani (BW/FR),17,56,0.303571428571429,TRUE,NEG,(18.8% - 44.1%),No,0.000686359750859781,0.0310201126425164
Aatrox/Akshan (RU/SH),Garen/Jarvan IV (DE),6,10,0.6,FALSE,POS,(26.2% - 87.8%),No,0.000686359750859781,0.00970163230159652
Aatrox/Akshan (RU/SH),Gwen/Irelia (IO/SI),5,14,0.357142857142857,FALSE,NEG,(12.8% - 64.9%),No,0.000686359750859781,0.00825044179177561
Aatrox/Akshan (RU/SH),Gwen/Katarina (NX/SI),39,89,0.438202247191011,FALSE,NEG,(33.3% - 54.7%),No,0.000686359750859781,0.0600570013402848
Aatrox/Akshan (RU/SH),Hecarim/Zed (IO/SI),5,18,0.277777777777778,FALSE,NEG,(9.7% - 53.5%),No,0.000686359750859781,0.019922742676824
Aatrox/Akshan (RU/SH),Heimerdinger/Jayce (PZ/SI),9,17,0.529411764705882,FALSE,POS,(27.8% - 77.0%),No,0.000686359750859781,0.00968698438008427
Aatrox/Akshan (RU/SH),Heimerdinger/Norra (BC/SI),11,15,0.733333333333333,FALSE,POS,(44.9% - 92.2%),No,0.000686359750859781,0.00881752561032134
Aatrox/Akshan (RU/SH),Jinx/Lulu (BC/PZ),28,58,0.482758620689655,FALSE,NEG,(35.0% - 61.8%),No,0.000686359750859781,0.0513189930181728
Aatrox/Akshan (RU/SH),Katarina/Leona (MT/NX),21,41,0.51219512195122,FALSE,POS,(35.1% - 67.1%),No,0.000686359750859781,0.0297975343362974
Aatrox/Akshan (RU/SH),Norra/Veigar (BC/SI),17,25,0.68,FALSE,POS,(46.5% - 85.1%),No,0.000686359750859781,0.0262788943330331
Aatrox/Akshan (RU/SH),Pantheon/Varus (MT/RU),5,10,0.5,FALSE,,(18.7% - 81.3%),No,0.000686359750859781,0.00532765831002744
Aatrox/Akshan (RU/SH),Pirates (BW/NX),9,20,0.45,FALSE,NEG,(23.1% - 68.5%),No,0.000686359750859781,0.0128205933035981
Aatrox/Akshan (RU/SH),Pyke/Rek'Sai (BW/SH),11,26,0.423076923076923,FALSE,NEG,(23.4% - 63.1%),No,0.000686359750859781,0.0259310061971171
Aatrox/Akshan (RU/SH),Rumble/Vayne (DE/NX),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.000686359750859781,0.01060509517487
Aatrox/Akshan (RU/SH),SunDisc,26,45,0.577777777777778,FALSE,POS,(42.2% - 72.3%),No,0.000686359750859781,0.0301323439708632
Aatrox/Akshan (RU/SH),Swain/Twisted Fate (BW/NX),8,17,0.470588235294118,FALSE,NEG,(23.0% - 72.2%),No,0.000686359750859781,0.014972791485791
Aatrox/Akshan (RU/SH),Taliyah/Ziggs (BC/SH),20,29,0.689655172413793,FALSE,POS,(49.2% - 84.7%),No,0.000686359750859781,0.0145574182829079
Aatrox/Akshan (RU/SH),Trundle Timelines (FR/PZ),3,14,0.214285714285714,FALSE,NEG,(4.7% - 50.8%),No,0.000686359750859781,0.0110361625793734
Aatrox/Akshan (RU/SH),Trundle/Tryndamere (FR/SI),21,70,0.3,TRUE,NEG,(19.6% - 42.1%),No,0.000686359750859781,0.048650978742727
Aatrox/Braum (RU/FR),Gwen/Katarina (NX/SI),4,15,0.266666666666667,FALSE,NEG,(7.8% - 55.1%),No,0.000122414772638101,0.0600570013402848
Aatrox/Braum (RU/FR),Jinx/Lulu (BC/PZ),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.000122414772638101,0.0513189930181728
Aatrox/Braum (RU/FR),SunDisc,6,10,0.6,FALSE,POS,(26.2% - 87.8%),No,0.000122414772638101,0.0301323439708632
Aatrox/Elise (RU/SI),Gwen/Katarina (NX/SI),7,12,0.583333333333333,FALSE,POS,(27.7% - 84.8%),No,0.000099396610261706,0.0600570013402848
Aatrox/Fiora (RU/DE),Aatrox/Kayn (RU/RU),4,12,0.333333333333333,FALSE,NEG,(9.9% - 65.1%),No,0.000155895736094676,0.0378858027113303
Aatrox/Fiora (RU/DE),Gangplank/Sejuani (BW/FR),5,14,0.357142857142857,FALSE,NEG,(12.8% - 64.9%),No,0.000155895736094676,0.0310201126425164
Aatrox/Fiora (RU/DE),Gwen/Katarina (NX/SI),15,22,0.681818181818182,FALSE,POS,(45.1% - 86.1%),No,0.000155895736094676,0.0600570013402848
Aatrox/Fiora (RU/DE),Jinx/Lulu (BC/PZ),9,17,0.529411764705882,FALSE,POS,(27.8% - 77.0%),No,0.000155895736094676,0.0513189930181728
Aatrox/Fiora (RU/DE),Norra/Veigar (BC/SI),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.000155895736094676,0.0262788943330331
Aatrox/Fiora (RU/DE),SunDisc,8,17,0.470588235294118,FALSE,NEG,(23.0% - 72.2%),No,0.000155895736094676,0.0301323439708632
Aatrox/Fiora (RU/DE),Trundle/Tryndamere (FR/SI),4,15,0.266666666666667,FALSE,NEG,(7.8% - 55.1%),No,0.000155895736094676,0.048650978742727
Aatrox/Kai'Sa (RU/SH),Gwen/Katarina (NX/SI),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.0000528371454549069,0.0600570013402848
Aatrox/Kayn (RU/RU),Aatrox (RU/SH),5,15,0.333333333333333,FALSE,NEG,(11.8% - 61.6%),No,0.0378858027113303,0.000215533702251699
Aatrox/Kayn (RU/RU),Aatrox/Akshan (RU/SH),29,55,0.527272727272727,FALSE,POS,(38.8% - 66.3%),No,0.0378858027113303,0.000686359750859781
Aatrox/Kayn (RU/RU),Aatrox/Fiora (RU/DE),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.0378858027113303,0.000155895736094676
Aatrox/Kayn (RU/RU),Aatrox/Kayn (RU/RU),2111,4222,0.5,FALSE,,(48.5% - 51.5%),Yes,0.0378858027113303,0.0378858027113303
