archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Gangplank/Sejuani (BW/FR),Illaoi/Jarvan IV (BW/DE),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00991877538269291,0.0028116213683224
Illaoi/Jarvan IV (BW/DE),Gangplank/Sejuani (BW/FR),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0028116213683224,0.00991877538269291
Illaoi/Jarvan IV (BW/DE),Jax/Ornn (FR/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0028116213683224,0.0357700718525461
Jax/Ornn (FR/RU),Illaoi/Jarvan IV (BW/DE),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0357700718525461,0.0028116213683224
Illaoi/Jarvan IV (BW/DE),Katarina/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0028116213683224,0.00822659585546183
Katarina/Leona (MT/NX),Illaoi/Jarvan IV (BW/DE),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00822659585546183,0.0028116213683224
LeBlanc/Sivir (NX/SH),Norra/Veigar (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00807039466833281,0.0169998958658752
Norra/Veigar (BC/SI),LeBlanc/Sivir (NX/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0169998958658752,0.00807039466833281
Kayle/Zed (IO/MT),Katarina/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0141101739039883,0.00822659585546183
Katarina/Leona (MT/NX),Kayle/Zed (IO/MT),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00822659585546183,0.0141101739039883
Master Yi/Viktor (IO/PZ),Master Yi/Viktor (IO/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,Yes,0.00955430594605852,0.00955430594605852
Pyke/Rek'Sai (BW/SH),Gwen/Irelia (IO/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0220764344475685,0.00471206914505884
Gwen/Irelia (IO/SI),Pyke/Rek'Sai (BW/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00471206914505884,0.0220764344475685
Illaoi/Master Yi (BW/IO),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00124960949703218,0.0313964386129335
Kalista/Nocturne (NX/SI),Illaoi/Master Yi (BW/IO),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.00124960949703218
Azir/Xerath (SH),Heimerdinger/Jayce (PZ/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00312402374258044,0.0151515151515152
Heimerdinger/Jayce (PZ/SI),Azir/Xerath (SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0151515151515152,0.00312402374258044
Kalista/Nocturne (NX/SI),Nami/Seraphine (BW/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.00291575549307508
Nami/Seraphine (BW/PZ),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00291575549307508,0.0313964386129335
Kalista/Nocturne (SI),LeBlanc/Sivir (NX/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0174945329584505,0.00807039466833281
LeBlanc/Sivir (NX/SH),Kalista/Nocturne (SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00807039466833281,0.0174945329584505
Ekko/Jinx (PZ/SH),Katarina/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00630011454753723,0.00822659585546183
Katarina/Leona (MT/NX),Ekko/Jinx (PZ/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00822659585546183,0.00630011454753723
Lissandra/Trundle (FR/SI),Jax/Ornn (FR/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00190044777673644,0.0357700718525461
Jax/Ornn (FR/RU),Lissandra/Trundle (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0357700718525461,0.00190044777673644
Senna/Veigar (BC/SI),Ekko/Jinx (PZ/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0222847026970738,0.00630011454753723
