archetype_1,archetype_2,mu_win,mu_n,mu_wr
Nidalee (BC/SH),Nidalee (BC/SH),1,2,0.5
Aurelion Sol/Volibear (FR/MT),Janna/Volibear (FR/PZ),1,2,0.5
Janna/Volibear (FR/PZ),Aurelion Sol/Volibear (FR/MT),1,2,0.5
Fizz/Samira (BW/NX),Janna/Volibear (FR/PZ),1,2,0.5
Janna/Volibear (FR/PZ),Fizz/Samira (BW/NX),1,2,0.5
Fizz/Nilah (BW/PZ),Janna/Samira (NX/PZ),1,2,0.5
Janna/Samira (NX/PZ),Fizz/Nilah (BW/PZ),1,2,0.5
Fizz/Nilah (BW/PZ),Volibear (FR/SI),1,2,0.5
Volibear (FR/SI),Fizz/Nilah (BW/PZ),1,2,0.5
Teemo (IO/PZ),Gwen/Vayne (DE/SI),1,2,0.5
Gwen/Vayne (DE/SI),Teemo (IO/PZ),1,2,0.5
Nilah/Volibear (BW/FR),Teemo (IO/PZ),1,2,0.5
Teemo (IO/PZ),Nilah/Volibear (BW/FR),1,2,0.5
Sett/The Poro King (IO/RU),Gnar/Jarvan IV (DE/FR),1,2,0.5
Gnar/Jarvan IV (DE/FR),Sett/The Poro King (IO/RU),1,2,0.5
Sett/The Poro King (IO/RU),Janna/Seraphine (BC/PZ),1,2,0.5
Janna/Seraphine (BC/PZ),Sett/The Poro King (IO/RU),1,2,0.5
Galio/Volibear (DE/FR),Nidalee (BC/SH),0,2,0
Aurelion Sol/Volibear (FR/MT),Janna/Samira (NX/PZ),0,2,0
Janna/Volibear (FR/PZ),Teemo (IO/PZ),0,2,0
Fizz/Nilah (BW/PZ),Garen/Illaoi (BW/DE),0,2,0
Heimerdinger/Jayce (PZ/SI),Teemo (IO/PZ),0,2,0
Fizz/Samira (BW/NX),Sett/The Poro King (IO/RU),0,2,0
Sett/The Poro King (IO/RU),Jinx/Samira (NX/PZ),0,2,0
Nidalee (BC/SH),Galio/Volibear (DE/FR),2,2,1
Janna/Samira (NX/PZ),Aurelion Sol/Volibear (FR/MT),2,2,1
Teemo (IO/PZ),Janna/Volibear (FR/PZ),2,2,1
Garen/Illaoi (BW/DE),Fizz/Nilah (BW/PZ),2,2,1
Teemo (IO/PZ),Heimerdinger/Jayce (PZ/SI),2,2,1
Sett/The Poro King (IO/RU),Fizz/Samira (BW/NX),2,2,1
Jinx/Samira (NX/PZ),Sett/The Poro King (IO/RU),2,2,1
Nidalee (BC/SH),Caitlyn/Teemo (BC/PZ),1,1,1
Fizz/Nami (BC/BW),Nidalee (BC/SH),1,1,1
Nidalee (BC/SH),Jinx/Nilah (BW/PZ),1,1,1
Kennen/Samira (IO/NX),Ekko/Janna (PZ/SH),1,1,1
Kennen/Samira (IO/NX),Janna/Nilah (BW/PZ),1,1,1
Nidalee (BC/SH),Aatrox/Vayne (RU/DE),1,1,1
Nidalee (BC/SH),Diana/Evelynn (RU/MT),1,1,1
Evelynn/Kayle (RU/MT),Jinx/Nilah (BW/PZ),1,1,1
Evelynn (RU/MT),Jinx/Nilah (BW/PZ),1,1,1
Jinx/Nilah (BW/PZ),Heimerdinger/Jayce (PZ/SI),1,1,1
Jinx/Nilah (BW/PZ),Jarvan IV/Jayce (DE/PZ),1,1,1
Heimerdinger/Jayce (PZ/SI),Teemo (BC/PZ),1,1,1
Nidalee (BC/SH),Maokai/Nautilus (BW/SI),1,1,1
Janna/Samira (NX/PZ),Jayce (MT/PZ),1,1,1
Janna/Samira (NX/PZ),Azir/Nasus/Renekton (SH),1,1,1
Janna/Samira (NX/PZ),Karma/Kennen (IO/SH),1,1,1
Janna/Volibear (FR/PZ),Maokai/Nautilus (BW/SI),1,1,1
Janna/Volibear (FR/PZ),Gnar/Nidalee (BC/SH),1,1,1
Riven/Zed (IO/NX),Janna/Volibear (FR/PZ),1,1,1
Janna/Volibear (FR/PZ),Garen/Volibear (DE/FR),1,1,1
Pyke/Rek'Sai (BW/SH),Norra/Teemo (BC/BW),1,1,1
Aatrox/Vayne (RU/DE),Fizz/Nami (BC/BW),1,1,1
Fizz/Nami (BC/BW),Pyke/Rek'Sai (BW/SH),1,1,1
Riven/Zed (IO/NX),Kennen/Samira (IO/NX),1,1,1
Norra (BC/FR),Janna/Nilah (BW/PZ),1,1,1
Heimerdinger/Jayce (PZ/SI),Bard/Gnar (RU/FR),1,1,1
Galio/Volibear (DE/FR),Bard/Gnar (RU/FR),1,1,1
Nasus (SI/SH),The Poro King (FR/RU),1,1,1
Leona/Samira (MT/NX),Jinx/Nilah (BW/PZ),1,1,1
Illaoi/Swain (BW/NX),Jinx/Nilah (BW/PZ),1,1,1
Kennen/Samira (IO/NX),Jinx/Sion (NX/PZ),1,1,1
Fizz/Nilah (BW/PZ),Gnar/Volibear (FR/SI),1,1,1
Jayce/Seraphine (MT/PZ),Fizz/Nilah (BW/PZ),1,1,1
Fizz/Nilah (BW/PZ),Janna/Nilah (BW/PZ),1,1,1
Fizz/Nilah (BW/PZ),Annie/Jhin (RU/NX),1,1,1
Nidalee (BC/SH),Teemo (IO/PZ),1,1,1
Teemo (IO/PZ),Janna/Ryze (PZ/RU),1,1,1
Teemo (IO/PZ),Volibear (FR/SI),1,1,1
Illaoi/Swain (BW/NX),Fizz/Nilah (BW/PZ),1,1,1
Garen/Illaoi (BW/DE),Teemo (IO/PZ),1,1,1
Teemo (IO/PZ),Janna/Seraphine (IO/PZ),1,1,1
Teemo (IO/PZ),Nidalee (IO/SH),1,1,1
Annie/Samira (IO/NX),Teemo (IO/PZ),1,1,1
Heimerdinger/Jayce (PZ/SI),Janna/Samira (NX/PZ),1,1,1
Janna/Samira (NX/PZ),Riven/Zed (IO/NX),1,1,1
The Poro King (IO/RU),Janna/Samira (NX/PZ),1,1,1
Janna/Samira (NX/PZ),Pyke/Rek'Sai (BW/SH),1,1,1
Janna/Samira (NX/PZ),Gnar/Jarvan IV (DE/FR),1,1,1
Janna/Samira (NX/PZ),Sett/The Poro King (IO/RU),1,1,1
Galio (DE/FR),The Poro King (IO/RU),1,1,1
Janna/Seraphine (BC/PZ),Janna/Samira (NX/PZ),1,1,1
Janna/Samira (NX/PZ),Galio (DE/FR),1,1,1
Janna/Nilah (BW/PZ),The Poro King (IO/RU),1,1,1
The Poro King (IO/RU),Teemo (IO/PZ),1,1,1
The Poro King (IO/RU),Pyke/Rek'Sai (BW/SH),1,1,1
The Poro King (IO/RU),Lissandra/Taliyah (FR/SH),1,1,1
