archetype_1,archetype_2,mu_win,mu_n,mu_wr
Galio/Udyr (DE/FR),Ekko/Jinx (PZ/SH),4,11,0.363636363636364
Karma/Sett (FR/IO),Maokai/Nautilus (BW/SI),4,11,0.363636363636364
Heimerdinger/Jayce (PZ/SI),Aatrox/Vayne (RU/DE),4,11,0.363636363636364
Azir/Renekton (SH),Galio/Udyr (DE/FR),4,11,0.363636363636364
Norra/Veigar (BC/SI),Caitlyn/Teemo (BC/PZ),4,11,0.363636363636364
Teemo/Tristana (BC/NX),Aatrox/Kayn (RU/RU),4,11,0.363636363636364
Annie/Jhin (RU/NX),Maokai/Nautilus (BW/SI),4,11,0.363636363636364
Ekko/Jinx (PZ/SH),Galio/Udyr (DE/FR),7,11,0.636363636363636
Maokai/Nautilus (BW/SI),Karma/Sett (FR/IO),7,11,0.636363636363636
Aatrox/Vayne (RU/DE),Heimerdinger/Jayce (PZ/SI),7,11,0.636363636363636
Galio/Udyr (DE/FR),Azir/Renekton (SH),7,11,0.636363636363636
Caitlyn/Teemo (BC/PZ),Norra/Veigar (BC/SI),7,11,0.636363636363636
Aatrox/Kayn (RU/RU),Teemo/Tristana (BC/NX),7,11,0.636363636363636
Maokai/Nautilus (BW/SI),Annie/Jhin (RU/NX),7,11,0.636363636363636
Jack/Seraphine (BW/PZ),Gwen/Quinn (DE/SI),2,4,0.5
Gwen/Quinn (DE/SI),Jack/Seraphine (BW/PZ),2,4,0.5
Samira/Tristana (BC/NX),Jax/Tristana (BC/RU),2,4,0.5
Jax/Tristana (BC/RU),Samira/Tristana (BC/NX),2,4,0.5
Shyvana (DE/MT),Caitlyn/Teemo (BC/PZ),2,4,0.5
Caitlyn/Teemo (BC/PZ),Shyvana (DE/MT),2,4,0.5
Caitlyn/Teemo (BC/PZ),Evelynn/Viego (RU/SI),2,4,0.5
Evelynn/Viego (RU/SI),Caitlyn/Teemo (BC/PZ),2,4,0.5
Leona/Samira (MT/NX),Pantheon/Samira (MT/NX),2,4,0.5
Pantheon/Samira (MT/NX),Leona/Samira (MT/NX),2,4,0.5
Senna/Veigar (BC/SI),Heimerdinger/Norra (BC/SI),2,4,0.5
Heimerdinger/Norra (BC/SI),Senna/Veigar (BC/SI),2,4,0.5
Diana/Samira (MT/NX),Fizz/Samira (BW/NX),2,4,0.5
Fizz/Samira (BW/NX),Diana/Samira (MT/NX),2,4,0.5
Fizz/Samira (BW/NX),Ekko (PZ/SH),2,4,0.5
Ekko (PZ/SH),Fizz/Samira (BW/NX),2,4,0.5
Karma/Sett (IO/PZ),Jack/Sett (BW/IO),2,4,0.5
Jack/Sett (BW/IO),Karma/Sett (IO/PZ),2,4,0.5
Championpile (FR/SH),Karma/Sett (IO/PZ),2,4,0.5
Karma/Sett (IO/PZ),Championpile (FR/SH),2,4,0.5
Azir/Nasus (SH),Karma/Sett (IO/MT),2,4,0.5
Karma/Sett (IO/MT),Azir/Nasus (SH),2,4,0.5
Samira/Varus (NX/RU),Akshan/Samira (NX/SH),2,4,0.5
Akshan/Samira (NX/SH),Samira/Varus (NX/RU),2,4,0.5
Pantheon/Samira (MT/NX),Samira/Viego (NX/SI),2,4,0.5
Samira/Viego (NX/SI),Pantheon/Samira (MT/NX),2,4,0.5
Kennen/Samira (IO/NX),Galio/Udyr (DE/FR),2,4,0.5
Galio/Udyr (DE/FR),Kennen/Samira (IO/NX),2,4,0.5
Samira/Varus (NX/RU),Gwen/Zed (IO/SI),2,4,0.5
Gwen/Zed (IO/SI),Samira/Varus (NX/RU),2,4,0.5
Akshan/Samira (NX/SH),Maokai/Nautilus (BW/SI),2,4,0.5
Maokai/Nautilus (BW/SI),Akshan/Samira (NX/SH),2,4,0.5
Senna/Veigar (BC/SI),Senna/Sion (NX/SI),2,4,0.5
Senna/Sion (NX/SI),Senna/Veigar (BC/SI),2,4,0.5
Jack/Seraphine (BW/PZ),Caitlyn/Teemo (PZ/SI),2,4,0.5
Caitlyn/Teemo (PZ/SI),Jack/Seraphine (BW/PZ),2,4,0.5
Aatrox/Kayn (RU/RU),Senna/Veigar (BC/SI),2,4,0.5
Senna/Veigar (BC/SI),Aatrox/Kayn (RU/RU),2,4,0.5
Azir/Renekton (SH),Senna/Veigar (BC/SI),2,4,0.5
Senna/Veigar (BC/SI),Azir/Renekton (SH),2,4,0.5
Senna/Veigar (BC/SI),Karma/Sett (IO/SI),2,4,0.5
Karma/Sett (IO/SI),Senna/Veigar (BC/SI),2,4,0.5
Teemo/Tristana (BC/BW),Pantheon/Samira (MT/NX),2,4,0.5
Pantheon/Samira (MT/NX),Teemo/Tristana (BC/BW),2,4,0.5
Karma/Sett (IO/PZ),Akshan/Samira (NX/SH),2,4,0.5
Akshan/Samira (NX/SH),Karma/Sett (IO/PZ),2,4,0.5
Teemo/Tristana (BC/DE),Jack/Seraphine (BW/PZ),2,4,0.5
Jack/Seraphine (BW/PZ),Teemo/Tristana (BC/DE),2,4,0.5
Ashe/LeBlanc (FR/NX),Teemo/Tristana (BC/DE),2,4,0.5
Teemo/Tristana (BC/DE),Ashe/LeBlanc (FR/NX),2,4,0.5
Maokai/Nautilus (BW/SI),Jinx/Norra (BC/PZ),2,4,0.5
Jinx/Norra (BC/PZ),Maokai/Nautilus (BW/SI),2,4,0.5
Diana/Samira (MT/NX),Maokai/Nautilus (BW/SI),2,4,0.5
Maokai/Nautilus (BW/SI),Diana/Samira (MT/NX),2,4,0.5
Heimerdinger/Jayce (PZ/SI),Lissandra (FR/MT),2,4,0.5
Lissandra (FR/MT),Heimerdinger/Jayce (PZ/SI),2,4,0.5
Akshan/Varus (SH/RU),Fizz/Samira (BW/NX),2,4,0.5
Fizz/Samira (BW/NX),Akshan/Varus (SH/RU),2,4,0.5
Evelynn/Viego (RU/SI),Fizz/Samira (BW/NX),2,4,0.5
Fizz/Samira (BW/NX),Evelynn/Viego (RU/SI),2,4,0.5
Galio/Udyr (DE/FR),Aatrox/Quinn/Vayne (RU/DE),2,4,0.5
Aatrox/Quinn/Vayne (RU/DE),Galio/Udyr (DE/FR),2,4,0.5
Heimerdinger/Jayce (PZ/SI),Ekko (PZ/SH),2,4,0.5
Ekko (PZ/SH),Heimerdinger/Jayce (PZ/SI),2,4,0.5
Leona/Samira (MT/NX),Aatrox/Vayne (RU/DE),2,4,0.5
Aatrox/Vayne (RU/DE),Leona/Samira (MT/NX),2,4,0.5
Maokai/Nautilus (BW/SI),Jhin/Kennen (IO/RU),2,4,0.5
Jhin/Kennen (IO/RU),Maokai/Nautilus (BW/SI),2,4,0.5
Maokai/Nautilus (BW/SI),Aurelion Sol/Leona (DE/MT),2,4,0.5
Aurelion Sol/Leona (DE/MT),Maokai/Nautilus (BW/SI),2,4,0.5
Heimerdinger/Jayce (PZ/SI),Senna/Sion (NX/SI),2,4,0.5
Senna/Sion (NX/SI),Heimerdinger/Jayce (PZ/SI),2,4,0.5
Aatrox (RU/BW),Azir/Renekton (SH),2,4,0.5
Azir/Renekton (SH),Aatrox (RU/BW),2,4,0.5
Samira/Tristana (BC/NX),Illaoi/Jarvan IV (BW/DE),2,4,0.5
Illaoi/Jarvan IV (BW/DE),Samira/Tristana (BC/NX),2,4,0.5
Galio/Udyr (DE/FR),Diana/Nocturne (MT/SI),2,4,0.5
Diana/Nocturne (MT/SI),Galio/Udyr (DE/FR),2,4,0.5
Aatrox/Vayne (RU/DE),Senna/Veigar (BC/SI),2,4,0.5
Senna/Veigar (BC/SI),Aatrox/Vayne (RU/DE),2,4,0.5
Gnar/Norra (BC/NX),Jack/Seraphine (BW/PZ),2,4,0.5
Jack/Seraphine (BW/PZ),Gnar/Norra (BC/NX),2,4,0.5
Pantheon/Samira (MT/NX),Diana/Nocturne (MT/SI),2,4,0.5
Diana/Nocturne (MT/SI),Pantheon/Samira (MT/NX),2,4,0.5
Kai'Sa/Pantheon (MT/SH),Leona/Samira (MT/NX),2,4,0.5
Leona/Samira (MT/NX),Kai'Sa/Pantheon (MT/SH),2,4,0.5
Azir/Nasus (SH),Nasus/Senna (SI/SH),2,4,0.5
Nasus/Senna (SI/SH),Azir/Nasus (SH),2,4,0.5
Fizz/Samira (BW/NX),Pantheon/Riven (MT/NX),2,4,0.5
Pantheon/Riven (MT/NX),Fizz/Samira (BW/NX),2,4,0.5
Heimerdinger/Jayce (PZ/SI),Teemo/Tristana (BC/DE),2,4,0.5
Teemo/Tristana (BC/DE),Heimerdinger/Jayce (PZ/SI),2,4,0.5
Azir/Nasus/Renekton (SH),Gnar/Norra (BC/NX),2,4,0.5
Gnar/Norra (BC/NX),Azir/Nasus/Renekton (SH),2,4,0.5
Jax/Ornn (FR/RU),Caitlyn/Teemo (BC/PZ),2,4,0.5
Caitlyn/Teemo (BC/PZ),Jax/Ornn (FR/RU),2,4,0.5
Galio/Udyr (DE/FR),Shyvana (DE/MT),2,4,0.5
Shyvana (DE/MT),Galio/Udyr (DE/FR),2,4,0.5
Azir/Nasus/Renekton (SH),Norra/Veigar (BC/SI),2,4,0.5
Norra/Veigar (BC/SI),Azir/Nasus/Renekton (SH),2,4,0.5
Senna/Veigar (BC/SI),Gnar/Norra (BC/NX),2,4,0.5
Gnar/Norra (BC/NX),Senna/Veigar (BC/SI),2,4,0.5
Azir/Nasus/Renekton (SH),Aatrox/Kayn (RU/RU),2,4,0.5
Aatrox/Kayn (RU/RU),Azir/Nasus/Renekton (SH),2,4,0.5
Karma/Sett (IO/MT),Garen/Jarvan IV (DE),2,4,0.5
Garen/Jarvan IV (DE),Karma/Sett (IO/MT),2,4,0.5
Maokai/Nautilus (BW/SI),Gnar/Samira (BC/NX),2,4,0.5
Gnar/Samira (BC/NX),Maokai/Nautilus (BW/SI),2,4,0.5
Caitlyn/Seraphine (BC/PZ),LeBlanc/Renekton (NX/SH),2,4,0.5
LeBlanc/Renekton (NX/SH),Caitlyn/Seraphine (BC/PZ),2,4,0.5
Malphite/Taliyah (MT/SH),Annie/Caitlyn (NX/PZ),2,4,0.5
Annie/Caitlyn (NX/PZ),Malphite/Taliyah (MT/SH),2,4,0.5
Kai'Sa/Pantheon (MT/SH),Kai'Sa/Pantheon (MT/SH),2,4,0.5
Ekko (PZ/SH),Senna/Veigar (BC/SI),2,4,0.5
Senna/Veigar (BC/SI),Ekko (PZ/SH),2,4,0.5
Illaoi (BW/IO),Karma/Sett (IO/MT),2,4,0.5
Karma/Sett (IO/MT),Illaoi (BW/IO),2,4,0.5
Ekko/Jinx (PZ/SH),Gwen/Zed (IO/SI),2,4,0.5
Gwen/Zed (IO/SI),Ekko/Jinx (PZ/SH),2,4,0.5
Shyvana (DE/MT),Illaoi/Jarvan IV (BW/DE),2,4,0.5
Illaoi/Jarvan IV (BW/DE),Shyvana (DE/MT),2,4,0.5
Aurelion Sol/Shyvana (DE/MT),Bard/Kayle (RU/MT),2,4,0.5
Bard/Kayle (RU/MT),Aurelion Sol/Shyvana (DE/MT),2,4,0.5
Aatrox/Quinn/Vayne (RU/DE),Shyvana (DE/FR),2,4,0.5
Shyvana (DE/FR),Aatrox/Quinn/Vayne (RU/DE),2,4,0.5
Lissandra/Taliyah (FR/SH),Aurelion Sol/Diana (BC/MT),2,4,0.5
Aurelion Sol/Diana (BC/MT),Lissandra/Taliyah (FR/SH),2,4,0.5
Samira/Varus (NX/RU),Gwen/Samira (NX/SI),2,4,0.5
Gwen/Samira (NX/SI),Samira/Varus (NX/RU),2,4,0.5
Norra/Veigar (BC/SI),Jax/Tristana (BC/RU),2,4,0.5
Jax/Tristana (BC/RU),Norra/Veigar (BC/SI),2,4,0.5
