archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Trundle/Tryndamere (FR/IO),Garen/Jarvan IV (DE),8,17,0.470588235294118,(23.0% - 72.2%),FALSE,NEG,No,0.0072647726045155,0.0552554823376904
Gwen/Quinn (DE/SI),Jayce/Lux (DE/PZ),8,17,0.470588235294118,(23.0% - 72.2%),FALSE,NEG,No,0.00623852219941666,0.0685697310143675
Jayce/Lux (DE/PZ),Trundle/Tryndamere (FR/IO),8,17,0.470588235294118,(23.0% - 72.2%),FALSE,NEG,No,0.0685697310143675,0.0072647726045155
Garen/Jarvan IV (DE),Trundle/Tryndamere (FR/IO),9,17,0.529411764705882,(27.8% - 77.0%),FALSE,POS,No,0.0552554823376904,0.0072647726045155
Jayce/Lux (DE/PZ),Gwen/Quinn (DE/SI),9,17,0.529411764705882,(27.8% - 77.0%),FALSE,POS,No,0.0685697310143675,0.00623852219941666
Trundle/Tryndamere (FR/IO),Jayce/Lux (DE/PZ),9,17,0.529411764705882,(27.8% - 77.0%),FALSE,POS,No,0.0072647726045155,0.0685697310143675
Championpile (FR/SH),Karma/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00178243491411905,0.00213352057902128
Karma/Trundle (FR/IO),Championpile (FR/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00213352057902128,0.00178243491411905
Twisted Fate/Viktor (BW/PZ),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000729177919412337,0.0552554823376904
Garen/Jarvan IV (DE),Twisted Fate/Viktor (BW/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0552554823376904,0.000729177919412337
Jhin/Viktor (RU/PZ),Norra/Swain (BC/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00297072485686508,0.00332181052176731
Norra/Swain (BC/NX),Jhin/Viktor (RU/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00332181052176731,0.00297072485686508
