archetype_1,archetype_2,mu_win,mu_n,mu_wr
Ekko/Jinx (PZ/SH),Pyke/Rek'Sai (BW/SH),39,69,0.565217391304348
Pyke/Rek'Sai (BW/SH),Gnar/Jarvan IV (DE/FR),39,69,0.565217391304348
Pyke/Rek'Sai (BW/SH),Ekko/Jinx (PZ/SH),30,69,0.434782608695652
Gnar/Jarvan IV (DE/FR),Pyke/Rek'Sai (BW/SH),30,69,0.434782608695652
Gnar/Jarvan IV (DE/FR),Ahri/Kennen (IO/MT),1,4,0.25
Norra/Viego (BC/SI),Karma/Sett (IO/SI),1,4,0.25
Kayn/Vayne (DE/RU),Kalista/Norra (BC/SI),1,4,0.25
Nilah/Sion (BW/NX),Bard/Janna (RU/PZ),1,4,0.25
Janna/Volibear (FR/PZ),Teemo (BC/PZ),1,4,0.25
Karma/Sett (IO/PZ),Ashe/Volibear (FR/PZ),1,4,0.25
Ashe/Nocturne (FR/SI),Jack/Sett (BW/IO),1,4,0.25
Heimerdinger/Jayce (PZ/SI),Ahri/Kennen (IO/NX),1,4,0.25
Pyke/Rek'Sai (BW/SH),Akshan/Nasus (SI/SH),1,4,0.25
Jack/Vayne (BW/DE),Teemo/Yuumi (BC/PZ),1,4,0.25
Teemo/Yuumi (BC/PZ),Volibear (FR/MT),1,4,0.25
Viego (NX/SI),Annie/Zed (IO/NX),1,4,0.25
Ashe/LeBlanc (FR/NX),Maokai/Norra (BC/SI),1,4,0.25
Viego (SI/SH),Jax/Ornn (FR/RU),1,4,0.25
Lissandra/Volibear (FR/NX),Jarvan IV/Shen (DE/IO),1,4,0.25
Garen/Neeko (DE/RU),Aatrox/Kayn (RU/RU),1,4,0.25
Gwen/Ornn (FR/SI),Ashe/LeBlanc (FR/NX),1,4,0.25
Galio/Volibear (DE/FR),Ekko (PZ/SH),1,4,0.25
Nilah/Samira (BW/NX),Janna/Nilah (BW/PZ),1,4,0.25
Vayne/Zed (DE/IO),Janna (MT/PZ),1,4,0.25
Ashe (FR/SI),Janna (MT/PZ),1,4,0.25
Karma/Sett (IO/SI),Caitlyn/Teemo (BC/PZ),1,4,0.25
Janna/Samira (NX/PZ),Karma/Sett (IO/SI),1,4,0.25
Viego (NX/SI),Norra/Teemo (BC/PZ),1,4,0.25
Janna/Norra/Yuumi (BC/PZ),Galio/Volibear (DE/FR),1,4,0.25
Aatrox/Kayn (RU/RU),Pantheon/Vayne (DE/MT),1,4,0.25
Aurelion Sol/Volibear (FR/MT),Kalista (FR/SI),1,4,0.25
Garen/Volibear (DE/FR),Gwen/Vayne (DE/SI),1,4,0.25
Sejuani/Swain (FR/NX),Pyke/Rek'Sai (BW/SH),1,4,0.25
Jack/Kayn (BW/RU),Galio/Volibear (DE/FR),1,4,0.25
Janna/Seraphine (PZ/SI),Nidalee (BC/SH),1,4,0.25
Teemo/Tristana (BC/DE),Aatrox/Kayn (RU/RU),1,4,0.25
Janna/Seraphine (PZ/SI),Aatrox/Vayne (RU/DE),1,4,0.25
Lissandra/Tryndamere/Volibear (DE/FR),Janna/Nilah (BW/PZ),1,4,0.25
Volibear (BW/FR),Janna/Volibear (FR/PZ),1,4,0.25
Akshan/Pantheon (MT/SH),Ryze (PZ/RU),1,4,0.25
Kalista/Norra (BC/SI),Janna/Seraphine (PZ/SI),1,4,0.25
Jack/Kayn (BW/RU),Nidalee (BC/SH),1,4,0.25
Akshan/Nasus (SI/SH),Maokai/Nautilus (BW/SI),1,4,0.25
Championless (MT/PZ),Gwen/Vayne (DE/SI),1,4,0.25
Janna/Seraphine (PZ/SI),Evelynn/Kai'Sa (RU/SH),1,4,0.25
Sejuani/Teemo (BC/FR),Shyvana (DE/FR),1,4,0.25
Gwen/Zed (IO/SI),Aatrox/Vayne (RU/DE),1,4,0.25
Kayle/Yuumi (DE/MT),Gwen/Vayne (DE/SI),1,4,0.25
Karma/Sett (IO/SI),The Poro King (FR/RU),1,4,0.25
Annie/Jhin (RU/NX),Norra/Veigar (BC/SI),1,4,0.25
Gnar/Volibear (FR/NX),Norra (BC/PZ),1,4,0.25
Nasus/Senna (SI/SH),Lissandra/Volibear (DE/FR),1,4,0.25
Janna/Norra/Yuumi (BC/PZ),Pyke/Rek'Sai (BW/SH),1,4,0.25
Shyvana (DE/MT),Jax/Ornn (FR/RU),1,4,0.25
Karma/Sett (FR/IO),Maokai/Viego (IO/SI),1,4,0.25
Ahri/Kennen (IO/NX),Jack/Janna (BW/PZ),1,4,0.25
Garen/Jarvan IV (DE),Jax/Ornn (FR/RU),1,4,0.25
Karma/Sett (IO/SI),Kalista/Norra (BC/SI),1,4,0.25
Illaoi/Volibear (BW/FR),Caitlyn/Teemo (BC/PZ),1,4,0.25
Aurelion Sol/Volibear (FR/MT),Garen/Kayle (DE/MT),1,4,0.25
Teemo/Tristana (BC/DE),Janna/Seraphine (IO/PZ),1,4,0.25
Aatrox/Vayne (RU/DE),Gnar/Nidalee (BC/SH),1,4,0.25
Lissandra/Taliyah (FR/SH),Bard/Norra (BC/RU),1,4,0.25
Gwen/Viego (NX/SI),Akshan/Pantheon (MT/SH),1,4,0.25
Teemo/Yuumi (BC/PZ),Janna/Lucian (DE/PZ),1,4,0.25
Jarvan IV/Kayn (DE/RU),Jarvan IV/Shen (DE/IO),1,4,0.25
Jarvan IV/Kayn (DE/RU),Maokai/Nautilus (BW/SI),1,4,0.25
Riven/Zed (IO/NX),Janna/Nilah (BW/PZ),1,4,0.25
Jack/Sett (BW/IO),Ahri/Kennen (IO/PZ),1,4,0.25
Bard/Norra (BC/RU),Janna/Seraphine (BC/PZ),1,4,0.25
Gwen/Vayne (DE/SI),Azir/Nasus/Renekton (SH),1,4,0.25
Championless (MT/PZ),Renekton/Sejuani (FR/SH),1,4,0.25
Gwen/Zed (IO/SI),Senna/Veigar (BC/SI),1,4,0.25
Kalista/Norra (BC/SI),Caitlyn/Teemo (BC/PZ),1,4,0.25
Jack/Sett (BW/IO),Norra (BC/IO),1,4,0.25
Teemo/Yuumi (BC/PZ),Galio (DE/FR),1,4,0.25
Evelynn/Viego (RU/SI),Kayle/Norra (BC/MT),1,4,0.25
Caitlyn/Teemo (FR/PZ),Sejuani/Swain (FR/NX),1,4,0.25
Shyvana/Volibear (DE/FR),Heimerdinger/Jayce (PZ/SI),1,4,0.25
Heimerdinger/Jayce (FR/PZ),Janna/Nilah (BW/PZ),1,4,0.25
Volibear (FR/NX),Kalista/Viego (NX/SI),1,4,0.25
Fizz/Nilah (BW/NX),Janna/Nilah (BW/PZ),1,4,0.25
Janna/Sett (IO/PZ),Teemo/Yuumi (BC/PZ),1,4,0.25
Janna/Ryze (PZ/RU),Akshan/Pantheon (MT/SH),1,4,0.25
Karma/Sett (IO/SI),Gnar/Sejuani (BC/FR),1,4,0.25
Norra/Teemo (BC/PZ),Diana/Leona (MT/SH),1,4,0.25
Diana/Nocturne (MT/SI),Nasus/Senna (SI/SH),1,4,0.25
Janna/Seraphine (IO/PZ),Sett (IO/PZ),1,4,0.25
Gwen/Kalista (IO/SI),Janna/Nilah (BW/PZ),1,4,0.25
Kalista/Lucian (DE/SI),Aatrox/Kayn (RU/RU),1,4,0.25
Maokai (BW/SI),Gnar/Neeko (FR/RU),1,4,0.25
Senna/Veigar (BC/SI),Maokai (PZ/SI),1,4,0.25
Annie/Gwen (NX/SI),Janna/Karma/Sett (IO/PZ),1,4,0.25
Aurelion Sol/Volibear (FR/MT),Jarvan IV/Kayn (DE/RU),1,4,0.25
Nasus/Veigar (SI/SH),Akshan/Varus (SH/RU),1,4,0.25
Maokai/Nautilus (BW/SI),Janna (BC/PZ),1,4,0.25
Taliyah/Viego (SI/SH),Viego (NX/SI),1,4,0.25
Nidalee (BC/SH),Akshan/Ekko (PZ/SH),1,4,0.25
Aurelion Sol/Volibear (FR/MT),Karma/Sett (IO/SI),1,4,0.25
Bard/Kayle (RU/MT),Jax/Ornn (FR/RU),1,4,0.25
Kayle/Yuumi (FR/MT),Norra/Veigar (BC/SI),1,4,0.25
Illaoi/Volibear (BW/FR),Nidalee (BC/SH),1,4,0.25
Evelynn/Kai'Sa (RU/SH),Nidalee (BC/SH),1,4,0.25
Fizz/Samira (BW/NX),Gwen/Vayne (DE/SI),1,4,0.25
Teemo/Yuumi (BC/PZ),Ornn/Volibear (FR/NX),1,4,0.25
Kayle/The Poro King (MT/RU),Galio/Udyr (DE/FR),1,4,0.25
Fizz/Nami (BW/IO),Janna/Nilah (BW/PZ),1,4,0.25
Janna/Teemo (DE/PZ),Janna/Lucian (DE/PZ),1,4,0.25
Kennen/Nami (BW/IO),Janna/Teemo (DE/PZ),1,4,0.25
Gnar/Jarvan IV (DE/FR),Janna/Seraphine (BW/PZ),1,4,0.25
Jack/Kayn (BW/RU),Ahri/Kennen (FR/IO),1,4,0.25
Lissandra/Volibear (DE/FR),Maokai/Nautilus (BW/SI),1,4,0.25
Jarvan IV/Shen (DE/IO),Kayle/Norra (BC/MT),1,4,0.25
Nidalee (BC/SH),Fizz/Samira (BW/NX),1,4,0.25
Pyke/Rek'Sai (BW/SH),Championpile (FR/SH),1,4,0.25
Janna (FR/PZ),Janna/Seraphine (IO/PZ),1,4,0.25
Janna/Seraphine (IO/PZ),Norra/Yuumi (BC/FR),1,4,0.25
Taliyah/Volibear (FR/SH),Nasus/Senna (SI/SH),1,4,0.25
Janna/Nilah (BW/PZ),Kai'Sa/The Poro King (RU/SH),1,4,0.25
Norra/Viego (BC/SI),Akshan/Pantheon (MT/SH),1,4,0.25
Jack/Nilah (BW/PZ),Gnar/Jarvan IV (DE/FR),1,4,0.25
Galio/Vayne (DE/FR),Jarvan IV/Shen (DE/IO),1,4,0.25
Gnar/Jhin (BC/RU),Janna/Norra (BC/PZ),1,4,0.25
Viego (NX/SI),Karma/Sett (IO/PZ),1,4,0.25
Sejuani/Teemo (FR/PZ),Lissandra/Taliyah (FR/SH),1,4,0.25
Senna/Veigar (BC/SI),Ornn/Volibear (FR/NX),1,4,0.25
Aatrox/Kayn (RU/RU),Gwen/Viego (IO/SI),1,4,0.25
Kayn/Vayne (DE/RU),Akshan/Kayn (RU/SH),1,4,0.25
Janna (BC/PZ),Gwen/Vayne (DE/SI),1,4,0.25
Taliyah/Viego (SI/SH),Ahri/Kennen (IO/MT),1,4,0.25
Ashe/Volibear (FR/NX),Ashe/LeBlanc (FR/NX),1,4,0.25
Neeko/Renekton (RU/SH),Teemo (BC/PZ),1,4,0.25
Janna (PZ/SI),Sejuani/Teemo (FR/PZ),1,4,0.25
Sejuani/Teemo (FR/PZ),Sejuani/Teemo (BC/FR),1,4,0.25
Pantheon/Varus (MT/RU),Senna/Veigar (BC/SI),1,4,0.25
Volibear (FR/IO),Janna/Nilah (BW/PZ),1,4,0.25
Tryndamere/Volibear (DE/FR),Pyke/Rek'Sai (BW/SH),1,4,0.25
Ahri/Kennen (BC/IO),The Poro King (FR/RU),1,4,0.25
Ashe/LeBlanc (FR/NX),Lissandra/Volibear (FR/SH),1,4,0.25
Aatrox/Kayn (RU/RU),Aatrox/Quinn/Vayne (RU/DE),1,4,0.25
Jack/Janna (BW/PZ),Nidalee (BC/SH),1,4,0.25
Sejuani/Teemo (BC/FR),Kayn/Vayne (DE/RU),1,4,0.25
Galio/Volibear (DE/FR),Azir/Nasus/Renekton (SH),1,4,0.25
Jarvan IV/Shen (DE/IO),Norra/Sejuani (BC/FR),1,4,0.25
Kalista (FR/SI),Karma/Sett (IO/PZ),1,4,0.25
Nami/Nilah (BW/IO),Janna/Nilah (BW/PZ),1,4,0.25
Viego (NX/SI),Bard/Viego (RU/SI),1,4,0.25
Aurelion Sol/Volibear (FR/MT),Gnar/Volibear (FR/NX),1,4,0.25
Janna/Nilah (BW/PZ),Bard/Gwen (RU/SI),1,4,0.25
Volibear (FR/PZ),Jax/Ornn (FR/RU),1,4,0.25
Lissandra/Taliyah (FR/SH),Karma/Sett (IO/PZ),1,4,0.25
Janna/Seraphine (IO/PZ),Gwen/Riven (NX/SI),1,4,0.25
Tryndamere/Volibear (DE/FR),Aatrox/Kayn (RU/RU),1,4,0.25
Viego (NX/SI),Miss Fortune/Sejuani (BW/FR),1,4,0.25
Swain/Volibear (FR/NX),Annie/Jhin (RU/NX),1,4,0.25
Ahri/Kennen (IO/MT),Illaoi/Volibear (BW/FR),1,4,0.25
Fizz/Nilah (BW/NX),Darius/Gnar (FR/NX),1,4,0.25
Bard/Teemo (RU/PZ),Maokai/Nautilus (BW/SI),1,4,0.25
Aatrox/Kayn (RU/RU),Garen/Volibear (DE/FR),1,4,0.25
Evelynn/Kai'Sa (RU/SH),Miss Fortune/Sejuani (BW/FR),1,4,0.25
Bard/Gwen (RU/SI),Janna/Teemo (DE/PZ),1,4,0.25
Ashe/Senna (FR/SI),Janna/Seraphine (IO/PZ),1,4,0.25
Lissandra/Volibear (FR/NX),Akshan/Pantheon (MT/SH),1,4,0.25
Maokai (BW/SI),LeBlanc/Volibear (FR/NX),1,4,0.25
Jinx/Samira (NX/PZ),Caitlyn/Teemo (FR/PZ),1,4,0.25
Illaoi/Jarvan IV (BW/DE),Janna/Seraphine (PZ/SI),1,4,0.25
Ahri/Kennen (IO/NX),Janna/Seraphine (PZ/SI),1,4,0.25
Garen/Jarvan IV (DE/FR),Caitlyn/Teemo (FR/PZ),1,4,0.25
Renekton/Sejuani (FR/SH),Lissandra/Volibear (FR/NX),1,4,0.25
Janna/Karma (IO/PZ),Caitlyn/Teemo (FR/PZ),1,4,0.25
Aatrox/Vayne (RU/DE),Riven/Volibear (FR/NX),1,4,0.25
Janna/Seraphine (BC/PZ),Sejuani/Teemo (FR/PZ),1,4,0.25
Annie/Volibear (FR/NX),Heimerdinger/Norra (BC/SI),1,4,0.25
Janna/Nilah (BW/PZ),Seraphine (BW/PZ),1,4,0.25
Ekko/Janna (PZ/SH),Akshan/Pantheon (MT/SH),1,4,0.25
Janna/Volibear (FR/PZ),Norra/Teemo (BC/PZ),1,4,0.25
Janna/Nilah (BW/PZ),Fizz/Jack (BW/IO),1,4,0.25
Ashe/Volibear (FR/SI),Maokai/Nautilus (BW/SI),1,4,0.25
Ahri/Akshan (IO/SH),Janna/Volibear (FR/PZ),1,4,0.25
Nasus/Senna (SI/SH),Ahri/Akshan (IO/SH),1,4,0.25
Akshan/Samira (NX/SH),Janna/Volibear (FR/PZ),1,4,0.25
Riven/Vayne (DE/NX),Ashe/LeBlanc (FR/NX),1,4,0.25
Aatrox/Kayn (RU/RU),Janna/Karma (IO/PZ),1,4,0.25
Gwen/Zed (IO/SI),Akshan/Udyr (FR/SH),1,4,0.25
Aatrox/Vayne (RU/DE),Ekko (PZ/SH),1,4,0.25
Leona/Renekton (MT/SH),Caitlyn/Teemo (FR/PZ),1,4,0.25
Garen/Jarvan IV (DE),Maokai/Nautilus (BW/SI),1,4,0.25
Riven/Vayne (DE/NX),Caitlyn/Teemo (FR/PZ),1,4,0.25
Viego (FR/SI),Ashe/LeBlanc (FR/NX),1,4,0.25
Sett/Volibear (FR/IO),Nidalee (BC/SH),1,4,0.25
Gwen/Vayne (DE/SI),Norra/Sejuani (BC/FR),1,4,0.25
Maokai/Viego (NX/SI),Janna/Nilah (BW/PZ),1,4,0.25
Sejuani/Teemo (FR/PZ),Akshan/Udyr (FR/SH),1,4,0.25
Heimerdinger/Jayce (MT/PZ),Gwen/Vayne (DE/SI),1,4,0.25
Neeko/Renekton (RU/SH),Jarvan IV/Kayn (DE/RU),1,4,0.25
Darius/Gnar (FR/NX),Gnar/LeBlanc (FR/NX),1,4,0.25
Gwen (NX/SI),Aatrox/Kayn (RU/RU),1,4,0.25
Aatrox/Vayne (RU/DE),Tryndamere/Volibear (FR/SI),1,4,0.25
Lissandra/Volibear (FR/NX),Sejuani/Teemo (FR/PZ),1,4,0.25
Karma/Sett (IO/PZ),Garen/Gnar/Jarvan IV (DE/FR),1,4,0.25
Gwen/Vayne (DE/SI),Jack/Karma/Sett (BW/IO),1,4,0.25
Pyke/Rek'Sai (BW/SH),Janna/Karma (IO/PZ),1,4,0.25
The Poro King (FR/RU),Norra/Viego (BC/SI),1,4,0.25
Janna/Nilah (BW/PZ),Akshan/Vayne (DE/SH),1,4,0.25
Pyke/Rek'Sai (BW/SH),Garen/Jarvan IV (DE),1,4,0.25
Darius/Gnar (FR/NX),Gwen/Viego (IO/SI),1,4,0.25
Janna/Volibear (FR/PZ),Ashe/Volibear (FR/SI),1,4,0.25
Senna/Veigar (BC/SI),Volibear (FR/MT),1,4,0.25
Garen/Kayle (DE/MT),Pyke/Rek'Sai (BW/SH),1,4,0.25
Janna/Nilah (BW/PZ),Norra (BC/DE),1,4,0.25
Ryze (PZ/RU),Janna/Volibear (FR/PZ),1,4,0.25
Jarvan IV/Shen (DE/IO),Akshan/Renekton (FR/SH),1,4,0.25
Bard/Janna (RU/PZ),Shyvana/Yuumi (DE/MT),1,4,0.25
Janna (MT/PZ),Gnar/Jhin (BC/RU),1,4,0.25
Akshan/Pantheon (MT/SH),Aurelion Sol/Janna (MT/PZ),1,4,0.25
Janna/Seraphine (IO/PZ),Zed (FR/IO),1,4,0.25
Pyke/Rek'Sai (BW/SH),Zed (FR/IO),1,4,0.25
Ahri/Kennen (BC/IO),Miss Fortune/Quinn (BW/DE),1,4,0.25
Sett/Volibear (FR/IO),Akshan/Varus (SH/RU),1,4,0.25
Nasus/Nocturne (SI/SH),Maokai (BW/SI),1,4,0.25
Sett/Volibear (FR/IO),Diana/Leona (MT/SH),1,4,0.25
Aurelion Sol/Shyvana (DE/MT),Bard/Janna (RU/PZ),1,4,0.25
Akshan/Renekton (IO/SH),Ashe/LeBlanc (FR/NX),1,4,0.25
Riven/Varus (NX/RU),Karma/Sett (FR/IO),1,4,0.25
Bard/Zed (RU/IO),Janna/Teemo (DE/PZ),1,4,0.25
Karma/Seraphine/Sett (IO/PZ),Janna (MT/PZ),1,4,0.25
Fizz (BW/MT),The Poro King (FR/RU),1,4,0.25
Karma/Sett (IO/PZ),Janna/Norra (BC/PZ),1,4,0.25
Ahri/Kennen (IO/NX),Aurelion Sol/Norra (BC/MT),1,4,0.25
Gnar/Renekton (FR/SH),Karma/Sett (FR/IO),1,4,0.25
Janna/Samira (NX/PZ),Jarvan IV/Shen (DE/IO),1,4,0.25
Annie/Janna (NX/PZ),Caitlyn/Teemo (FR/PZ),1,4,0.25
Garen/Gnar/Jarvan IV (DE/FR),Annie/Jhin (RU/NX),1,4,0.25
Karma/Seraphine/Sett (IO/PZ),Ashe/LeBlanc (FR/NX),1,4,0.25
Tryndamere/Volibear (FR/NX),Ahri/Kennen (IO/NX),1,4,0.25
The Poro King (FR/RU),Illaoi/Jarvan IV (BW/DE),1,4,0.25
Garen/Volibear (DE/FR),Karma/Sett (FR/IO),1,4,0.25
